player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
John Guidetti,FW,26-000,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,28.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,13.0,25.0,52.0,1.0,19.0,1.0,2.0,2.0,154.0,44.0,10.0,16.0,62.5,3.0,5.0,60.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,10.0,4.0,13.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,14.3,5.0,13.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,13.0,14.0,0.0,30.0,100.0,2.0,0.0,39.0,15.0,0.0,0.0,2.0,1.0,51.0,23.0,45.1,6.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Rubén Sobrino,"FW,RM",25-318,86.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,16.0,0.0,1.0,1.0,0.0,0.0,0.1,2.0,2.0,19.0,33.0,57.6,0.0,30.0,3.0,2.0,2.0,269.0,27.0,13.0,19.0,68.4,6.0,11.0,54.5,0.0,3.0,0.0,1.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,13.0,6.0,18.0,5.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.8,0.0,11.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,34.0,11.0,1.0,44.0,100.0,2.0,0.0,116.0,56.0,1.0,1.0,3.0,1.0,49.0,32.0,65.3,4.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,75.0
Alexis,"CB,RM",32-254,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,100.0
Alfonso Pedraza,LM,22-006,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,72.7,0.0,13.0,2.0,3.0,3.0,132.0,69.0,6.0,7.0,85.7,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,8.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,37.5,7.0,12.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,6.0,5.0,7.0,3.0,16.0,100.0,3.0,0.0,89.0,57.0,1.0,1.0,2.0,1.0,23.0,9.0,39.1,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Wakaso,"LM,CM",27-264,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,40.0,0.0,4.0,0.0,0.0,0.0,64.0,34.0,0.0,0.0,0.0,1.0,3.0,33.3,1.0,2.0,50.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,5.0,45.5,4.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0,12.0,7.0,1.0,0.0,0.0,0.0,7.0,4.0,57.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tomás Pina Isla,CM,30-183,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,24.0,83.3,2.0,18.0,1.0,1.0,1.0,324.0,132.0,9.0,11.0,81.8,10.0,11.0,90.9,1.0,2.0,50.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,7.0,10.0,8.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,6.0,13.0,18.0,1.0,0.0,31.0,100.0,1.0,0.0,62.0,19.0,1.0,0.0,1.0,0.0,18.0,13.0,72.2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,4.0,33.3
Manu García,CM,31-354,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,24.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,27.0,48.1,2.0,13.0,1.0,0.0,0.0,226.0,87.0,6.0,9.0,66.7,6.0,13.0,46.2,1.0,4.0,25.0,0.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,16.0,12.0,3.0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,1.0,4.0,0.0,0.0,3.0,0.0,3.0,7.0,29.2,11.0,13.0,0.0,1.0,0.0,0.0,6.0,5.0,0.0,6.0,16.0,23.0,3.0,0.0,42.0,0.0,0.0,0.0,44.0,14.0,0.0,0.0,0.0,1.0,14.0,13.0,92.9,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,100.0
Ibai Gómez,RM,28-155,81.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,11.0,2.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,15.0,26.0,57.7,3.0,21.0,0.0,1.0,1.0,276.0,141.0,8.0,13.0,61.5,4.0,6.0,66.7,3.0,7.0,42.9,0.0,1.0,0.0,0.0,23.0,3.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,0.0,13.0,5.0,18.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,36.4,3.0,5.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,16.0,10.0,0.0,28.0,100.0,1.0,0.0,117.0,52.0,1.0,0.0,2.0,0.0,33.0,20.0,60.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
Munir El Haddadi,"FW,RM",22-226,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,16.7,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Rubén Duarte,LB,22-179,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,11.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,21.0,37.0,56.8,0.0,15.0,0.0,0.0,0.0,349.0,209.0,11.0,14.0,78.6,9.0,18.0,50.0,1.0,5.0,20.0,0.0,1.0,0.0,0.0,27.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,19.0,16.0,5.0,6.0,10.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.4,7.0,3.0,1.0,0.0,0.0,5.0,2.0,3.0,0.0,9.0,24.0,14.0,11.0,0.0,39.0,0.0,0.0,0.0,38.0,9.0,0.0,0.0,0.0,0.0,17.0,12.0,70.6,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0
