player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Karl Toko Ekambi,FW,25-247,90.0,0.0,1.0,0.0,0.0,7.0,3.0,0.0,0.0,39.0,14.0,0.0,0.0,0.0,1.1,1.1,0.4,3.0,1.0,18.0,21.0,85.7,2.0,29.0,3.0,1.0,5.0,306.0,60.0,8.0,10.0,80.0,7.0,8.0,87.5,2.0,2.0,100.0,1.0,2.0,1.0,0.0,19.0,2.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,42.9,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,25.0,11.0,37.0,20.0,1.0,0.0,118.0,51.0,1.0,1.0,1.0,4.0,47.0,32.0,68.1,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Flavien Tait,"LM,AM",25-106,90.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,64.0,27.0,1.0,0.0,3.0,0.4,0.4,0.3,7.0,1.0,34.0,47.0,72.3,4.0,55.0,11.0,2.0,4.0,527.0,173.0,19.0,22.0,86.4,10.0,11.0,90.9,4.0,11.0,36.4,2.0,3.0,1.0,0.0,40.0,7.0,3.0,4.0,12.0,4.0,4.0,3.0,0.0,0.0,0.0,29.0,4.0,14.0,5.0,40.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,5.0,18.5,4.0,12.0,11.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,10.0,35.0,26.0,2.0,60.0,50.0,2.0,0.0,375.0,235.0,3.0,2.0,1.0,3.0,52.0,47.0,90.4,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Baptiste Santamaria,"CM,DM",23-071,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,26.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,50.0,59.0,84.7,2.0,45.0,4.0,1.0,1.0,977.0,223.0,16.0,19.0,84.2,27.0,30.0,90.0,6.0,9.0,66.7,0.0,3.0,0.0,0.0,59.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,5.0,9.0,5.0,47.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,26.9,3.0,21.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,16.0,46.0,8.0,0.0,65.0,100.0,1.0,0.0,252.0,109.0,1.0,0.0,1.0,0.0,47.0,43.0,91.5,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,100.0
Lassana Coulibaly,CM,22-039,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,28.0,32.0,87.5,2.0,37.0,4.0,1.0,1.0,415.0,87.0,15.0,17.0,88.2,9.0,9.0,100.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,5.0,0.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,9.0,47.4,3.0,14.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,7.0,29.0,8.0,0.0,41.0,100.0,1.0,0.0,232.0,113.0,1.0,0.0,1.0,1.0,41.0,34.0,82.9,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Thomas Touré,"LW,CM",24-143,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,8.0,0.0,1.0,1.0,0.0,0.0,0.3,2.0,0.0,10.0,11.0,90.9,1.0,11.0,4.0,0.0,0.0,153.0,52.0,6.0,7.0,85.7,4.0,4.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,2.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,37.5,4.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,5.0,9.0,1.0,14.0,0.0,0.0,0.0,96.0,68.0,1.0,1.0,2.0,0.0,9.0,9.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Jeff Reine-Adélaïde,RM,20-122,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,1.0,0.0,0.0,30.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,52.0,46.0,1.0,0.0,0.0,0.0,4.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gilles Sunu,"RM,RW",27-050,75.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,46.0,20.0,1.0,0.0,0.0,0.3,0.3,0.0,4.0,0.0,29.0,35.0,82.9,3.0,40.0,9.0,4.0,6.0,469.0,111.0,14.0,15.0,93.3,13.0,16.0,81.3,1.0,1.0,100.0,2.0,3.0,0.0,0.0,32.0,3.0,1.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,3.0,3.0,2.0,31.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,5.0,0.0,11.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,26.0,23.0,5.0,44.0,66.7,5.0,0.0,252.0,122.0,2.0,3.0,1.0,1.0,53.0,38.0,71.7,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Pierrick Capelle,"WB,DM",31-034,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,65.0,7.0,1.0,1.0,1.0,0.1,0.1,0.9,7.0,0.0,48.0,60.0,80.0,2.0,40.0,6.0,1.0,1.0,889.0,393.0,21.0,23.0,91.3,19.0,20.0,95.0,7.0,15.0,46.7,6.0,3.0,1.0,1.0,44.0,16.0,3.0,0.0,17.0,4.0,4.0,5.0,0.0,0.0,0.0,31.0,14.0,15.0,49.0,1.0,2.0,8.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,3.0,42.9,5.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,17.0,30.0,22.0,1.0,49.0,100.0,1.0,0.0,258.0,135.0,1.0,0.0,0.0,1.0,41.0,38.0,92.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0
Vincent Manceau,"WB,RB",28-313,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,60.0,15.0,1.0,1.0,2.0,0.1,0.1,0.0,0.0,0.0,38.0,53.0,71.7,4.0,44.0,6.0,0.0,0.0,639.0,279.0,19.0,21.0,90.5,13.0,16.0,81.3,5.0,13.0,38.5,0.0,3.0,1.0,1.0,44.0,9.0,2.0,1.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0,31.0,6.0,16.0,8.0,36.0,1.0,7.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,6.0,40.0,8.0,5.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,15.0,35.0,15.0,2.0,52.0,0.0,0.0,0.0,243.0,148.0,2.0,0.0,2.0,0.0,45.0,40.0,88.9,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
Romain Thomas,CB,29-341,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,52.0,3.0,0.0,1.0,1.0,0.3,0.3,0.0,0.0,0.0,42.0,47.0,89.4,3.0,36.0,1.0,0.0,0.0,1087.0,409.0,6.0,7.0,85.7,24.0,24.0,100.0,12.0,16.0,75.0,0.0,2.0,0.0,0.0,47.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,10.0,42.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,100.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,37.0,15.0,2.0,2.0,52.0,0.0,0.0,0.0,121.0,56.0,0.0,0.0,0.0,0.0,38.0,37.0,97.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
