player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Diego Costa,FW,29-148,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,30.0,0.0,1.0,3.0,0.0,0.0,0.1,1.0,0.0,22.0,29.0,75.9,2.0,25.0,2.0,0.0,0.0,230.0,33.0,14.0,18.0,77.8,5.0,7.0,71.4,0.0,1.0,0.0,1.0,2.0,1.0,0.0,28.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,4.0,2.0,19.0,4.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,26.7,2.0,12.0,16.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,7.0,19.0,18.0,3.0,41.0,0.0,0.0,0.0,156.0,85.0,0.0,0.0,3.0,1.0,57.0,26.0,45.6,7.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3
Antoine Griezmann,FW,26-348,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,29.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,24.0,31.0,77.4,1.0,31.0,5.0,0.0,0.0,466.0,119.0,11.0,12.0,91.7,10.0,13.0,76.9,3.0,5.0,60.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,7.0,25.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,27.6,8.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,10.0,22.0,1.0,35.0,0.0,0.0,0.0,135.0,45.0,2.0,1.0,2.0,0.0,46.0,30.0,65.2,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Koke,"LW,CM",26-055,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,38.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,61.0,80.0,76.3,1.0,64.0,7.0,0.0,0.0,1059.0,316.0,30.0,33.0,90.9,18.0,25.0,72.0,9.0,15.0,60.0,0.0,8.0,0.0,0.0,74.0,6.0,5.0,0.0,29.0,4.0,2.0,1.0,0.0,0.0,0.0,60.0,4.0,16.0,7.0,67.0,6.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,7.0,14.3,6.0,10.0,26.3,15.0,16.0,7.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,22.0,49.0,27.0,1.0,86.0,0.0,0.0,0.0,296.0,123.0,3.0,0.0,3.0,1.0,72.0,63.0,87.5,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Saúl Ñíguez,"RW,LW",23-103,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,64.0,43.0,4.0,1.0,6.0,0.1,0.1,0.0,0.0,0.0,37.0,45.0,82.2,5.0,42.0,4.0,1.0,1.0,645.0,179.0,17.0,18.0,94.4,14.0,15.0,93.3,5.0,8.0,62.5,0.0,6.0,0.0,0.0,45.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,11.0,33.0,7.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,4.0,0.0,1.0,4.0,25.0,3.0,11.0,25.6,16.0,24.0,3.0,1.0,0.0,5.0,5.0,1.0,0.0,2.0,13.0,39.0,23.0,1.0,64.0,100.0,1.0,0.0,339.0,179.0,4.0,0.0,2.0,1.0,46.0,39.0,84.8,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,2.0,33.3
Thomas Partey,"CM,RB",24-264,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,19.0,6.0,1.0,2.0,0.0,0.0,0.1,1.0,0.0,44.0,52.0,84.6,6.0,48.0,5.0,2.0,2.0,849.0,310.0,16.0,18.0,88.9,21.0,23.0,91.3,6.0,9.0,66.7,1.0,6.0,2.0,0.0,51.0,1.0,0.0,0.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,42.0,3.0,7.0,4.0,45.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,5.0,1.0,0.0,0.0,4.0,0.0,4.0,6.0,31.6,11.0,8.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,26.0,35.0,17.0,0.0,67.0,100.0,2.0,0.0,342.0,191.0,2.0,0.0,1.0,1.0,44.0,42.0,95.5,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0
Gabi,CM,34-237,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,34.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28.0,32.0,87.5,0.0,23.0,3.0,0.0,0.0,512.0,186.0,12.0,12.0,100.0,13.0,14.0,92.9,3.0,6.0,50.0,0.0,3.0,0.0,0.0,30.0,2.0,2.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,8.0,1.0,29.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,6.0,33.3,4.0,6.0,17.6,7.0,19.0,8.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,7.0,16.0,15.0,0.0,35.0,0.0,0.0,0.0,104.0,32.0,1.0,0.0,0.0,0.0,22.0,17.0,77.3,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Kévin Gameiro,CM,30-299,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,0.0,10.0,1.0,1.0,1.0,82.0,16.0,3.0,3.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.5,1.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,7.0,0.0,11.0,100.0,1.0,0.0,49.0,12.0,0.0,0.0,1.0,1.0,11.0,8.0,72.7,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Filipe Luís,LB,32-207,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,41.0,73.2,0.0,34.0,4.0,2.0,2.0,417.0,113.0,17.0,18.0,94.4,11.0,17.0,64.7,0.0,2.0,0.0,1.0,2.0,0.0,0.0,35.0,6.0,0.0,0.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0,27.0,4.0,10.0,34.0,1.0,0.0,6.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,2.0,5.0,40.0,3.0,4.0,26.7,6.0,5.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,11.0,21.0,19.0,0.0,44.0,100.0,2.0,0.0,176.0,77.0,0.0,0.0,1.0,0.0,33.0,30.0,90.9,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Lucas Hernández,LB,22-018,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,84.6,2.0,13.0,1.0,0.0,0.0,196.0,83.0,4.0,5.0,80.0,5.0,6.0,83.3,1.0,1.0,100.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,50.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,9.0,2.0,0.0,16.0,0.0,0.0,0.0,83.0,52.0,0.0,0.0,0.0,0.0,14.0,13.0,92.9,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Diego Godín,CB,32-016,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,36.0,77.8,0.0,32.0,1.0,0.0,0.0,473.0,173.0,13.0,16.0,81.3,10.0,10.0,100.0,4.0,8.0,50.0,0.0,0.0,0.0,0.0,35.0,1.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,7.0,7.0,27.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,66.7,1.0,1.0,11.1,7.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,7.0,30.0,14.0,3.0,3.0,45.0,0.0,0.0,0.0,162.0,49.0,0.0,0.0,0.0,0.0,30.0,26.0,86.7,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,33.3
