player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Bruno Petković,FW,23-003,88.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,19.0,3.0,2.0,2.0,0.0,0.0,0.3,5.0,1.0,22.0,29.0,75.9,2.0,32.0,6.0,2.0,3.0,246.0,52.0,16.0,16.0,100.0,2.0,5.0,40.0,1.0,2.0,50.0,2.0,0.0,1.0,0.0,29.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,4.0,7.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,9.0,47.4,2.0,12.0,5.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,29.0,16.0,1.0,46.0,66.7,2.0,0.0,112.0,46.0,0.0,1.0,2.0,3.0,49.0,32.0,65.3,10.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,57.1
Orji Okwonkwo,FW,19-243,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,3.0,1.0,0.0,0.0,21.0,5.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,30.0,25.0,0.0,1.0,0.0,0.0,4.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
Federico Di Francesco,LW,23-097,74.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,37.0,17.0,0.0,1.0,1.0,0.1,0.1,0.0,4.0,0.0,18.0,23.0,78.3,2.0,32.0,3.0,3.0,3.0,296.0,40.0,11.0,12.0,91.7,3.0,3.0,100.0,3.0,5.0,60.0,1.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,16.0,3.0,4.0,2.0,21.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,23.5,8.0,5.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,12.0,14.0,17.0,1.0,36.0,100.0,3.0,0.0,226.0,166.0,3.0,0.0,2.0,3.0,41.0,26.0,63.4,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
Rodrigo Palacio,LW,35-226,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,4.0,0.0,0.0,0.0,38.0,21.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,1.0,9.0,4.0,44.4,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Simone Verdi,RW,25-069,90.0,1.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,72.0,16.0,0.0,1.0,1.0,0.6,0.6,0.0,2.0,0.0,28.0,46.0,60.9,3.0,54.0,7.0,7.0,10.0,557.0,158.0,17.0,19.0,89.5,5.0,9.0,55.6,6.0,16.0,37.5,0.0,3.0,0.0,0.0,38.0,8.0,1.0,0.0,11.0,4.0,4.0,4.0,4.0,0.0,0.0,20.0,9.0,17.0,27.0,16.0,1.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,31.3,4.0,5.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,12.0,39.0,29.0,4.0,61.0,70.0,7.0,0.0,342.0,184.0,3.0,1.0,4.0,2.0,60.0,49.0,81.7,7.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Godfred Donsah,CM,21-104,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,51.0,24.0,2.0,2.0,2.0,0.0,0.0,0.1,5.0,0.0,30.0,37.0,81.1,3.0,30.0,5.0,3.0,4.0,597.0,103.0,10.0,12.0,83.3,11.0,14.0,78.6,7.0,8.0,87.5,4.0,2.0,1.0,0.0,36.0,1.0,1.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,8.0,3.0,5.0,29.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,100.0,0.0,4.0,16.7,5.0,16.0,3.0,0.0,0.0,2.0,4.0,5.0,0.0,5.0,16.0,29.0,9.0,1.0,50.0,75.0,3.0,0.0,150.0,75.0,1.0,0.0,0.0,0.0,29.0,25.0,86.2,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
Andrea Poli,CM,27-355,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,24.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,30.0,33.0,90.9,1.0,29.0,1.0,2.0,2.0,433.0,38.0,18.0,19.0,94.7,8.0,9.0,88.9,2.0,2.0,100.0,0.0,1.0,0.0,0.0,32.0,1.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,1.0,8.0,25.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,3.0,4.0,75.0,1.0,4.0,16.7,3.0,15.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,8.0,26.0,5.0,0.0,37.0,100.0,2.0,0.0,70.0,22.0,0.0,0.0,0.0,0.0,32.0,27.0,84.4,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Saphir Taïder,CM,25-202,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,62.5,0.0,11.0,1.0,1.0,1.0,46.0,2.0,4.0,5.0,80.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,3.0,0.0,12.0,100.0,1.0,0.0,27.0,9.0,1.0,0.0,0.0,0.0,13.0,11.0,84.6,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erick Pulgar,DM,23-247,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,17.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,30.0,38.0,78.9,3.0,26.0,1.0,0.0,0.0,620.0,188.0,9.0,9.0,100.0,14.0,18.0,77.8,6.0,9.0,66.7,0.0,3.0,0.0,0.0,33.0,5.0,5.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0,9.0,6.0,30.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,41.2,8.0,8.0,1.0,0.0,0.0,2.0,5.0,3.0,0.0,5.0,21.0,26.0,4.0,1.0,44.0,0.0,0.0,0.0,108.0,59.0,0.0,0.0,0.0,0.0,27.0,26.0,96.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0
Adam Masina,LB,23-260,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,25.0,4.0,1.0,5.0,0.0,0.0,0.1,4.0,0.0,33.0,35.0,94.3,8.0,21.0,4.0,0.0,0.0,651.0,329.0,13.0,13.0,100.0,13.0,14.0,92.9,6.0,7.0,85.7,2.0,5.0,0.0,0.0,28.0,7.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,7.0,10.0,22.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,4.0,50.0,2.0,4.0,16.0,14.0,9.0,2.0,0.0,0.0,5.0,5.0,7.0,0.0,8.0,28.0,22.0,7.0,1.0,46.0,0.0,0.0,0.0,178.0,119.0,3.0,1.0,1.0,1.0,27.0,24.0,88.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,100.0
