player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Alexandre Mendy,FW,23-152,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,9.0,9.0,100.0,0.0,6.0,0.0,0.0,0.0,119.0,1.0,5.0,5.0,100.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,8.3,0.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,1.0,9.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,23.0,7.0,30.4,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,33.3
Gaëtan Laborde,FW,23-108,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,0.0,6.0,10.0,60.0,1.0,9.0,2.0,0.0,0.0,61.0,15.0,5.0,6.0,83.3,1.0,4.0,25.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,2.0,14.0,0.0,0.0,0.0,43.0,21.0,2.0,0.0,0.0,2.0,23.0,12.0,52.2,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
François Kamano,LW,21-110,90.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,43.0,20.0,3.0,2.0,5.0,0.1,0.1,0.0,3.0,1.0,20.0,22.0,90.9,1.0,32.0,4.0,2.0,3.0,227.0,58.0,16.0,16.0,100.0,4.0,5.0,80.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,21.0,1.0,1.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,1.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,50.0,1.0,5.0,25.0,5.0,8.0,7.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,15.0,25.0,3.0,42.0,66.7,2.0,0.0,112.0,62.0,0.0,1.0,1.0,7.0,43.0,24.0,55.8,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
Malcom,RW,20-174,90.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,63.0,15.0,0.0,1.0,1.0,0.1,0.1,0.3,10.0,3.0,38.0,53.0,71.7,5.0,47.0,14.0,0.0,1.0,809.0,225.0,14.0,17.0,82.4,13.0,16.0,81.3,10.0,17.0,58.8,5.0,4.0,1.0,0.0,41.0,12.0,6.0,0.0,7.0,1.0,5.0,5.0,0.0,0.0,0.0,35.0,2.0,16.0,50.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,8.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,25.0,44.0,2.0,53.0,0.0,0.0,0.0,350.0,201.0,6.0,2.0,2.0,1.0,49.0,41.0,83.7,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
Younousse Sankharé,CM,27-343,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,74.0,24.0,1.0,3.0,0.0,0.1,0.1,0.0,2.0,0.0,57.0,67.0,85.1,13.0,55.0,10.0,0.0,0.0,1153.0,395.0,22.0,24.0,91.7,22.0,26.0,84.6,13.0,15.0,86.7,0.0,9.0,0.0,0.0,65.0,2.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,3.0,4.0,63.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.8,4.0,17.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,9.0,52.0,13.0,2.0,72.0,0.0,0.0,0.0,277.0,180.0,0.0,1.0,0.0,0.0,65.0,58.0,89.2,5.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Lukas Lerager,CM,24-038,90.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,58.0,20.0,7.0,0.0,3.0,0.8,0.8,0.0,0.0,0.0,36.0,48.0,75.0,3.0,34.0,1.0,1.0,1.0,597.0,135.0,17.0,20.0,85.0,18.0,23.0,78.3,1.0,3.0,33.3,0.0,3.0,0.0,0.0,47.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,5.0,9.0,7.0,32.0,7.0,0.0,1.0,0.0,1.0,2.0,1.0,5.0,4.0,3.0,0.0,2.0,4.0,50.0,2.0,4.0,20.0,3.0,12.0,5.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,15.0,33.0,14.0,5.0,57.0,100.0,1.0,0.0,174.0,38.0,2.0,0.0,0.0,0.0,38.0,32.0,84.2,5.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,100.0
Valentín Vada,CM,21-166,37.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,16.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,12.0,18.0,66.7,0.0,13.0,1.0,0.0,0.0,196.0,28.0,6.0,9.0,66.7,6.0,6.0,100.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,12.0,2.0,4.0,1.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.8,2.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,14.0,1.0,16.0,0.0,0.0,0.0,67.0,32.0,1.0,0.0,1.0,0.0,16.0,16.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jonathan Cafu,CM,26-040,53.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,43.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,30.0,76.7,1.0,37.0,6.0,1.0,2.0,366.0,61.0,10.0,12.0,83.3,11.0,11.0,100.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,30.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,3.0,2.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,18.2,1.0,5.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,16.0,29.0,2.0,43.0,50.0,1.0,0.0,184.0,84.0,2.0,0.0,4.0,3.0,36.0,32.0,88.9,6.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
Théo Pellenard,LB,23-168,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,12.0,4.0,0.0,0.0,0.0,0.0,0.2,2.0,1.0,47.0,72.0,65.3,10.0,54.0,5.0,0.0,0.0,806.0,306.0,21.0,26.0,80.8,18.0,26.0,69.2,6.0,16.0,37.5,2.0,6.0,2.0,2.0,61.0,11.0,0.0,0.0,13.0,4.0,6.0,0.0,0.0,0.0,0.0,36.0,14.0,22.0,48.0,9.0,4.0,11.0,0.0,0.0,4.0,2.0,5.0,2.0,2.0,2.0,0.0,3.0,3.0,100.0,0.0,2.0,16.7,5.0,4.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,13.0,38.0,32.0,1.0,67.0,0.0,0.0,0.0,336.0,241.0,5.0,1.0,1.0,1.0,56.0,49.0,87.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Vukašin Jovanović,CB,21-094,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,3.0,0.0,2.0,1.0,0.0,0.0,0.1,1.0,0.0,51.0,58.0,87.9,2.0,47.0,5.0,0.0,0.0,1148.0,294.0,12.0,15.0,80.0,27.0,30.0,90.0,11.0,12.0,91.7,1.0,6.0,1.0,0.0,57.0,1.0,1.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,47.0,2.0,9.0,3.0,50.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,33.3,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,35.0,27.0,3.0,1.0,59.0,0.0,0.0,0.0,366.0,247.0,1.0,0.0,0.0,0.0,41.0,40.0,97.6,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
