player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Martin Braithwaite,FW,26-341,90.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,37.0,28.0,2.0,1.0,0.0,0.4,0.4,0.2,5.0,2.0,22.0,28.0,78.6,2.0,18.0,4.0,1.0,2.0,401.0,64.0,9.0,12.0,75.0,9.0,11.0,81.8,3.0,4.0,75.0,2.0,1.0,0.0,0.0,26.0,2.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,4.0,1.0,20.0,6.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,32.1,0.0,13.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,17.0,22.0,6.0,35.0,50.0,1.0,0.0,135.0,68.0,2.0,2.0,1.0,0.0,47.0,28.0,59.6,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
François Kamano,LW,22-011,52.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,24.0,15.0,0.0,1.0,0.0,1.0,1.0,0.1,1.0,0.0,9.0,15.0,60.0,0.0,21.0,4.0,3.0,5.0,144.0,9.0,4.0,6.0,66.7,5.0,7.0,71.4,0.0,2.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,3.0,0.0,14.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,40.0,4.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,20.0,5.0,23.0,60.0,3.0,0.0,119.0,55.0,1.0,1.0,3.0,0.0,31.0,21.0,67.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
Nicolas de Préville,LW,27-124,38.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,12.0,1.0,1.0,1.0,0.1,0.1,0.8,2.0,1.0,7.0,10.0,70.0,0.0,12.0,5.0,0.0,0.0,108.0,34.0,2.0,3.0,66.7,5.0,7.0,71.4,0.0,0.0,0.0,1.0,2.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,33.3,6.0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,6.0,7.0,7.0,2.0,19.0,0.0,0.0,0.0,103.0,76.0,0.0,2.0,1.0,1.0,16.0,12.0,75.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Malcom,RW,21-075,86.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,66.0,15.0,1.0,1.0,0.0,0.3,0.3,0.2,5.0,1.0,34.0,51.0,66.7,5.0,50.0,7.0,4.0,7.0,615.0,271.0,10.0,13.0,76.9,18.0,23.0,78.3,4.0,10.0,40.0,3.0,2.0,2.0,1.0,43.0,8.0,3.0,0.0,11.0,3.0,3.0,5.0,0.0,0.0,0.0,34.0,5.0,12.0,41.0,7.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,53.3,4.0,10.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.0,32.0,32.0,2.0,58.0,57.1,4.0,1.0,417.0,197.0,2.0,2.0,3.0,1.0,61.0,47.0,77.0,8.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,7.0,1.0,2.0,33.3
Otávio,RW,24-008,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,0.0,36.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soualiho Meïté,CM,24-056,90.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,69.0,25.0,2.0,1.0,2.0,0.4,0.4,0.2,5.0,2.0,50.0,57.0,87.7,5.0,52.0,6.0,2.0,2.0,912.0,223.0,19.0,21.0,90.5,24.0,26.0,92.3,7.0,9.0,77.8,2.0,5.0,3.0,1.0,54.0,3.0,3.0,2.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,5.0,9.0,10.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,8.0,32.0,6.0,14.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,16.0,43.0,15.0,3.0,67.0,100.0,2.0,0.0,349.0,199.0,0.0,0.0,0.0,1.0,49.0,46.0,93.9,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,100.0
Jaroslav Plašil,CM,36-127,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,22.0,2.0,2.0,3.0,0.0,0.0,0.2,4.0,1.0,34.0,44.0,77.3,5.0,34.0,2.0,1.0,2.0,726.0,168.0,7.0,10.0,70.0,18.0,23.0,78.3,7.0,7.0,100.0,1.0,4.0,1.0,0.0,44.0,0.0,0.0,1.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,6.0,9.0,18.0,22.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,6.0,16.7,5.0,11.0,50.0,13.0,7.0,2.0,1.0,0.0,2.0,4.0,2.0,0.0,4.0,14.0,37.0,8.0,0.0,58.0,50.0,1.0,0.0,167.0,57.0,0.0,0.0,0.0,1.0,34.0,34.0,100.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Valentín Vada,CM,22-067,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,1.0,4.0,1.0,0.0,0.0,105.0,34.0,2.0,2.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0,39.0,22.0,0.0,0.0,0.0,0.0,7.0,4.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lukas Lerager,CM,24-304,90.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,46.0,43.0,1.0,2.0,2.0,1.0,1.0,0.9,3.0,0.0,23.0,33.0,69.7,2.0,28.0,3.0,0.0,1.0,445.0,168.0,10.0,16.0,62.5,8.0,9.0,88.9,4.0,5.0,80.0,1.0,0.0,0.0,0.0,33.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,7.0,3.0,27.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,16.0,37.2,12.0,20.0,11.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,10.0,21.0,18.0,4.0,46.0,0.0,0.0,0.0,169.0,90.0,1.0,0.0,1.0,1.0,52.0,36.0,69.2,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,28.6
Maxime Poundjé,LB,25-269,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,20.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,30.0,41.0,73.2,4.0,30.0,7.0,2.0,3.0,430.0,251.0,14.0,15.0,93.3,11.0,16.0,68.8,2.0,6.0,33.3,0.0,6.0,0.0,0.0,31.0,10.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,20.0,5.0,16.0,25.0,4.0,2.0,10.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,45.0,9.0,5.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,16.0,23.0,15.0,0.0,40.0,66.7,2.0,1.0,233.0,182.0,1.0,0.0,0.0,1.0,34.0,27.0,79.4,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
