player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Callum Wilson,FW,25-306,85.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,26.0,6.0,0.0,1.0,0.0,0.4,0.4,0.0,4.0,1.0,16.0,18.0,88.9,3.0,22.0,3.0,3.0,3.0,184.0,52.0,13.0,13.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,2.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,16.0,5.0,24.0,100.0,3.0,0.0,141.0,76.0,0.0,2.0,0.0,2.0,42.0,20.0,47.6,10.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0
Lys Mousset,FW,21-325,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,5.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,2.0,5.0,5.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Joshua King,AM,25-349,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0,1.0,0.0,0.0,0.0,0.0,0.2,4.0,1.0,7.0,9.0,77.8,0.0,12.0,1.0,0.0,4.0,97.0,15.0,4.0,5.0,80.0,3.0,3.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,12.0,5.0,17.0,0.0,0.0,0.0,64.0,30.0,1.0,0.0,0.0,0.0,18.0,11.0,61.1,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Benik Afobe,AM,24-321,51.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,7.0,1.0,1.0,0.0,0.1,0.1,0.0,2.0,0.0,26.0,34.0,76.5,1.0,22.0,6.0,1.0,1.0,264.0,34.0,22.0,27.0,81.5,3.0,5.0,60.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,34.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.0,5.0,6.0,19.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,57.1,1.0,4.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,18.0,25.0,7.0,45.0,100.0,1.0,0.0,152.0,81.0,0.0,2.0,6.0,0.0,45.0,38.0,84.4,15.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,62.5
Ryan Fraser,LM,23-309,90.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,66.0,4.0,0.0,1.0,2.0,0.2,0.2,0.1,2.0,0.0,37.0,52.0,71.2,9.0,42.0,16.0,1.0,1.0,587.0,335.0,21.0,23.0,91.3,9.0,13.0,69.2,5.0,12.0,41.7,2.0,1.0,5.0,2.0,46.0,6.0,2.0,0.0,5.0,0.0,4.0,4.0,2.0,1.0,0.0,32.0,10.0,10.0,13.0,39.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,31.0,37.0,4.0,61.0,100.0,1.0,0.0,401.0,296.0,9.0,2.0,0.0,2.0,57.0,49.0,86.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Dan Gosling,CM,27-332,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,69.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,36.0,54.0,66.7,9.0,21.0,2.0,0.0,0.0,629.0,270.0,15.0,20.0,75.0,13.0,18.0,72.2,5.0,8.0,62.5,1.0,8.0,1.0,0.0,52.0,2.0,2.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,16.0,16.0,6.0,37.0,8.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,47.1,4.0,9.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0,13.0,46.0,13.0,1.0,67.0,0.0,0.0,0.0,144.0,89.0,0.0,0.0,3.0,1.0,40.0,39.0,97.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,2.0,75.0
Lewis Cook,CM,20-330,78.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,35.0,74.3,7.0,27.0,1.0,0.0,1.0,428.0,132.0,12.0,14.0,85.7,11.0,12.0,91.7,2.0,6.0,33.3,1.0,5.0,0.0,0.0,34.0,1.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,5.0,3.0,28.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,50.0,1.0,6.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,9.0,30.0,7.0,0.0,43.0,0.0,0.0,0.0,144.0,55.0,1.0,0.0,0.0,0.0,27.0,25.0,92.6,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,50.0
Harry Arter,CM,28-002,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,0.0,3.0,0.0,0.0,0.0,64.0,51.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Jordon Ibe,RM,22-022,90.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,44.0,6.0,0.0,1.0,1.0,0.2,0.2,0.0,5.0,0.0,22.0,28.0,78.6,4.0,32.0,8.0,4.0,5.0,312.0,115.0,14.0,19.0,73.7,5.0,5.0,100.0,2.0,2.0,100.0,1.0,1.0,2.0,0.0,26.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,3.0,3.0,23.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,66.7,1.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,17.0,26.0,4.0,42.0,80.0,4.0,0.0,243.0,153.0,2.0,2.0,3.0,4.0,41.0,36.0,87.8,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Adam Smith,LB,26-245,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,10.0,2.0,0.0,1.0,0.0,0.0,0.2,5.0,2.0,49.0,64.0,76.6,3.0,35.0,10.0,1.0,2.0,741.0,300.0,26.0,29.0,89.7,19.0,27.0,70.4,2.0,5.0,40.0,3.0,4.0,1.0,1.0,45.0,19.0,2.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,31.0,8.0,25.0,9.0,34.0,4.0,17.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,40.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,3.0,16.0,31.0,27.0,4.0,54.0,50.0,1.0,0.0,175.0,111.0,0.0,0.0,2.0,1.0,36.0,35.0,97.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
