player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Callum Wilson,FW,25-341,90.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,27.0,21.0,0.0,1.0,0.0,0.4,0.4,0.0,2.0,0.0,15.0,17.0,88.2,1.0,20.0,0.0,0.0,0.0,129.0,18.0,9.0,11.0,81.8,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,2.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,5.0,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,42.9,0.0,12.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,9.0,18.0,5.0,25.0,0.0,0.0,0.0,35.0,3.0,0.0,0.0,3.0,3.0,36.0,23.0,63.9,11.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
Junior Stanislas,AM,28-069,59.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,33.0,10.0,0.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,20.0,26.0,76.9,4.0,21.0,1.0,1.0,1.0,319.0,104.0,11.0,13.0,84.6,8.0,10.0,80.0,1.0,2.0,50.0,0.0,1.0,2.0,0.0,24.0,2.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,14.0,7.0,5.0,3.0,21.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,11.0,11.0,16.0,0.0,29.0,100.0,1.0,0.0,86.0,49.0,1.0,0.0,1.0,1.0,23.0,20.0,87.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Lys Mousset,AM,21-360,31.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,14.0,6.0,0.0,0.0,0.0,0.3,0.3,0.0,1.0,0.0,6.0,9.0,66.7,3.0,12.0,2.0,0.0,0.0,87.0,36.0,3.0,5.0,60.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.3,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,2.0,14.0,0.0,0.0,0.0,112.0,98.0,0.0,1.0,0.0,2.0,15.0,10.0,66.7,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
Jordon Ibe,AM,22-057,90.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,48.0,15.0,0.0,0.0,1.0,0.4,0.4,0.3,4.0,2.0,26.0,34.0,76.5,1.0,37.0,2.0,1.0,2.0,300.0,103.0,17.0,19.0,89.5,5.0,6.0,83.3,1.0,4.0,25.0,1.0,0.0,0.0,0.0,26.0,8.0,1.0,0.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,17.0,11.0,6.0,7.0,23.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,4.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,15.0,28.0,5.0,41.0,50.0,1.0,0.0,124.0,57.0,0.0,1.0,1.0,5.0,39.0,34.0,87.2,6.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Marc Pugh,AM,30-307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lewis Cook,CM,21-000,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,17.0,2.0,2.0,3.0,0.0,0.0,0.2,4.0,0.0,33.0,47.0,70.2,5.0,49.0,3.0,2.0,2.0,798.0,240.0,2.0,6.0,33.3,21.0,24.0,87.5,9.0,15.0,60.0,3.0,4.0,2.0,1.0,46.0,1.0,1.0,0.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,29.0,6.0,12.0,4.0,40.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,4.0,23.5,7.0,10.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,2.0,17.0,35.0,18.0,0.0,63.0,100.0,2.0,0.0,230.0,95.0,2.0,0.0,2.0,4.0,39.0,39.0,100.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,100.0
Dan Gosling,DM,28-002,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,70.0,20.0,2.0,1.0,2.0,0.1,0.1,0.1,2.0,0.0,40.0,60.0,66.7,8.0,48.0,2.0,0.0,0.0,682.0,313.0,18.0,26.0,69.2,18.0,22.0,81.8,3.0,11.0,27.3,2.0,8.0,0.0,0.0,58.0,2.0,2.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,7.0,22.0,6.0,43.0,8.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,20.0,8.0,12.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,17.0,45.0,12.0,2.0,68.0,0.0,0.0,0.0,184.0,74.0,1.0,0.0,1.0,3.0,43.0,39.0,90.7,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,23.0,2.0,4.0,33.3
Charlie Daniels,WB,31-149,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,52.0,71.0,73.2,4.0,41.0,4.0,0.0,0.0,920.0,392.0,22.0,26.0,84.6,22.0,28.0,78.6,5.0,13.0,38.5,0.0,1.0,1.0,0.0,52.0,19.0,4.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,19.0,20.0,49.0,2.0,5.0,15.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.5,6.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,26.0,42.0,19.0,0.0,61.0,0.0,0.0,0.0,293.0,195.0,1.0,0.0,0.0,0.0,36.0,35.0,97.2,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0
Ryan Fraser,WB,23-344,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,8.0,1.0,0.0,2.0,0.0,0.0,0.1,2.0,0.0,31.0,48.0,64.6,1.0,36.0,5.0,0.0,0.0,520.0,188.0,17.0,21.0,81.0,12.0,19.0,63.2,2.0,6.0,33.3,1.0,0.0,1.0,1.0,42.0,6.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,28.0,7.0,13.0,5.0,31.0,6.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,5.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,15.0,19.0,21.0,0.0,47.0,0.0,0.0,0.0,145.0,65.0,2.0,0.0,0.0,1.0,33.0,32.0,97.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Nathan Aké,CB,22-350,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,50.0,62.0,80.6,2.0,38.0,1.0,0.0,0.0,1007.0,403.0,12.0,17.0,70.6,32.0,37.0,86.5,6.0,8.0,75.0,1.0,2.0,0.0,0.0,62.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,7.0,17.0,37.0,6.0,16.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.7,9.0,3.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,7.0,50.0,23.0,1.0,1.0,69.0,0.0,0.0,0.0,206.0,112.0,0.0,0.0,0.0,0.0,38.0,37.0,97.4,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,25.0,3.0,1.0,75.0
