player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Glenn Murray,FW,34-128,77.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,35.0,13.0,1.0,0.0,0.0,0.8,0.1,0.0,1.0,0.0,15.0,27.0,55.6,1.0,15.0,1.0,0.0,1.0,182.0,38.0,11.0,14.0,78.6,4.0,10.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,26.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,14.0,1.0,6.0,11.0,0.0,6.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,38.5,1.0,8.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,15.0,17.0,3.0,33.0,0.0,0.0,0.0,57.0,14.0,0.0,1.0,0.0,2.0,24.0,22.0,91.7,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,100.0
Leonardo Ulloa,FW,31-189,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,60.0,1.0,11.0,0.0,2.0,2.0,72.0,25.0,4.0,6.0,66.7,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,5.0,9.0,0.0,17.0,100.0,2.0,0.0,32.0,3.0,0.0,0.0,2.0,1.0,11.0,11.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
Pascal Groß,AM,26-230,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,13.0,3.0,0.0,1.0,0.0,0.0,0.1,2.0,0.0,18.0,30.0,60.0,1.0,24.0,3.0,0.0,0.0,313.0,128.0,10.0,14.0,71.4,5.0,8.0,62.5,3.0,7.0,42.9,2.0,1.0,0.0,0.0,27.0,3.0,1.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,18.0,0.0,12.0,5.0,24.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,4.0,30.8,2.0,5.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,5.0,11.0,22.0,1.0,32.0,0.0,0.0,0.0,135.0,62.0,2.0,1.0,1.0,0.0,22.0,22.0,100.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Beram Kayal,AM,29-274,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,3.0,1.0,0.0,0.0,9.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,29.0,22.0,1.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José Izquierdo,LM,25-208,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,18.0,1.0,2.0,1.0,0.1,0.1,0.0,3.0,1.0,17.0,24.0,70.8,0.0,22.0,2.0,3.0,3.0,195.0,34.0,13.0,17.0,76.5,4.0,6.0,66.7,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,11.0,0.0,16.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.7,10.0,3.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,8.0,12.0,15.0,5.0,34.0,100.0,3.0,0.0,141.0,96.0,0.0,0.0,1.0,1.0,24.0,23.0,95.8,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
Solly March,RM,23-195,90.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,48.0,17.0,2.0,1.0,4.0,0.1,0.1,0.0,1.0,1.0,21.0,30.0,70.0,1.0,34.0,3.0,3.0,3.0,419.0,108.0,12.0,13.0,92.3,5.0,9.0,55.6,4.0,6.0,66.7,0.0,1.0,0.0,0.0,28.0,2.0,1.0,0.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,19.0,1.0,10.0,25.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,23.5,12.0,3.0,2.0,0.0,0.0,4.0,3.0,3.0,0.0,3.0,17.0,16.0,21.0,4.0,46.0,100.0,3.0,0.0,226.0,83.0,0.0,1.0,0.0,1.0,26.0,25.0,96.2,3.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0
Davy Pröpper,DM,26-151,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,11.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,24.0,30.0,80.0,4.0,22.0,1.0,0.0,1.0,471.0,170.0,8.0,10.0,80.0,13.0,16.0,81.3,3.0,3.0,100.0,0.0,4.0,0.0,0.0,30.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,12.0,4.0,18.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,1.0,9.1,6.0,3.0,2.0,1.0,0.0,2.0,3.0,5.0,0.0,6.0,14.0,23.0,9.0,0.0,45.0,0.0,1.0,0.0,81.0,12.0,0.0,0.0,1.0,0.0,18.0,18.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,1.0,66.7
Dale Stephens,DM,28-233,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,16.0,4.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,28.0,34.0,82.4,3.0,27.0,0.0,0.0,0.0,545.0,186.0,12.0,13.0,92.3,10.0,12.0,83.3,5.0,7.0,71.4,0.0,3.0,0.0,0.0,33.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,10.0,3.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,7.0,0.0,7.0,6.0,37.5,10.0,4.0,2.0,2.0,0.0,1.0,8.0,1.0,0.0,2.0,18.0,18.0,8.0,0.0,43.0,0.0,0.0,0.0,110.0,14.0,0.0,0.0,0.0,1.0,20.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Gaëtan Bong,LB,29-281,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,29.0,51.7,3.0,21.0,2.0,0.0,0.0,272.0,155.0,7.0,7.0,100.0,7.0,12.0,58.3,1.0,8.0,12.5,0.0,2.0,1.0,1.0,23.0,6.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,11.0,3.0,15.0,20.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.1,6.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,17.0,13.0,11.0,0.0,29.0,0.0,0.0,0.0,128.0,70.0,1.0,0.0,0.0,2.0,18.0,18.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
Lewis Dunk,CB,26-071,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,60.0,0.0,18.0,0.0,0.0,0.0,315.0,41.0,5.0,7.0,71.4,7.0,11.0,63.6,3.0,7.0,42.9,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,12.0,0.0,17.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,5.0,10.0,0.0,7.0,28.0,14.0,3.0,0.0,42.0,0.0,0.0,0.0,91.0,33.0,0.0,0.0,0.0,0.0,13.0,13.0,100.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,7.0,1.0,87.5
