player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Chris Wood,FW,25-360,74.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,11.0,0.0,1.0,0.0,0.1,0.1,0.0,4.0,0.0,14.0,19.0,73.7,1.0,14.0,1.0,0.0,0.0,191.0,34.0,10.0,12.0,83.3,4.0,5.0,80.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,9.0,2.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,18.2,0.0,7.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,14.0,15.0,3.0,30.0,0.0,0.0,0.0,44.0,26.0,2.0,0.0,2.0,3.0,44.0,23.0,52.3,9.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,5.0,9.0,35.7
Sam Vokes,FW,28-042,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,2.0,0.0,0.0,0.0,36.0,7.0,0.0,1.0,0.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,5.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,7.0,4.0,57.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,40.0
Jeff Hendrick,AM,25-305,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,34.0,1.0,0.0,5.0,0.0,0.0,0.1,2.0,0.0,29.0,37.0,78.4,3.0,35.0,5.0,1.0,2.0,506.0,101.0,10.0,10.0,100.0,14.0,18.0,77.8,3.0,7.0,42.9,2.0,4.0,0.0,0.0,35.0,2.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,13.0,8.0,1.0,33.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,7.0,20.6,7.0,15.0,12.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,10.0,30.0,18.0,0.0,51.0,50.0,1.0,0.0,117.0,75.0,2.0,0.0,0.0,4.0,43.0,34.0,79.1,7.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
Robbie Brady,LM,25-322,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,7.0,1.0,1.0,0.0,0.0,0.0,0.1,5.0,0.0,10.0,16.0,62.5,1.0,10.0,3.0,0.0,1.0,261.0,116.0,2.0,3.0,66.7,3.0,3.0,100.0,4.0,9.0,44.4,3.0,1.0,1.0,0.0,10.0,6.0,1.0,0.0,1.0,5.0,2.0,5.0,0.0,3.0,2.0,3.0,2.0,11.0,15.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,28.6,2.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,17.0,2.0,14.0,0.0,0.0,0.0,104.0,78.0,1.0,0.0,0.0,0.0,10.0,9.0,90.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Scott Arfield,LM,29-031,59.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,31.0,5.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,13.0,17.0,76.5,2.0,16.0,1.0,0.0,2.0,213.0,39.0,5.0,5.0,100.0,7.0,10.0,70.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,2.0,3.0,13.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,4.0,4.0,100.0,0.0,12.0,38.7,15.0,10.0,6.0,0.0,0.0,3.0,6.0,1.0,0.0,4.0,9.0,12.0,8.0,0.0,27.0,0.0,1.0,0.0,67.0,23.0,0.0,0.0,1.0,0.0,17.0,13.0,76.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Jack Cork,CM,28-160,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,21.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,33.0,43.0,76.7,4.0,32.0,2.0,0.0,0.0,592.0,186.0,13.0,17.0,76.5,18.0,20.0,90.0,2.0,5.0,40.0,1.0,4.0,0.0,0.0,42.0,1.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,7.0,9.0,2.0,35.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,9.0,42.9,7.0,13.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,10.0,36.0,7.0,0.0,51.0,0.0,0.0,0.0,121.0,49.0,1.0,0.0,1.0,2.0,40.0,35.0,87.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,3.0,57.1
Steven Defour,CM,29-231,66.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.0,23.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,36.0,44.0,81.8,3.0,40.0,7.0,1.0,1.0,833.0,143.0,7.0,7.0,100.0,19.0,22.0,86.4,9.0,14.0,64.3,0.0,6.0,0.0,0.0,43.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,29.0,6.0,9.0,4.0,38.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,100.0,0.0,6.0,26.1,13.0,10.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,13.0,34.0,5.0,0.0,51.0,100.0,1.0,0.0,232.0,118.0,0.0,0.0,0.0,0.0,40.0,39.0,97.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Ashley Barnes,CM,28-033,24.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,3.0,5.0,60.0,0.0,3.0,0.0,0.0,0.0,65.0,17.0,1.0,3.0,33.3,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,5.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0,31.8,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
Jóhann Berg Guðmundsson,RM,27-036,90.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,47.0,31.0,2.0,0.0,1.0,0.1,0.1,0.4,5.0,0.0,24.0,38.0,63.2,3.0,29.0,7.0,0.0,0.0,438.0,191.0,11.0,16.0,68.8,10.0,12.0,83.3,3.0,6.0,50.0,5.0,0.0,3.0,2.0,37.0,1.0,0.0,0.0,10.0,1.0,4.0,1.0,0.0,1.0,0.0,15.0,8.0,15.0,26.0,6.0,4.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,9.0,29.0,10.0,15.0,6.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,8.0,15.0,25.0,1.0,46.0,0.0,0.0,0.0,232.0,112.0,1.0,0.0,0.0,1.0,37.0,29.0,78.4,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,50.0
Stephen Ward,LB,32-104,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,40.0,82.5,3.0,24.0,1.0,0.0,0.0,579.0,219.0,14.0,15.0,93.3,15.0,18.0,83.3,3.0,5.0,60.0,0.0,2.0,1.0,1.0,32.0,8.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,7.0,15.0,22.0,5.0,3.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,5.0,25.0,16.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,4.0,13.0,22.0,13.0,0.0,38.0,0.0,0.0,0.0,112.0,77.0,0.0,0.0,1.0,0.0,30.0,25.0,83.3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,4.0,33.3
