player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Maxi Gómez,FW,21-209,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,22.0,6.0,0.0,0.0,0.0,0.1,0.1,0.1,3.0,0.0,11.0,17.0,64.7,1.0,11.0,1.0,0.0,0.0,142.0,14.0,8.0,11.0,72.7,2.0,5.0,40.0,1.0,1.0,100.0,1.0,1.0,1.0,0.0,16.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,2.0,9.0,5.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,9.0,3.0,22.0,0.0,0.0,0.0,31.0,9.0,0.0,0.0,0.0,1.0,31.0,16.0,51.6,5.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
Emre Mor,LW,20-230,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,23.0,0.0,1.0,2.0,0.0,0.0,0.4,4.0,0.0,22.0,28.0,78.6,0.0,35.0,3.0,3.0,7.0,404.0,121.0,10.0,11.0,90.9,8.0,9.0,88.9,4.0,8.0,50.0,3.0,1.0,2.0,2.0,23.0,5.0,1.0,0.0,6.0,2.0,3.0,3.0,0.0,0.0,0.0,17.0,2.0,9.0,25.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,30.4,10.0,8.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,27.0,23.0,1.0,42.0,42.9,5.0,0.0,176.0,63.0,2.0,1.0,1.0,4.0,46.0,33.0,71.7,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Iago Aspas,RW,30-222,72.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,37.0,8.0,0.0,0.0,1.0,0.1,0.1,0.1,2.0,0.0,20.0,28.0,71.4,1.0,25.0,1.0,1.0,2.0,338.0,31.0,10.0,12.0,83.3,6.0,9.0,66.7,3.0,5.0,60.0,1.0,0.0,1.0,0.0,23.0,5.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,17.0,5.0,6.0,14.0,10.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,22.0,14.0,2.0,32.0,50.0,1.0,0.0,46.0,20.0,0.0,1.0,2.0,2.0,37.0,26.0,70.3,6.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Lucas Boyé,RW,22-011,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,72.7,2.0,16.0,3.0,1.0,2.0,100.0,41.0,5.0,5.0,100.0,3.0,4.0,75.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,42.9,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,2.0,15.0,50.0,1.0,0.0,62.0,30.0,0.0,0.0,2.0,0.0,18.0,13.0,72.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Pablo Hernández,CM,31-138,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,13.0,0.0,2.0,0.0,0.1,0.1,0.0,0.0,0.0,38.0,46.0,82.6,5.0,38.0,4.0,0.0,0.0,723.0,179.0,16.0,19.0,84.2,18.0,21.0,85.7,4.0,4.0,100.0,0.0,4.0,0.0,0.0,46.0,0.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,37.0,1.0,8.0,43.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7.7,5.0,7.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,11.0,35.0,5.0,1.0,50.0,0.0,0.0,0.0,188.0,68.0,0.0,0.0,0.0,0.0,39.0,37.0,94.9,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Nemanja Radoja,CM,25-033,66.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,21.0,1.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,23.0,28.0,82.1,1.0,25.0,4.0,0.0,0.0,408.0,117.0,12.0,15.0,80.0,8.0,9.0,88.9,3.0,3.0,100.0,0.0,2.0,0.0,0.0,28.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,8.0,6.0,18.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,23.8,10.0,8.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,9.0,23.0,5.0,2.0,35.0,0.0,0.0,0.0,170.0,118.0,1.0,0.0,1.0,1.0,22.0,21.0,95.5,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
Brais Méndez,CM,21-063,24.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,82.4,3.0,20.0,1.0,0.0,0.0,205.0,75.0,9.0,9.0,100.0,4.0,5.0,80.0,1.0,2.0,50.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,10.0,8.0,0.0,21.0,0.0,0.0,0.0,47.0,24.0,0.0,0.0,0.0,0.0,22.0,18.0,81.8,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Stanislav Lobotka,DM,23-106,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,55.0,59.0,93.2,7.0,59.0,7.0,2.0,2.0,1118.0,244.0,24.0,26.0,92.3,20.0,21.0,95.2,11.0,12.0,91.7,0.0,5.0,0.0,0.0,59.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,8.0,11.0,46.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,6.0,37.5,5.0,6.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,17.0,42.0,10.0,0.0,63.0,100.0,2.0,0.0,312.0,134.0,3.0,0.0,1.0,0.0,52.0,51.0,98.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Jonny Castro,LB,24-008,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,21.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,46.0,54.0,85.2,2.0,50.0,10.0,4.0,6.0,866.0,162.0,21.0,23.0,91.3,19.0,23.0,82.6,6.0,8.0,75.0,1.0,4.0,1.0,0.0,52.0,2.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,10.0,17.0,34.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,9.5,17.0,1.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,19.0,41.0,17.0,0.0,64.0,66.7,5.0,0.0,319.0,224.0,9.0,0.0,2.0,0.0,46.0,43.0,93.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Sergi Gómez,CB,25-348,77.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,49.0,19.0,1.0,2.0,2.0,0.2,0.2,0.0,0.0,0.0,34.0,39.0,87.2,2.0,30.0,2.0,0.0,0.0,812.0,284.0,9.0,11.0,81.8,18.0,19.0,94.7,7.0,9.0,77.8,0.0,3.0,0.0,0.0,38.0,1.0,1.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,7.0,5.0,30.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,31.6,14.0,5.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,10.0,29.0,21.0,1.0,1.0,48.0,0.0,0.0,0.0,166.0,97.0,0.0,0.0,1.0,0.0,24.0,24.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0
