player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Maxi Gómez,FW,21-083,76.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,13.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,8.0,16.0,50.0,1.0,16.0,2.0,0.0,0.0,134.0,42.0,5.0,10.0,50.0,2.0,5.0,40.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,15.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,6.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,38.5,2.0,8.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,18.0,3.0,1.0,24.0,0.0,0.0,0.0,74.0,50.0,0.0,0.0,1.0,2.0,33.0,15.0,45.5,4.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,6.0,3.0,3.0,50.0
John Guidetti,FW,25-204,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,5.0,6.0,83.3,0.0,9.0,0.0,0.0,0.0,97.0,52.0,4.0,4.0,100.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,10.0,0.0,0.0,0.0,17.0,6.0,0.0,0.0,2.0,1.0,14.0,9.0,64.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Pione Sisto,LW,22-274,90.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,42.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,26.0,34.0,76.5,4.0,36.0,3.0,2.0,2.0,458.0,157.0,11.0,13.0,84.6,12.0,12.0,100.0,3.0,7.0,42.9,1.0,3.0,2.0,0.0,31.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,3.0,6.0,5.0,28.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,3.0,25.0,3.0,6.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,11.0,22.0,11.0,1.0,39.0,100.0,2.0,0.0,207.0,80.0,0.0,1.0,3.0,1.0,40.0,32.0,80.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Iago Aspas,RW,30-096,90.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,53.0,27.0,0.0,1.0,0.0,0.4,0.4,0.0,1.0,0.0,28.0,38.0,73.7,4.0,43.0,8.0,1.0,3.0,419.0,84.0,16.0,20.0,80.0,11.0,13.0,84.6,1.0,3.0,33.3,0.0,5.0,1.0,0.0,38.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,1.0,3.0,25.0,10.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,33.3,7.0,11.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,35.0,19.0,6.0,53.0,33.3,1.0,0.0,225.0,137.0,3.0,2.0,0.0,3.0,62.0,45.0,72.6,15.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
Jozabed,RW,26-242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,40.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Stanislav Lobotka,CM,22-345,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,12.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,38.0,44.0,86.4,4.0,34.0,2.0,1.0,2.0,666.0,152.0,19.0,22.0,86.4,16.0,18.0,88.9,3.0,4.0,75.0,0.0,1.0,0.0,0.0,41.0,3.0,3.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,9.0,6.0,31.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,100.0,0.0,2.0,16.7,5.0,7.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,20.0,30.0,5.0,1.0,48.0,50.0,1.0,0.0,110.0,55.0,0.0,0.0,0.0,2.0,27.0,25.0,92.6,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,3.0,2.0,60.0
Nemanja Radoja,CM,24-272,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,1.0,4.0,0.0,0.0,0.0,100.0,32.0,3.0,3.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0,5.0,3.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
Daniel Wass,CM,28-158,90.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,54.0,18.0,2.0,0.0,1.0,0.1,0.1,0.3,4.0,2.0,32.0,42.0,76.2,2.0,33.0,6.0,0.0,0.0,573.0,227.0,15.0,20.0,75.0,14.0,16.0,87.5,3.0,5.0,60.0,2.0,0.0,3.0,3.0,38.0,4.0,2.0,0.0,8.0,2.0,4.0,2.0,0.0,0.0,0.0,30.0,2.0,10.0,3.0,33.0,5.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,16.7,5.0,11.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,9.0,28.0,19.0,1.0,50.0,0.0,0.0,0.0,195.0,95.0,2.0,1.0,0.0,0.0,35.0,30.0,85.7,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,11.0,1.0,3.0,25.0
Pablo Hernández,DM,31-012,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,10.0,2.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,37.0,46.0,80.4,4.0,42.0,3.0,2.0,4.0,588.0,191.0,15.0,19.0,78.9,18.0,19.0,94.7,2.0,6.0,33.3,1.0,2.0,0.0,0.0,46.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,12.0,27.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,40.0,5.0,5.0,0.0,1.0,0.0,6.0,2.0,3.0,0.0,3.0,15.0,50.0,8.0,2.0,69.0,50.0,3.0,1.0,177.0,55.0,1.0,0.0,2.0,1.0,40.0,35.0,87.5,3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,18.0,5.0,1.0,83.3
Jonny Castro,LB,23-247,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,13.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,33.0,39.0,84.6,1.0,25.0,0.0,0.0,1.0,546.0,243.0,16.0,18.0,88.9,13.0,15.0,86.7,3.0,5.0,60.0,1.0,0.0,0.0,0.0,29.0,10.0,3.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,3.0,11.0,18.0,11.0,2.0,7.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,30.8,9.0,3.0,1.0,0.0,0.0,2.0,4.0,2.0,0.0,3.0,18.0,27.0,9.0,1.0,41.0,0.0,0.0,0.0,76.0,20.0,0.0,0.0,1.0,0.0,25.0,23.0,92.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,33.3
