player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Pedro,FW,30-141,68.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,13.0,2.0,0.0,1.0,0.1,0.1,0.1,3.0,0.0,19.0,28.0,67.9,3.0,23.0,8.0,2.0,2.0,297.0,89.0,13.0,16.0,81.3,4.0,6.0,66.7,2.0,4.0,50.0,1.0,1.0,2.0,0.0,28.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,2.0,6.0,11.0,15.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,30.8,1.0,1.0,11.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,11.0,22.0,3.0,32.0,100.0,2.0,0.0,255.0,130.0,3.0,0.0,1.0,0.0,20.0,19.0,95.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Cesc Fàbregas,AM,30-226,22.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,30.0,5.0,0.0,0.0,1.0,0.2,0.2,0.1,3.0,0.0,18.0,24.0,75.0,6.0,14.0,2.0,0.0,0.0,350.0,158.0,2.0,3.0,66.7,12.0,15.0,80.0,2.0,4.0,50.0,2.0,4.0,2.0,0.0,17.0,7.0,3.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,19.0,1.0,4.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,9.0,19.0,2.0,24.0,0.0,0.0,0.0,41.0,29.0,1.0,0.0,0.0,2.0,20.0,19.0,95.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Eden Hazard,AM,26-343,73.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,10.0,0.0,0.0,0.0,0.1,0.1,0.1,6.0,1.0,36.0,48.0,75.0,6.0,47.0,8.0,7.0,7.0,639.0,171.0,14.0,18.0,77.8,15.0,17.0,88.2,5.0,8.0,62.5,2.0,3.0,1.0,0.0,45.0,3.0,2.0,0.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,40.0,3.0,5.0,7.0,39.0,1.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,35.0,4.0,52.0,100.0,7.0,0.0,260.0,108.0,3.0,1.0,0.0,3.0,52.0,49.0,94.2,13.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Álvaro Morata,FW,25-054,17.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,17.0,1.0,0.0,1.0,1.0,0.1,0.1,0.1,3.0,0.0,9.0,9.0,100.0,0.0,14.0,3.0,3.0,3.0,159.0,6.0,4.0,4.0,100.0,4.0,4.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,11.0,3.0,17.0,100.0,3.0,0.0,75.0,42.0,1.0,0.0,1.0,2.0,14.0,14.0,100.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Willian,"AM,FW",29-129,90.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,78.0,10.0,1.0,0.0,1.0,0.3,0.3,0.2,10.0,0.0,43.0,60.0,71.7,4.0,64.0,15.0,6.0,10.0,733.0,137.0,24.0,29.0,82.8,13.0,19.0,68.4,6.0,7.0,85.7,6.0,2.0,2.0,0.0,57.0,3.0,0.0,0.0,17.0,0.0,1.0,3.0,0.0,0.0,0.0,51.0,0.0,9.0,5.0,54.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,10.0,1.0,5.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,20.0,60.0,11.0,75.0,60.0,6.0,0.0,433.0,214.0,4.0,2.0,2.0,3.0,65.0,62.0,95.4,19.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
Tiemoué Bakayoko,DM,23-121,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,67.0,8.0,2.0,0.0,2.0,0.1,0.1,0.1,2.0,0.0,57.0,59.0,96.6,8.0,51.0,7.0,2.0,2.0,1152.0,305.0,19.0,21.0,90.5,32.0,32.0,100.0,6.0,6.0,100.0,2.0,9.0,2.0,0.0,59.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,3.0,14.0,44.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,13.0,28.0,29.0,1.0,67.0,100.0,2.0,0.0,233.0,118.0,0.0,0.0,1.0,0.0,55.0,55.0,100.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
N'Golo Kanté,DM,26-262,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,70.0,13.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,52.0,60.0,86.7,10.0,44.0,4.0,1.0,1.0,1115.0,299.0,14.0,19.0,73.7,29.0,29.0,100.0,9.0,11.0,81.8,1.0,6.0,1.0,0.0,59.0,1.0,1.0,0.0,16.0,3.0,1.0,0.0,0.0,0.0,0.0,54.0,1.0,5.0,4.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,15.4,5.0,5.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,17.0,37.0,20.0,1.0,69.0,100.0,1.0,0.0,225.0,143.0,1.0,0.0,0.0,1.0,53.0,53.0,100.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
Marcos Alonso,WB,26-353,90.0,1.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,71.0,12.0,0.0,0.0,3.0,0.2,0.2,0.2,6.0,1.0,50.0,57.0,87.7,4.0,42.0,8.0,1.0,1.0,838.0,288.0,25.0,28.0,89.3,15.0,17.0,88.2,7.0,8.0,87.5,1.0,3.0,1.0,1.0,50.0,7.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,44.0,0.0,13.0,43.0,3.0,4.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,3.0,6.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,16.0,17.0,41.0,5.0,63.0,100.0,1.0,0.0,173.0,127.0,1.0,0.0,1.0,0.0,48.0,47.0,97.9,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,50.0
Victor Moses,WB,27-004,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,7.0,1.0,0.0,4.0,0.0,0.0,0.1,3.0,0.0,29.0,36.0,80.6,0.0,23.0,4.0,1.0,2.0,548.0,166.0,12.0,14.0,85.7,10.0,11.0,90.9,6.0,7.0,85.7,2.0,1.0,2.0,2.0,25.0,11.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,20.0,2.0,20.0,2.0,11.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,3.0,2.0,2.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,11.0,16.0,22.0,1.0,36.0,50.0,1.0,0.0,112.0,65.0,1.0,0.0,2.0,0.0,18.0,17.0,94.4,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,1.0,3.0,25.0
Davide Zappacosta,WB,25-188,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,83.3,1.0,1.0,0.0,0.0,0.0,73.0,60.0,3.0,3.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
