player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Simeon Nwankwo,FW,26-013,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0,23.0,82.6,0.0,24.0,0.0,2.0,2.0,235.0,22.0,9.0,10.0,90.0,5.0,7.0,71.4,1.0,1.0,100.0,0.0,1.0,0.0,0.0,21.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,5.0,2.0,16.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,15.8,1.0,11.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,30.0,13.0,6.0,43.0,100.0,2.0,0.0,35.0,9.0,0.0,0.0,11.0,7.0,52.0,35.0,67.3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,75.0
Andrea Nalini,LW,27-334,58.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,12.0,19.0,63.2,0.0,14.0,2.0,0.0,2.0,198.0,79.0,7.0,9.0,77.8,3.0,5.0,60.0,2.0,4.0,50.0,1.0,1.0,2.0,2.0,19.0,0.0,0.0,0.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,10.0,1.0,8.0,6.0,8.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,14.3,4.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,7.0,14.0,10.0,0.0,29.0,0.0,0.0,0.0,98.0,63.0,1.0,0.0,3.0,0.0,25.0,22.0,88.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,75.0
Federico Ricci,LW,23-358,32.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,15.0,0.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,5.0,8.0,62.5,1.0,10.0,3.0,2.0,2.0,104.0,53.0,1.0,1.0,100.0,4.0,4.0,100.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,9.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,5.0,1.0,13.0,100.0,2.0,0.0,51.0,39.0,1.0,0.0,0.0,1.0,20.0,9.0,45.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Marcello Trotta,RW,25-233,64.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,44.0,9.0,0.0,1.0,3.0,0.1,0.1,0.0,0.0,0.0,20.0,27.0,74.1,2.0,24.0,2.0,0.0,2.0,401.0,113.0,10.0,13.0,76.9,4.0,6.0,66.7,5.0,5.0,100.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,4.0,21.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,33.3,4.0,3.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,12.0,19.0,13.0,3.0,44.0,0.0,1.0,0.0,112.0,43.0,0.0,0.0,5.0,2.0,36.0,30.0,83.3,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0
Marco Tumminello,RW,19-195,26.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,5.0,8.0,62.5,0.0,6.0,1.0,0.0,0.0,66.0,3.0,2.0,3.0,66.7,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.1,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,9.0,0.0,0.0,0.0,36.0,16.0,0.0,0.0,0.0,0.0,11.0,9.0,81.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
Marcus Rohdén,CM,27-009,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,0.0,4.0,1.0,0.0,1.0,46.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.5,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,5.0,0.0,10.0,0.0,0.0,0.0,24.0,14.0,0.0,0.0,0.0,0.0,10.0,7.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Adrian Stoian,CM,27-098,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,24.0,27.0,88.9,3.0,21.0,2.0,1.0,1.0,490.0,170.0,9.0,9.0,100.0,12.0,14.0,85.7,3.0,4.0,75.0,1.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,6.0,4.0,22.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,25.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,18.0,4.0,0.0,29.0,100.0,1.0,0.0,104.0,66.0,1.0,0.0,0.0,1.0,27.0,26.0,96.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Andrea Barberis,CM,24-160,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,29.0,2.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,38.0,50.0,76.0,2.0,25.0,0.0,1.0,1.0,573.0,260.0,22.0,27.0,81.5,7.0,8.0,87.5,5.0,11.0,45.5,2.0,1.0,0.0,0.0,39.0,11.0,1.0,0.0,10.0,2.0,1.0,9.0,3.0,3.0,0.0,23.0,10.0,17.0,6.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,4.0,13.8,7.0,15.0,7.0,0.0,0.0,5.0,5.0,1.0,0.0,3.0,16.0,27.0,16.0,0.0,49.0,100.0,1.0,0.0,82.0,19.0,0.0,0.0,1.0,0.0,29.0,25.0,86.2,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,50.0
Rolando Mandragora,DM,20-325,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,21.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,28.0,34.0,82.4,2.0,19.0,1.0,0.0,0.0,496.0,197.0,14.0,19.0,73.7,11.0,11.0,100.0,3.0,3.0,100.0,1.0,3.0,0.0,0.0,34.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,9.0,22.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,1.0,4.0,25.0,3.0,4.0,19.0,8.0,12.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,4.0,15.0,24.0,3.0,0.0,41.0,0.0,0.0,0.0,62.0,27.0,0.0,0.0,0.0,3.0,27.0,21.0,77.8,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,50.0
Bruno Martella,LB,25-279,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,4.0,0.0,1.0,1.0,0.0,0.0,0.1,2.0,1.0,33.0,42.0,78.6,3.0,26.0,5.0,2.0,2.0,716.0,320.0,11.0,13.0,84.6,14.0,15.0,93.3,7.0,11.0,63.6,2.0,2.0,2.0,2.0,32.0,10.0,1.0,0.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,19.0,6.0,17.0,31.0,2.0,0.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,6.0,21.0,23.0,13.0,0.0,41.0,100.0,2.0,0.0,209.0,160.0,3.0,0.0,1.0,0.0,29.0,27.0,93.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
