player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Lucas Pérez,FW,29-014,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,16.0,0.0,0.0,0.0,0.0,0.0,0.2,4.0,0.0,22.0,33.0,66.7,1.0,29.0,3.0,0.0,1.0,448.0,134.0,13.0,16.0,81.3,3.0,4.0,75.0,6.0,13.0,46.2,3.0,1.0,0.0,0.0,22.0,11.0,4.0,0.0,5.0,4.0,4.0,5.0,0.0,0.0,0.0,22.0,2.0,9.0,31.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,37.5,2.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,29.0,5.0,30.0,0.0,0.0,0.0,90.0,45.0,2.0,0.0,4.0,2.0,47.0,26.0,55.3,13.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Federico Valverde,"AM,CM",19-064,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,60.0,12.0,1.0,1.0,1.0,0.1,0.1,0.2,3.0,0.0,38.0,49.0,77.6,4.0,50.0,2.0,0.0,1.0,646.0,137.0,18.0,24.0,75.0,15.0,19.0,78.9,3.0,4.0,75.0,1.0,3.0,1.0,0.0,47.0,2.0,0.0,0.0,17.0,2.0,1.0,0.0,0.0,0.0,0.0,39.0,2.0,8.0,2.0,46.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,3.0,6.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,8.0,33.0,22.0,1.0,58.0,0.0,1.0,0.0,135.0,71.0,1.0,0.0,3.0,1.0,50.0,45.0,90.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
Emre Çolak,AM,26-127,74.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,66.0,9.0,0.0,0.0,1.0,0.1,0.1,0.4,3.0,2.0,48.0,60.0,80.0,7.0,57.0,9.0,2.0,2.0,769.0,232.0,22.0,24.0,91.7,23.0,25.0,92.0,2.0,8.0,25.0,2.0,5.0,0.0,0.0,56.0,4.0,2.0,0.0,11.0,2.0,3.0,1.0,0.0,0.0,0.0,47.0,7.0,6.0,57.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.3,2.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,45.0,21.0,3.0,63.0,100.0,2.0,0.0,303.0,151.0,3.0,1.0,0.0,0.0,62.0,54.0,87.1,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Borja Valle,LM,25-077,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,62.5,1.0,11.0,3.0,1.0,2.0,78.0,17.0,4.0,4.0,100.0,0.0,3.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,10.0,6.0,0.0,18.0,50.0,2.0,1.0,63.0,45.0,1.0,0.0,1.0,0.0,10.0,9.0,90.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Federico Cartabia,"AM,RM",24-247,85.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,51.0,14.0,2.0,0.0,2.0,0.1,0.1,0.0,3.0,0.0,33.0,39.0,84.6,3.0,43.0,10.0,1.0,1.0,586.0,80.0,15.0,18.0,83.3,16.0,19.0,84.2,2.0,2.0,100.0,1.0,1.0,3.0,0.0,38.0,1.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,6.0,2.0,34.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,5.0,35.7,1.0,10.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,26.0,29.0,2.0,50.0,100.0,1.0,0.0,355.0,193.0,5.0,0.0,1.0,1.0,46.0,40.0,87.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
Bruno Gama,RM,29-313,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guilherme,DM,26-172,69.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,51.0,10.0,1.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,38.0,45.0,84.4,0.0,40.0,3.0,1.0,1.0,657.0,173.0,17.0,20.0,85.0,18.0,18.0,100.0,3.0,6.0,50.0,0.0,1.0,0.0,0.0,43.0,2.0,2.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,2.0,5.0,1.0,41.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,5.0,50.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,11.0,38.0,7.0,2.0,51.0,100.0,1.0,0.0,170.0,74.0,2.0,0.0,0.0,0.0,35.0,35.0,100.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Florin Andone,"FW,DM",24-166,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,3.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Celso Borges,"DM,CM",29-120,90.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,65.0,15.0,0.0,0.0,3.0,0.6,0.6,0.0,1.0,0.0,51.0,58.0,87.9,7.0,41.0,2.0,0.0,0.0,777.0,259.0,27.0,30.0,90.0,23.0,26.0,88.5,1.0,2.0,50.0,0.0,7.0,0.0,0.0,57.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,6.0,9.0,4.0,42.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,33.3,8.0,6.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,7.0,48.0,11.0,4.0,64.0,0.0,0.0,0.0,94.0,24.0,0.0,0.0,0.0,1.0,52.0,45.0,86.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,100.0
Luisinho,LB,32-142,90.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,61.0,8.0,2.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,34.0,44.0,77.3,3.0,35.0,8.0,0.0,2.0,594.0,203.0,16.0,18.0,88.9,15.0,20.0,75.0,3.0,6.0,50.0,1.0,5.0,0.0,0.0,40.0,4.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,29.0,9.0,6.0,36.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,3.0,37.5,5.0,2.0,1.0,0.0,0.0,7.0,3.0,3.0,0.0,8.0,16.0,36.0,12.0,1.0,57.0,0.0,1.0,0.0,220.0,130.0,2.0,1.0,1.0,0.0,34.0,32.0,94.1,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
