player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Florin Andone,FW,24-131,90.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,28.0,26.0,2.0,0.0,0.0,0.6,0.6,0.0,2.0,0.0,7.0,9.0,77.8,0.0,17.0,1.0,1.0,3.0,96.0,16.0,6.0,7.0,85.7,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,11.5,8.0,12.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,13.0,16.0,6.0,27.0,33.3,1.0,0.0,51.0,14.0,0.0,1.0,3.0,4.0,29.0,20.0,69.0,10.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Zakaria Bakkali,LW,21-206,54.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,21.0,16.0,0.0,1.0,0.0,0.4,0.4,0.0,0.0,0.0,9.0,13.0,69.2,1.0,17.0,2.0,0.0,1.0,172.0,21.0,4.0,6.0,66.7,2.0,3.0,66.7,2.0,3.0,66.7,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.8,6.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,12.0,8.0,5.0,21.0,0.0,0.0,0.0,69.0,27.0,0.0,2.0,2.0,0.0,18.0,15.0,83.3,5.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
Bruno Gama,LW,29-278,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,0.0,7.0,13.0,53.8,1.0,15.0,3.0,2.0,2.0,119.0,36.0,4.0,7.0,57.1,2.0,4.0,50.0,1.0,2.0,50.0,1.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,0.0,6.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,30.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,11.0,3.0,16.0,100.0,2.0,0.0,69.0,38.0,0.0,1.0,1.0,3.0,14.0,12.0,85.7,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
Federico Cartabia,RW,24-212,79.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,48.0,43.0,2.0,1.0,0.0,0.1,0.1,0.4,5.0,0.0,30.0,39.0,76.9,2.0,36.0,5.0,3.0,3.0,576.0,144.0,11.0,14.0,78.6,15.0,20.0,75.0,4.0,5.0,80.0,1.0,1.0,1.0,0.0,35.0,4.0,0.0,0.0,7.0,2.0,1.0,3.0,0.0,0.0,0.0,27.0,3.0,9.0,24.0,11.0,3.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,4.0,25.0,3.0,11.0,25.6,26.0,13.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,7.0,28.0,16.0,2.0,44.0,100.0,3.0,0.0,224.0,123.0,1.0,0.0,2.0,1.0,38.0,33.0,86.8,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0
Borja Valle,RW,25-042,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,2.0,3.0,66.7,0.0,5.0,1.0,0.0,0.0,31.0,5.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,31.0,12.0,0.0,0.0,0.0,2.0,5.0,5.0,100.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Celso Borges,AM,29-085,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,17.0,94.1,0.0,15.0,2.0,1.0,2.0,220.0,13.0,12.0,12.0,100.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,4.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.4,11.0,19.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,15.0,6.0,1.0,24.0,50.0,1.0,0.0,44.0,19.0,0.0,0.0,0.0,3.0,17.0,14.0,82.4,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,50.0
Adrián López,AM,29-224,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,8.0,87.5,1.0,9.0,2.0,0.0,0.0,123.0,49.0,3.0,3.0,100.0,3.0,3.0,100.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.5,0.0,1.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,5.0,4.0,0.0,11.0,0.0,0.0,0.0,78.0,52.0,0.0,0.0,1.0,0.0,9.0,8.0,88.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Pedro Mosquera,CM,29-121,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51.0,42.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,31.0,40.0,77.5,3.0,29.0,2.0,2.0,2.0,554.0,199.0,12.0,15.0,80.0,16.0,18.0,88.9,3.0,7.0,42.9,1.0,3.0,0.0,0.0,36.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,13.0,17.0,19.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,10.0,23.8,19.0,20.0,3.0,2.0,0.0,4.0,1.0,2.0,0.0,5.0,17.0,25.0,12.0,1.0,47.0,100.0,2.0,0.0,109.0,40.0,1.0,1.0,1.0,0.0,22.0,22.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0
Guilherme,CM,26-137,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,45.0,28.0,2.0,1.0,1.0,0.1,0.1,0.1,4.0,0.0,33.0,40.0,82.5,3.0,39.0,5.0,2.0,2.0,800.0,208.0,9.0,10.0,90.0,16.0,20.0,80.0,8.0,10.0,80.0,2.0,4.0,0.0,0.0,38.0,2.0,2.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,11.0,5.0,34.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,7.0,25.0,15.0,12.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,10.0,27.0,9.0,1.0,44.0,100.0,2.0,0.0,226.0,101.0,0.0,1.0,0.0,0.0,32.0,31.0,96.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Luisinho,LB,32-107,90.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,46.0,24.0,3.0,1.0,0.0,0.8,0.0,0.3,1.0,0.0,27.0,38.0,71.1,8.0,31.0,10.0,0.0,1.0,410.0,244.0,13.0,15.0,86.7,12.0,17.0,70.6,1.0,5.0,20.0,1.0,2.0,0.0,0.0,34.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,23.0,2.0,13.0,26.0,6.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,0.0,3.0,4.0,75.0,1.0,6.0,25.0,14.0,6.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,4.0,10.0,23.0,21.0,2.0,42.0,0.0,0.0,0.0,284.0,200.0,6.0,1.0,0.0,1.0,26.0,26.0,100.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
