player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Júlio Tavares,FW,29-068,90.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,41.0,11.0,0.0,2.0,2.0,1.0,1.0,0.1,4.0,1.0,19.0,29.0,65.5,2.0,18.0,1.0,0.0,0.0,257.0,55.0,11.0,15.0,73.3,7.0,9.0,77.8,0.0,2.0,0.0,1.0,1.0,1.0,0.0,27.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,3.0,2.0,12.0,5.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.4,0.0,8.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,7.0,18.0,18.0,5.0,39.0,0.0,0.0,0.0,85.0,30.0,0.0,0.0,0.0,3.0,47.0,29.0,61.7,8.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,6.0,6.0,50.0
Naïm Sliti,AM,25-183,76.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,41.0,11.0,1.0,0.0,0.0,0.1,0.1,0.2,2.0,0.0,16.0,29.0,55.2,3.0,30.0,2.0,0.0,1.0,289.0,136.0,6.0,12.0,50.0,6.0,9.0,66.7,3.0,6.0,50.0,1.0,1.0,3.0,1.0,25.0,4.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,15.0,6.0,8.0,5.0,23.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,18.2,1.0,7.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,13.0,25.0,3.0,37.0,0.0,1.0,0.0,164.0,71.0,0.0,0.0,4.0,2.0,30.0,28.0,93.3,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
Wesley Saïd,AM,22-282,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,46.0,17.0,1.0,2.0,50.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Frédéric Sammaritano,AM,31-309,67.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,39.0,10.0,2.0,0.0,2.0,0.1,0.1,0.0,3.0,0.0,24.0,33.0,72.7,3.0,31.0,9.0,0.0,2.0,379.0,89.0,12.0,13.0,92.3,10.0,13.0,76.9,2.0,4.0,50.0,0.0,0.0,1.0,0.0,33.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,26.0,3.0,4.0,5.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,10.0,5.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,5.0,11.0,27.0,3.0,39.0,0.0,0.0,0.0,264.0,187.0,3.0,1.0,0.0,0.0,33.0,30.0,90.9,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Kwon Chang-hoon,AM,23-210,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,90.0,1.0,6.0,1.0,0.0,0.0,104.0,45.0,7.0,7.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,40.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,0.0,8.0,0.0,0.0,0.0,42.0,37.0,1.0,0.0,0.0,0.0,10.0,7.0,70.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Florent Balmont,LM,37-358,85.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,55.0,15.0,2.0,1.0,1.0,0.1,0.1,0.6,6.0,1.0,39.0,48.0,81.3,9.0,43.0,5.0,1.0,1.0,745.0,273.0,15.0,17.0,88.2,18.0,21.0,85.7,5.0,8.0,62.5,2.0,6.0,1.0,0.0,45.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,38.0,3.0,7.0,3.0,43.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,33.3,2.0,5.0,33.3,6.0,8.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,33.0,22.0,4.0,52.0,100.0,1.0,0.0,223.0,116.0,2.0,1.0,2.0,1.0,47.0,42.0,89.4,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Jordan Marié,LM,26-119,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,4.0,0.0,0.0,0.0,42.0,2.0,1.0,2.0,50.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xeka,RM,23-077,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,45.0,24.0,0.0,1.0,1.0,0.1,0.1,0.0,1.0,0.0,28.0,32.0,87.5,1.0,35.0,5.0,1.0,2.0,497.0,98.0,14.0,16.0,87.5,10.0,10.0,100.0,4.0,5.0,80.0,1.0,2.0,0.0,0.0,32.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,28.0,3.0,1.0,1.0,30.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.8,10.0,11.0,3.0,0.0,0.0,1.0,1.0,4.0,0.0,4.0,10.0,20.0,17.0,4.0,45.0,50.0,1.0,0.0,157.0,46.0,1.0,0.0,0.0,1.0,34.0,31.0,91.2,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
Mehdi Abeid,DM,25-173,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,68.0,13.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,58.0,81.0,5.0,49.0,2.0,0.0,1.0,1084.0,245.0,11.0,12.0,91.7,24.0,27.0,88.9,12.0,16.0,75.0,0.0,2.0,0.0,0.0,56.0,2.0,1.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,47.0,6.0,5.0,5.0,48.0,3.0,1.0,1.0,0.0,4.0,1.0,2.0,3.0,1.0,4.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,4.0,7.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,23.0,45.0,5.0,0.0,66.0,0.0,0.0,0.0,188.0,52.0,1.0,0.0,1.0,1.0,45.0,44.0,97.8,2.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Cédric Yamberé,LB,27-081,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,2.0,1.0,1.0,1.0,0.0,0.0,0.1,1.0,0.0,37.0,44.0,84.1,3.0,36.0,3.0,0.0,0.0,994.0,320.0,4.0,4.0,100.0,21.0,21.0,100.0,11.0,18.0,61.1,1.0,5.0,2.0,1.0,43.0,1.0,1.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,14.0,2.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,31.0,27.0,1.0,0.0,51.0,0.0,0.0,0.0,264.0,203.0,0.0,0.0,0.0,1.0,36.0,36.0,100.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
