player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Roberto Firmino,FW,26-166,79.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,39.0,36.0,3.0,1.0,2.0,0.8,0.8,0.0,0.0,0.0,13.0,25.0,52.0,2.0,25.0,4.0,1.0,2.0,197.0,46.0,5.0,12.0,41.7,7.0,10.0,70.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,3.0,3.0,5.0,18.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,3.0,33.3,2.0,12.0,33.3,3.0,16.0,17.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,16.0,24.0,9.0,39.0,50.0,1.0,0.0,127.0,39.0,2.0,1.0,3.0,1.0,57.0,26.0,45.6,11.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0
Danny Ings,FW,25-237,11.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,6.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,1.0,0.0,7.0,4.0,57.1,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sadio Man�,LW,25-341,90.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,22.0,1.0,2.0,2.0,0.0,0.0,0.7,4.0,2.0,30.0,39.0,76.9,5.0,38.0,4.0,1.0,3.0,533.0,128.0,12.0,16.0,75.0,14.0,16.0,87.5,3.0,4.0,75.0,3.0,3.0,3.0,0.0,39.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,20.0,12.0,7.0,10.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,27.3,6.0,8.0,8.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,8.0,24.0,24.0,5.0,52.0,33.3,1.0,0.0,236.0,90.0,2.0,1.0,3.0,3.0,61.0,44.0,72.1,14.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
Mohamed Salah,RW,25-275,90.0,4.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,52.0,18.0,1.0,0.0,1.0,1.3,1.3,0.9,6.0,4.0,20.0,36.0,55.6,5.0,39.0,8.0,7.0,12.0,285.0,111.0,12.0,15.0,80.0,7.0,14.0,50.0,0.0,5.0,0.0,3.0,1.0,2.0,0.0,31.0,5.0,1.0,1.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,21.0,6.0,9.0,30.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,38.9,0.0,6.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,13.0,41.0,11.0,47.0,58.3,7.0,0.0,173.0,124.0,3.0,1.0,0.0,4.0,56.0,34.0,60.7,14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Georginio Wijnaldum,CM,27-126,71.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,25.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,21.0,26.0,80.8,1.0,29.0,0.0,1.0,2.0,297.0,52.0,13.0,15.0,86.7,4.0,5.0,80.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,6.0,5.0,18.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,66.7,1.0,9.0,36.0,4.0,15.0,6.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,6.0,24.0,11.0,1.0,38.0,50.0,1.0,0.0,82.0,22.0,0.0,0.0,4.0,2.0,31.0,23.0,74.2,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Alex Oxlade-Chamberlain,CM,24-214,19.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,0.0,6.0,1.0,1.0,3.0,77.0,10.0,2.0,2.0,100.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,2.0,28.6,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,4.0,2.0,11.0,33.3,2.0,0.0,40.0,10.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
Jordan Henderson,CM,27-273,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,23.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,77.0,92.0,83.7,10.0,67.0,9.0,0.0,0.0,1799.0,457.0,23.0,25.0,92.0,37.0,40.0,92.5,17.0,24.0,70.8,0.0,13.0,3.0,0.0,89.0,3.0,2.0,1.0,2.0,5.0,3.0,1.0,0.0,0.0,0.0,59.0,9.0,24.0,11.0,74.0,7.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,21.7,9.0,12.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,26.0,65.0,10.0,0.0,95.0,0.0,0.0,0.0,397.0,193.0,0.0,0.0,2.0,1.0,72.0,70.0,97.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
Emre Can,CM,24-064,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,70.6,2.0,13.0,2.0,0.0,0.0,232.0,83.0,5.0,7.0,71.4,5.0,6.0,83.3,2.0,2.0,100.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,3.0,3.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,80.0,1.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,10.0,3.0,0.0,17.0,0.0,0.0,0.0,72.0,45.0,0.0,0.0,0.0,0.0,14.0,12.0,85.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
James Milner,CM,32-072,63.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,16.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,48.0,57.0,84.2,5.0,44.0,3.0,0.0,0.0,939.0,372.0,20.0,21.0,95.2,22.0,26.0,84.6,5.0,8.0,62.5,0.0,6.0,2.0,0.0,54.0,3.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,38.0,6.0,13.0,4.0,49.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,25.0,3.0,9.0,56.3,4.0,11.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,14.0,46.0,13.0,1.0,65.0,0.0,0.0,0.0,253.0,127.0,2.0,0.0,1.0,3.0,50.0,45.0,90.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
Andrew Robertson,LB,24-006,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,19.0,3.0,1.0,0.0,0.0,0.0,0.4,1.0,1.0,52.0,61.0,85.2,6.0,52.0,4.0,0.0,0.0,904.0,338.0,23.0,24.0,95.8,25.0,29.0,86.2,3.0,6.0,50.0,1.0,3.0,2.0,1.0,59.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,41.0,8.0,12.0,49.0,6.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,3.0,3.0,100.0,0.0,4.0,21.1,7.0,8.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,6.0,15.0,39.0,16.0,2.0,63.0,0.0,0.0,0.0,242.0,84.0,2.0,0.0,0.0,1.0,50.0,42.0,84.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
