player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Nikola Kalinić,FW,29-317,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,38.0,11.0,0.0,0.0,1.0,0.1,0.1,0.0,2.0,0.0,27.0,29.0,93.1,0.0,29.0,0.0,0.0,0.0,330.0,37.0,18.0,19.0,94.7,8.0,8.0,100.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,10.0,1.0,0.0,24.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.1,0.0,4.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,27.0,9.0,3.0,37.0,0.0,0.0,0.0,66.0,4.0,1.0,0.0,3.0,0.0,42.0,32.0,76.2,13.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0
Suso,AM,23-364,45.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,26.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,11.0,16.0,68.8,0.0,23.0,4.0,1.0,1.0,139.0,20.0,7.0,8.0,87.5,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,11.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,3.0,66.7,1.0,2.0,22.2,2.0,3.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,6.0,11.0,10.0,0.0,26.0,100.0,1.0,0.0,120.0,63.0,1.0,0.0,1.0,1.0,21.0,18.0,85.7,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
André Silva,AM,22-012,45.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,11.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,16.0,19.0,84.2,0.0,22.0,4.0,0.0,2.0,232.0,31.0,11.0,12.0,91.7,5.0,6.0,83.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,1.0,3.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.4,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,18.0,3.0,26.0,0.0,0.0,0.0,133.0,82.0,2.0,1.0,2.0,1.0,34.0,20.0,58.8,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,66.7
Manuel Locatelli,AM,19-314,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,69.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,51.0,63.0,81.0,6.0,62.0,5.0,0.0,0.0,926.0,218.0,26.0,31.0,83.9,19.0,24.0,79.2,6.0,8.0,75.0,2.0,6.0,1.0,0.0,60.0,3.0,2.0,0.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,4.0,14.0,16.0,44.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,23.5,4.0,6.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,39.0,27.0,0.0,67.0,0.0,0.0,0.0,284.0,133.0,5.0,0.0,2.0,1.0,64.0,55.0,85.9,5.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
Giacomo Bonaventura,LM,28-088,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,75.0,7.0,0.0,1.0,0.0,0.0,0.0,0.1,3.0,0.0,52.0,63.0,82.5,4.0,61.0,10.0,1.0,4.0,835.0,208.0,24.0,28.0,85.7,26.0,28.0,92.9,2.0,7.0,28.6,2.0,1.0,0.0,0.0,58.0,5.0,2.0,0.0,24.0,0.0,5.0,1.0,0.0,0.0,0.0,44.0,6.0,13.0,2.0,55.0,3.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,42.9,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,16.0,32.0,30.0,4.0,70.0,25.0,1.0,0.0,243.0,152.0,1.0,2.0,2.0,3.0,57.0,53.0,93.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0
Fabio Borini,RM,26-234,77.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,11.0,1.0,0.0,2.0,0.0,0.0,0.1,3.0,0.0,40.0,51.0,78.4,2.0,41.0,5.0,1.0,1.0,703.0,179.0,17.0,20.0,85.0,20.0,25.0,80.0,3.0,6.0,50.0,2.0,3.0,0.0,0.0,44.0,7.0,0.0,0.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,29.0,10.0,12.0,10.0,28.0,6.0,7.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,45.5,9.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,13.0,29.0,21.0,0.0,52.0,100.0,1.0,0.0,200.0,124.0,1.0,0.0,0.0,1.0,44.0,39.0,88.6,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
Ignazio Abate,RM,31-006,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,61.5,1.0,10.0,0.0,0.0,0.0,153.0,66.0,3.0,6.0,50.0,4.0,4.0,100.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,11.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0,1.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,66.7,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0,10.0,4.0,16.0,0.0,0.0,0.0,34.0,6.0,0.0,0.0,1.0,0.0,12.0,11.0,91.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riccardo Montolivo,DM,32-304,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,16.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,71.0,79.0,89.9,6.0,72.0,2.0,1.0,1.0,1559.0,435.0,24.0,26.0,92.3,35.0,36.0,97.2,12.0,17.0,70.6,0.0,7.0,1.0,0.0,76.0,3.0,3.0,0.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,54.0,6.0,19.0,16.0,60.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,2.0,12.5,6.0,9.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,27.0,54.0,12.0,0.0,83.0,100.0,1.0,0.0,189.0,96.0,0.0,0.0,0.0,1.0,71.0,68.0,95.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Lucas Biglia,DM,31-292,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,83.3,1.0,15.0,1.0,0.0,0.0,287.0,26.0,5.0,6.0,83.3,8.0,8.0,100.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,16.0,2.0,2.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,2.0,2.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,6.0,0.0,17.0,0.0,0.0,0.0,38.0,6.0,0.0,0.0,0.0,1.0,14.0,14.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Franck Kessié,DM,20-334,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,65.0,25.0,2.0,3.0,0.0,0.1,0.1,0.2,4.0,0.0,42.0,53.0,79.2,5.0,54.0,8.0,2.0,2.0,608.0,156.0,25.0,28.0,89.3,17.0,21.0,81.0,0.0,4.0,0.0,3.0,3.0,4.0,1.0,52.0,1.0,0.0,0.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,41.0,2.0,10.0,4.0,44.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,32.0,3.0,11.0,11.0,0.0,0.0,0.0,5.0,2.0,0.0,4.0,10.0,33.0,28.0,2.0,64.0,100.0,2.0,0.0,198.0,123.0,5.0,2.0,1.0,2.0,49.0,43.0,87.8,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,100.0
Alessio Romagnoli,CB,22-310,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,83.0,11.0,2.0,1.0,3.0,0.1,0.1,0.0,0.0,0.0,66.0,72.0,91.7,1.0,60.0,0.0,0.0,0.0,1266.0,430.0,26.0,27.0,96.3,31.0,32.0,96.9,9.0,13.0,69.2,0.0,2.0,0.0,0.0,66.0,6.0,0.0,0.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0,52.0,8.0,12.0,60.0,2.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,18.2,6.0,3.0,2.0,0.0,0.0,3.0,3.0,2.0,0.0,8.0,35.0,36.0,14.0,1.0,77.0,0.0,0.0,0.0,125.0,34.0,0.0,0.0,1.0,0.0,57.0,56.0,98.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,1.0,75.0
Leonardo Bonucci,CB,30-201,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,49.0,61.0,80.3,4.0,50.0,3.0,0.0,1.0,1192.0,396.0,10.0,11.0,90.9,28.0,32.0,87.5,11.0,18.0,61.1,0.0,5.0,1.0,0.0,58.0,3.0,2.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,39.0,4.0,18.0,11.0,45.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,66.7,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,34.0,28.0,5.0,0.0,63.0,0.0,0.0,0.0,162.0,59.0,0.0,0.0,0.0,1.0,46.0,46.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Mateo Musacchio,CB,27-084,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,5.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,67.0,79.0,84.8,4.0,67.0,1.0,0.0,0.0,1302.0,483.0,24.0,27.0,88.9,33.0,36.0,91.7,10.0,16.0,62.5,0.0,4.0,0.0,0.0,75.0,4.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,5.0,12.0,5.0,71.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,2.0,2.0,0.0,2.0,3.0,66.7,1.0,1.0,20.0,5.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,0.0,11.0,51.0,36.0,3.0,0.0,83.0,0.0,0.0,0.0,343.0,148.0,0.0,0.0,0.0,0.0,60.0,60.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Gianluigi Donnarumma,GK,18-266,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,41.0,75.6,0.0,33.0,0.0,0.0,0.0,894.0,546.0,7.0,8.0,87.5,11.0,11.0,100.0,13.0,22.0,59.1,0.0,0.0,0.0,0.0,35.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,19.0,4.0,34.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,49.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,82.0,51.0,0.0,0.0,0.0,0.0,31.0,31.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
