player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Raúl Bobadilla,FW,30-265,64.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,58.8,1.0,18.0,3.0,3.0,3.0,100.0,8.0,10.0,14.0,71.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,2.0,12.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,50.0,1.0,6.0,28.6,1.0,11.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,12.0,12.0,4.0,24.0,100.0,3.0,0.0,59.0,30.0,0.0,1.0,0.0,1.0,34.0,20.0,58.8,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,20.0
Jonas Hofmann,"WB,FW,RW",25-239,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,10.0,0.0,1.0,1.0,0.0,0.0,0.4,1.0,0.0,21.0,25.0,84.0,6.0,21.0,7.0,4.0,4.0,478.0,162.0,6.0,8.0,75.0,10.0,10.0,100.0,5.0,7.0,71.4,1.0,2.0,1.0,0.0,21.0,4.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,12.0,8.0,5.0,0.0,21.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,20.0,5.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,7.0,21.0,9.0,1.0,27.0,100.0,4.0,0.0,128.0,85.0,2.0,1.0,1.0,2.0,20.0,15.0,75.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,50.0
Vincenzo Grifo,"LW,CM,WB",24-337,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,51.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.0,44.0,75.0,6.0,39.0,6.0,3.0,5.0,494.0,151.0,19.0,19.0,100.0,13.0,15.0,86.7,1.0,7.0,14.3,1.0,4.0,2.0,0.0,40.0,4.0,2.0,0.0,15.0,2.0,1.0,1.0,0.0,1.0,0.0,30.0,6.0,8.0,3.0,39.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,22.2,2.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,33.0,14.0,2.0,47.0,60.0,3.0,0.0,148.0,81.0,2.0,0.0,1.0,1.0,45.0,39.0,86.7,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
Thorgan Hazard,"RW,WB,FW",24-346,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,23.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,20.0,35.0,57.1,0.0,26.0,2.0,4.0,5.0,339.0,108.0,11.0,14.0,78.6,6.0,11.0,54.5,2.0,7.0,28.6,2.0,2.0,0.0,0.0,31.0,4.0,0.0,0.0,9.0,2.0,1.0,3.0,1.0,1.0,1.0,13.0,12.0,10.0,11.0,16.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,5.0,40.0,3.0,7.0,30.4,3.0,12.0,8.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,9.0,23.0,14.0,0.0,41.0,80.0,4.0,0.0,82.0,64.0,0.0,0.0,1.0,1.0,45.0,26.0,57.8,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,40.0
Lars Stindl,"AM,FW",29-196,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,70.0,34.0,3.0,1.0,2.0,0.1,0.1,0.0,1.0,0.0,39.0,50.0,78.0,2.0,40.0,2.0,2.0,3.0,617.0,109.0,19.0,24.0,79.2,14.0,17.0,82.4,3.0,5.0,60.0,1.0,2.0,1.0,0.0,48.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,10.0,8.0,4.0,41.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,3.0,33.3,2.0,8.0,23.5,7.0,16.0,11.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,11.0,41.0,22.0,4.0,68.0,66.7,2.0,0.0,120.0,68.0,2.0,0.0,3.0,6.0,56.0,50.0,89.3,14.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,12.0,3.0,1.0,75.0
Denis Zakaria,"DM,CM",21-110,79.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,38.0,21.0,6.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,21.0,23.0,91.3,1.0,22.0,2.0,1.0,2.0,313.0,74.0,13.0,13.0,100.0,7.0,8.0,87.5,1.0,1.0,100.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,3.0,1.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,50.0,1.0,7.0,33.3,14.0,7.0,0.0,1.0,0.0,4.0,6.0,1.0,0.0,4.0,10.0,24.0,7.0,0.0,38.0,50.0,2.0,0.0,158.0,97.0,1.0,0.0,1.0,0.0,19.0,18.0,94.7,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0
Josip Drmić,FW,25-214,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.4,0.4,0.1,1.0,0.0,8.0,9.0,88.9,0.0,5.0,0.0,0.0,0.0,72.0,12.0,7.0,7.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,9.0,0.0,0.0,0.0,20.0,5.0,0.0,0.0,0.0,0.0,12.0,8.0,66.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,33.3
Christoph Kramer,DM,27-019,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,74.0,35.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,56.0,65.0,86.2,5.0,51.0,3.0,2.0,3.0,840.0,268.0,31.0,33.0,93.9,24.0,28.0,85.7,1.0,3.0,33.3,0.0,4.0,0.0,0.0,60.0,5.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,8.0,7.0,16.0,46.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,3.0,0.0,1.0,8.0,12.5,7.0,9.0,25.7,12.0,21.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,5.0,24.0,47.0,8.0,0.0,70.0,66.7,2.0,0.0,221.0,123.0,2.0,0.0,1.0,1.0,59.0,55.0,93.2,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
Nico Elvedi,"LB,CB",21-161,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,9.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,32.0,39.0,82.1,2.0,27.0,2.0,1.0,1.0,515.0,213.0,16.0,19.0,84.2,14.0,18.0,77.8,2.0,2.0,100.0,0.0,1.0,0.0,0.0,32.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,7.0,7.0,9.0,21.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,11.1,5.0,4.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,5.0,23.0,29.0,6.0,0.0,46.0,100.0,1.0,0.0,95.0,60.0,1.0,0.0,0.0,1.0,30.0,28.0,93.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,80.0
Jannik Vestergaard,CB,25-219,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,69.0,12.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,49.0,55.0,89.1,10.0,43.0,4.0,2.0,2.0,1234.0,518.0,7.0,8.0,87.5,30.0,31.0,96.8,12.0,16.0,75.0,0.0,5.0,0.0,0.0,54.0,1.0,1.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,15.0,20.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,50.0,1.0,7.0,58.3,8.0,4.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,14.0,44.0,31.0,1.0,0.0,68.0,100.0,2.0,0.0,237.0,165.0,1.0,0.0,0.0,1.0,45.0,43.0,95.6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,5.0,37.5
