player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Timo Werner,FW,21-243,90.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,34.0,12.0,4.0,0.0,1.0,0.8,0.8,0.8,1.0,1.0,17.0,19.0,89.5,1.0,20.0,3.0,1.0,2.0,204.0,41.0,12.0,13.0,92.3,4.0,5.0,80.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,15.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,3.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,4.0,33.3,1.0,3.0,8.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,15.0,18.0,5.0,30.0,50.0,1.0,0.0,54.0,42.0,0.0,1.0,4.0,2.0,40.0,22.0,55.0,6.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,3.0,1.0,2.0,33.3
Kevin Kampl,FW,27-026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yussuf Poulsen,FW,23-142,90.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,56.0,17.0,1.0,0.0,0.0,0.9,0.9,0.0,6.0,0.0,25.0,36.0,69.4,1.0,36.0,1.0,1.0,3.0,252.0,39.0,21.0,27.0,77.8,4.0,6.0,66.7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,9.0,3.0,23.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,41.2,0.0,7.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,22.0,32.0,7.0,55.0,33.3,1.0,0.0,90.0,15.0,0.0,0.0,6.0,3.0,57.0,43.0,75.4,12.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,8.0,7.0,6.0,53.8
Bruma,AM,23-011,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,0.3,2.0,0.0,13.0,20.0,65.0,2.0,15.0,3.0,0.0,3.0,218.0,74.0,6.0,8.0,75.0,6.0,10.0,60.0,1.0,1.0,100.0,1.0,1.0,1.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,3.0,3.0,3.0,14.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,15.0,12.0,2.0,28.0,0.0,0.0,0.0,105.0,61.0,0.0,1.0,3.0,0.0,22.0,20.0,90.9,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Emil Forsberg,AM,26-012,37.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,3.0,0.0,0.0,0.0,0.1,0.1,0.5,4.0,2.0,16.0,18.0,88.9,2.0,14.0,5.0,0.0,1.0,223.0,80.0,9.0,9.0,100.0,4.0,4.0,100.0,2.0,3.0,66.7,3.0,1.0,0.0,0.0,15.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,9.0,2.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,14.0,1.0,20.0,0.0,0.0,0.0,98.0,75.0,2.0,0.0,2.0,0.0,20.0,18.0,90.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Marcel Sabitzer,AM,23-232,90.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,90.0,13.0,2.0,0.0,1.0,0.3,0.3,0.0,4.0,0.0,43.0,71.0,60.6,7.0,62.0,4.0,1.0,2.0,708.0,273.0,26.0,34.0,76.5,13.0,19.0,68.4,4.0,13.0,30.8,1.0,7.0,1.0,0.0,61.0,10.0,2.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,30.0,26.0,15.0,14.0,47.0,2.0,8.0,0.0,1.0,1.0,6.0,6.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,5.0,38.5,2.0,7.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,8.0,46.0,43.0,1.0,81.0,50.0,2.0,0.0,222.0,130.0,6.0,0.0,2.0,2.0,72.0,64.0,88.9,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0
Diego Demme,CM,25-348,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,111.0,13.0,3.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,76.0,93.0,81.7,7.0,74.0,12.0,0.0,1.0,1394.0,394.0,31.0,35.0,88.6,33.0,38.0,86.8,11.0,17.0,64.7,2.0,4.0,1.0,0.0,84.0,9.0,8.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,66.0,12.0,15.0,7.0,79.0,4.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0,2.0,1.0,5.0,20.0,4.0,6.0,46.2,2.0,5.0,6.0,0.0,0.0,2.0,4.0,4.0,0.0,2.0,21.0,71.0,25.0,0.0,103.0,0.0,1.0,0.0,384.0,250.0,2.0,0.0,1.0,2.0,76.0,74.0,97.4,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,14.0,3.0,3.0,50.0
Konrad Laimer,CM,20-161,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,29.0,37.0,78.4,4.0,29.0,3.0,0.0,1.0,466.0,157.0,16.0,18.0,88.9,11.0,13.0,84.6,2.0,2.0,100.0,1.0,2.0,0.0,0.0,37.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,2.0,11.0,23.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,5.0,20.0,4.0,8.0,44.4,2.0,13.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,6.0,32.0,8.0,0.0,44.0,0.0,0.0,0.0,73.0,45.0,1.0,0.0,1.0,1.0,34.0,31.0,91.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,40.0
Naby Ke�ta,CM,22-267,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,3.0,1.0,1.0,0.0,0.0,0.0,0.1,4.0,0.0,26.0,30.0,86.7,3.0,31.0,10.0,2.0,2.0,366.0,133.0,17.0,20.0,85.0,8.0,9.0,88.9,1.0,1.0,100.0,2.0,5.0,1.0,0.0,30.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0,1.0,4.0,26.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,66.7,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,21.0,15.0,0.0,35.0,100.0,2.0,0.0,250.0,184.0,4.0,0.0,1.0,1.0,27.0,26.0,96.3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Marcel Halstenberg,LB,26-038,90.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,66.0,8.0,2.0,1.0,2.0,0.1,0.1,0.1,3.0,0.0,48.0,53.0,90.6,6.0,38.0,4.0,2.0,2.0,717.0,321.0,29.0,31.0,93.5,16.0,17.0,94.1,2.0,2.0,100.0,1.0,3.0,1.0,1.0,43.0,10.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,19.0,5.0,37.0,1.0,2.0,9.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,4.0,50.0,3.0,3.0,2.0,1.0,0.0,1.0,3.0,5.0,0.0,5.0,19.0,35.0,14.0,0.0,56.0,100.0,2.0,0.0,120.0,80.0,2.0,0.0,1.0,0.0,35.0,33.0,94.3,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,1.0,80.0
