player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Patrik Schick,"FW,RW,AM",21-320,90.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,42.0,11.0,0.0,0.0,0.0,0.5,0.5,0.5,6.0,0.0,18.0,25.0,72.0,4.0,34.0,4.0,1.0,3.0,254.0,81.0,13.0,15.0,86.7,5.0,7.0,71.4,0.0,0.0,0.0,3.0,4.0,4.0,1.0,24.0,1.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,8.0,8.0,16.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.4,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,16.0,25.0,11.0,41.0,33.3,1.0,0.0,168.0,52.0,0.0,1.0,5.0,2.0,44.0,32.0,72.7,15.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0,28.6
Stephan El Shaarawy,LW,25-044,72.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,59.0,12.0,0.0,0.0,2.0,0.1,0.1,0.3,3.0,0.0,33.0,43.0,76.7,6.0,40.0,9.0,2.0,4.0,550.0,214.0,19.0,23.0,82.6,8.0,10.0,80.0,5.0,5.0,100.0,2.0,1.0,3.0,1.0,39.0,4.0,1.0,0.0,8.0,1.0,2.0,3.0,3.0,0.0,0.0,24.0,12.0,7.0,3.0,40.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,41.7,1.0,1.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,15.0,43.0,11.0,55.0,50.0,2.0,0.0,211.0,123.0,1.0,2.0,6.0,0.0,55.0,43.0,78.2,16.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,1.0,2.0,33.3
Diego Perotti,LW,29-137,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,7.0,1.0,0.0,2.0,0.0,0.0,0.1,4.0,0.0,8.0,13.0,61.5,1.0,13.0,6.0,0.0,0.0,132.0,48.0,3.0,4.0,75.0,4.0,6.0,66.7,1.0,2.0,50.0,1.0,1.0,1.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,3.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,71.4,3.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,8.0,11.0,2.0,17.0,0.0,0.0,0.0,166.0,127.0,2.0,1.0,0.0,2.0,12.0,12.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Gerson,RW,20-204,64.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31.0,8.0,0.0,0.0,0.0,0.6,0.6,0.0,1.0,0.0,21.0,25.0,84.0,3.0,23.0,6.0,1.0,1.0,407.0,88.0,12.0,14.0,85.7,5.0,5.0,100.0,4.0,6.0,66.7,0.0,1.0,1.0,0.0,24.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,5.0,21.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,50.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,16.0,3.0,30.0,100.0,1.0,0.0,111.0,68.0,2.0,1.0,3.0,2.0,33.0,26.0,78.8,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,50.0
Edin Džeko,FW,31-268,26.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,11.0,2.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,4.0,4.0,100.0,0.0,4.0,0.0,0.0,1.0,41.0,7.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,50.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,8.0,11.0,0.0,0.0,0.0,19.0,2.0,0.0,0.0,2.0,0.0,12.0,9.0,75.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,33.3
Kevin Strootman,CM,27-300,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,75.0,16.0,0.0,0.0,2.0,0.0,0.0,0.1,3.0,0.0,43.0,61.0,70.5,7.0,53.0,10.0,1.0,2.0,605.0,227.0,29.0,34.0,85.3,12.0,18.0,66.7,1.0,7.0,14.3,1.0,6.0,1.0,0.0,59.0,2.0,0.0,0.0,11.0,1.0,3.0,1.0,0.0,0.0,0.0,36.0,10.0,15.0,44.0,11.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.8,5.0,6.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,33.0,39.0,7.0,73.0,50.0,1.0,0.0,229.0,124.0,3.0,1.0,4.0,3.0,64.0,57.0,89.1,12.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,3.0,2.0,60.0
Cengiz Ünder,"RW,CM",20-149,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,28.6,1.0,4.0,3.0,0.0,0.0,85.0,18.0,0.0,1.0,0.0,1.0,1.0,100.0,1.0,4.0,25.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,4.0,1.0,9.0,0.0,0.0,0.0,51.0,42.0,1.0,0.0,0.0,0.0,7.0,4.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0
Radja Nainggolan,CM,29-220,90.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,60.0,15.0,1.0,0.0,0.0,0.2,0.2,0.4,2.0,0.0,40.0,46.0,87.0,4.0,42.0,5.0,3.0,3.0,872.0,227.0,15.0,16.0,93.8,18.0,20.0,90.0,7.0,9.0,77.8,2.0,3.0,2.0,2.0,43.0,3.0,1.0,0.0,4.0,7.0,4.0,0.0,0.0,0.0,0.0,24.0,9.0,13.0,5.0,39.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,4.0,26.7,3.0,7.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,8.0,21.0,33.0,5.0,57.0,100.0,3.0,0.0,240.0,120.0,1.0,1.0,2.0,2.0,43.0,40.0,93.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0
Maxime Gonalons,"DM,CM",28-275,90.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,80.0,22.0,0.0,2.0,4.0,0.5,0.5,0.0,4.0,0.0,51.0,65.0,78.5,8.0,37.0,5.0,2.0,2.0,921.0,249.0,25.0,32.0,78.1,17.0,19.0,89.5,6.0,10.0,60.0,2.0,10.0,1.0,0.0,64.0,1.0,1.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,17.0,18.0,18.0,26.0,7.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,8.0,36.4,8.0,11.0,3.0,1.0,0.0,3.0,2.0,2.0,0.0,2.0,11.0,57.0,15.0,4.0,79.0,100.0,2.0,0.0,231.0,111.0,1.0,0.0,1.0,1.0,40.0,35.0,87.5,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,14.0,4.0,77.8
Aleksandar Kolarov,LB,32-030,90.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,108.0,7.0,1.0,0.0,0.0,0.1,0.1,0.2,11.0,0.0,71.0,95.0,74.7,12.0,66.0,14.0,3.0,7.0,1335.0,578.0,32.0,35.0,91.4,26.0,30.0,86.7,13.0,26.0,50.0,4.0,5.0,7.0,2.0,65.0,30.0,7.0,0.0,9.0,8.0,11.0,9.0,2.0,4.0,1.0,43.0,23.0,29.0,74.0,4.0,1.0,14.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,31.0,59.0,5.0,82.0,42.9,7.0,0.0,350.0,240.0,1.0,2.0,0.0,1.0,74.0,65.0,87.8,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,100.0
