player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Robert Berić,FW,26-218,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,60.0,0.0,17.0,1.0,0.0,1.0,94.0,3.0,5.0,7.0,71.4,3.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,1.0,11.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,10.3,1.0,18.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,14.0,3.0,21.0,0.0,1.0,0.0,53.0,15.0,0.0,0.0,2.0,1.0,21.0,16.0,76.2,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,20.0
Paul-Georges Ntep,LW,25-176,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,18.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,22.0,68.2,3.0,29.0,6.0,2.0,3.0,349.0,107.0,4.0,6.0,66.7,8.0,10.0,80.0,3.0,5.0,60.0,0.0,2.0,2.0,0.0,21.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,17.0,0.0,5.0,5.0,17.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,9.0,50.0,2.0,15.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,12.0,20.0,2.0,31.0,66.7,2.0,1.0,149.0,82.0,1.0,0.0,5.0,0.0,27.0,26.0,96.3,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Romain Hamouma,LW,30-298,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,72.7,1.0,13.0,4.0,1.0,1.0,153.0,23.0,4.0,5.0,80.0,2.0,2.0,100.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,11.1,1.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,8.0,1.0,12.0,100.0,1.0,0.0,80.0,34.0,1.0,0.0,1.0,1.0,12.0,7.0,58.3,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Kévin Monnet-Paquet,RW,29-155,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,40.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,20.0,90.0,0.0,21.0,1.0,0.0,0.0,212.0,60.0,13.0,13.0,100.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,1.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,6.0,15.0,8.0,23.0,9.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,6.0,13.0,13.0,2.0,29.0,0.0,0.0,0.0,82.0,22.0,0.0,0.0,1.0,3.0,27.0,20.0,74.1,8.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3
Jonathan Bamba,RW,21-301,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,9.0,2.0,1.0,0.0,0.0,0.0,0.1,2.0,0.0,15.0,20.0,75.0,0.0,17.0,3.0,0.0,0.0,228.0,43.0,7.0,8.0,87.5,5.0,6.0,83.3,1.0,4.0,25.0,2.0,0.0,0.0,0.0,17.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,14.0,2.0,4.0,0.0,19.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,44.4,2.0,5.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,12.0,9.0,0.0,20.0,0.0,0.0,0.0,204.0,139.0,1.0,0.0,1.0,0.0,12.0,12.0,100.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Rémy Cabella,AM,27-319,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.0,48.0,2.0,0.0,0.0,0.1,0.1,0.1,1.0,0.0,44.0,59.0,74.6,4.0,54.0,7.0,1.0,3.0,653.0,198.0,27.0,31.0,87.1,13.0,17.0,76.5,3.0,8.0,37.5,1.0,4.0,1.0,0.0,55.0,4.0,3.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,50.0,2.0,7.0,5.0,54.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,10.0,20.8,0.0,26.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,39.0,31.0,2.0,63.0,33.3,1.0,0.0,366.0,183.0,4.0,1.0,0.0,0.0,50.0,48.0,96.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Assane Dioussé,CM,20-123,77.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57.0,36.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,52.0,92.3,1.0,43.0,0.0,0.0,0.0,1107.0,142.0,16.0,18.0,88.9,18.0,19.0,94.7,13.0,14.0,92.9,0.0,5.0,0.0,0.0,51.0,1.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,5.0,45.0,5.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,16.7,8.0,22.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,14.0,43.0,3.0,0.0,56.0,0.0,0.0,0.0,178.0,41.0,0.0,0.0,0.0,1.0,40.0,40.0,100.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Alexander Søderlund,CM,30-171,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,3.0,0.0,0.0,0.0,45.0,0.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,75.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yann M'Vila,CM,27-206,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,92.0,29.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,68.0,83.0,81.9,5.0,79.0,5.0,1.0,1.0,1285.0,463.0,31.0,32.0,96.9,31.0,38.0,81.6,6.0,13.0,46.2,0.0,9.0,1.0,0.0,83.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,63.0,1.0,19.0,8.0,72.0,3.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,6.0,20.7,13.0,12.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,23.0,67.0,10.0,1.0,92.0,100.0,1.0,0.0,390.0,185.0,0.0,0.0,0.0,1.0,76.0,76.0,100.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
Gabriel Silva,LB,26-253,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,49.0,22.0,0.0,3.0,1.0,0.1,0.1,0.0,0.0,0.0,31.0,39.0,79.5,6.0,28.0,5.0,0.0,0.0,465.0,185.0,20.0,22.0,90.9,7.0,8.0,87.5,3.0,6.0,50.0,0.0,3.0,0.0,0.0,32.0,7.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,6.0,7.0,27.0,5.0,0.0,6.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,36.4,13.0,9.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,14.0,22.0,14.0,1.0,42.0,0.0,0.0,0.0,108.0,51.0,1.0,1.0,0.0,1.0,26.0,26.0,100.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
