player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Matteo Politano,FW,24-282,71.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.0,23.0,1.0,0.0,0.0,0.1,0.1,0.2,3.0,0.0,13.0,20.0,65.0,4.0,31.0,3.0,3.0,5.0,239.0,79.0,7.0,11.0,63.6,4.0,5.0,80.0,2.0,3.0,66.7,2.0,1.0,2.0,0.0,19.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,2.0,5.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,3.0,13.0,4.0,15.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,18.0,16.0,2.0,31.0,60.0,3.0,0.0,261.0,137.0,1.0,1.0,4.0,2.0,39.0,25.0,64.1,6.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
Khouma Babacar,FW,25-056,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,3.0,3.0,100.0,1.0,5.0,0.0,0.0,0.0,52.0,11.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,2.0,0.0,15.0,4.0,26.7,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
Domenico Berardi,FW,23-284,79.0,1.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,42.0,39.0,2.0,0.0,0.0,0.7,0.7,0.0,2.0,1.0,22.0,30.0,73.3,2.0,25.0,6.0,0.0,1.0,383.0,115.0,9.0,10.0,90.0,11.0,13.0,84.6,1.0,6.0,16.7,0.0,2.0,0.0,0.0,26.0,4.0,1.0,0.0,7.0,2.0,3.0,2.0,2.0,0.0,0.0,15.0,4.0,11.0,20.0,6.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,6.0,15.4,10.0,21.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,9.0,13.0,23.0,7.0,38.0,0.0,1.0,1.0,168.0,105.0,2.0,2.0,0.0,0.0,49.0,27.0,55.1,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
Antonino Ragusa,FW,28-046,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,3.0,1.0,0.0,2.0,15.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,7.0,2.0,28.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Alfred Duncan,CM,25-063,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,49.0,1.0,3.0,3.0,0.1,0.1,0.0,2.0,0.0,21.0,26.0,80.8,4.0,30.0,6.0,4.0,6.0,440.0,156.0,9.0,10.0,90.0,9.0,9.0,100.0,3.0,6.0,50.0,1.0,5.0,0.0,0.0,26.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,10.0,21.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,11.0,22.4,18.0,25.0,6.0,0.0,0.0,3.0,4.0,5.0,0.0,4.0,23.0,19.0,5.0,1.0,43.0,66.7,5.0,0.0,151.0,100.0,0.0,0.0,0.0,0.0,31.0,23.0,74.2,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,50.0
Simone Missiroli,CM,31-354,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,58.0,25.0,3.0,3.0,3.0,0.1,0.1,0.1,5.0,0.0,25.0,39.0,64.1,6.0,28.0,4.0,1.0,3.0,488.0,239.0,12.0,17.0,70.6,8.0,13.0,61.5,5.0,9.0,55.6,2.0,5.0,0.0,0.0,39.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,5.0,18.0,5.0,23.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,24.0,17.0,8.0,0.0,0.0,0.0,3.0,6.0,3.0,0.0,4.0,23.0,23.0,15.0,2.0,58.0,33.3,1.0,0.0,111.0,82.0,1.0,0.0,2.0,0.0,52.0,33.0,63.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,8.0,50.0
Francesco Magnanelli,DM,33-181,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,44.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,27.0,32.0,84.4,0.0,23.0,0.0,0.0,0.0,589.0,125.0,7.0,8.0,87.5,11.0,11.0,100.0,8.0,11.0,72.7,0.0,3.0,0.0,0.0,30.0,2.0,2.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,11.0,4.0,22.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,2.0,6.0,33.3,4.0,15.0,34.1,30.0,14.0,0.0,0.0,0.0,3.0,4.0,7.0,0.0,9.0,32.0,10.0,5.0,0.0,45.0,0.0,0.0,0.0,69.0,17.0,0.0,0.0,0.0,1.0,21.0,21.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,66.7
Rogério,WB,20-119,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,30.0,4.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,18.0,28.0,64.3,1.0,22.0,5.0,0.0,1.0,481.0,266.0,1.0,4.0,25.0,12.0,15.0,80.0,5.0,8.0,62.5,1.0,2.0,1.0,1.0,27.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,14.0,6.0,8.0,25.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,100.0,0.0,8.0,26.7,18.0,11.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,4.0,25.0,9.0,8.0,0.0,37.0,0.0,0.0,0.0,194.0,135.0,2.0,0.0,0.0,0.0,23.0,20.0,87.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
Claud Adjapong,WB,20-006,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,33.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,13.0,23.0,56.5,1.0,18.0,1.0,1.0,1.0,216.0,116.0,4.0,5.0,80.0,9.0,14.0,64.3,0.0,4.0,0.0,0.0,1.0,0.0,0.0,17.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,11.0,0.0,13.0,4.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,21.2,25.0,6.0,2.0,0.0,0.0,6.0,1.0,3.0,0.0,7.0,20.0,14.0,7.0,0.0,33.0,100.0,1.0,0.0,51.0,27.0,0.0,0.0,2.0,1.0,16.0,12.0,75.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,25.0
Cristian Dell'Orco,CB,24-091,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,20.0,70.0,1.0,15.0,0.0,0.0,0.0,275.0,145.0,4.0,4.0,100.0,9.0,10.0,90.0,1.0,6.0,16.7,0.0,0.0,0.0,0.0,16.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,7.0,14.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,35.3,13.0,4.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,11.0,24.0,6.0,0.0,0.0,25.0,0.0,0.0,0.0,72.0,38.0,0.0,0.0,0.0,1.0,12.0,11.0,91.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
