player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Mame Biram Diouf,FW,30-148,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,18.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,23.0,78.3,1.0,21.0,4.0,0.0,2.0,298.0,117.0,7.0,8.0,87.5,11.0,12.0,91.7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,8.0,5.0,16.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,33.3,14.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,5.0,15.0,14.0,9.0,2.0,33.0,0.0,0.0,0.0,138.0,71.0,1.0,0.0,1.0,0.0,21.0,19.0,90.5,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
Peter Crouch,FW,37-103,90.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,38.0,12.0,0.0,0.0,2.0,0.3,0.3,0.0,2.0,0.0,19.0,28.0,67.9,0.0,14.0,0.0,0.0,0.0,249.0,11.0,11.0,14.0,78.6,7.0,13.0,53.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,14.0,0.0,14.0,9.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.7,1.0,6.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,23.0,11.0,3.0,37.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,2.0,1.0,31.0,30.0,96.8,4.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,57.1
Xherdan Shaqiri,FW,26-215,90.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,53.0,11.0,2.0,1.0,0.0,0.8,0.1,0.3,1.0,1.0,33.0,43.0,76.7,4.0,47.0,9.0,2.0,3.0,584.0,156.0,15.0,18.0,83.3,13.0,16.0,81.3,4.0,7.0,57.1,1.0,3.0,3.0,0.0,40.0,3.0,3.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,13.0,32.0,9.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,27.3,5.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,16.0,30.0,12.0,2.0,51.0,66.7,2.0,0.0,306.0,170.0,1.0,0.0,0.0,6.0,42.0,41.0,97.6,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Badou Ndiaye,LM,27-198,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.0,20.0,3.0,1.0,2.0,0.3,0.3,0.0,4.0,2.0,29.0,35.0,82.9,1.0,34.0,5.0,0.0,1.0,527.0,132.0,14.0,14.0,100.0,10.0,12.0,83.3,4.0,7.0,57.1,0.0,1.0,0.0,0.0,34.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,5.0,8.0,27.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,7.0,35.0,13.0,4.0,3.0,1.0,0.0,1.0,4.0,3.0,0.0,5.0,20.0,28.0,8.0,1.0,51.0,0.0,0.0,0.0,218.0,136.0,2.0,0.0,1.0,2.0,36.0,35.0,97.2,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Lasse Sørensen,CM,18-204,76.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,9.0,2.0,1.0,1.0,0.0,0.0,0.2,2.0,1.0,43.0,56.0,76.8,1.0,35.0,5.0,0.0,0.0,968.0,409.0,10.0,15.0,66.7,25.0,29.0,86.2,8.0,11.0,72.7,2.0,6.0,0.0,0.0,55.0,1.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,1.0,14.0,5.0,47.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,5.0,40.0,3.0,2.0,22.2,7.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,30.0,30.0,5.0,0.0,60.0,0.0,0.0,0.0,188.0,102.0,1.0,0.0,1.0,1.0,42.0,42.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,100.0
Stephen Ireland,CM,31-264,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,88.9,0.0,6.0,0.0,0.0,0.0,109.0,5.0,5.0,5.0,100.0,2.0,2.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,14.3,2.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,6.0,1.0,0.0,11.0,0.0,0.0,0.0,30.0,8.0,0.0,0.0,0.0,0.0,7.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Joe Allen,RM,28-060,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,51.0,3.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Darren Fletcher,RM,34-101,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,23.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,40.0,48.0,83.3,3.0,39.0,2.0,1.0,1.0,714.0,148.0,15.0,16.0,93.8,16.0,19.0,84.2,7.0,11.0,63.6,1.0,1.0,1.0,0.0,48.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,8.0,6.0,40.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,17.4,14.0,7.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,11.0,38.0,2.0,1.0,50.0,100.0,1.0,1.0,241.0,61.0,0.0,0.0,0.0,0.0,40.0,40.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,100.0
Erik Pieters,LB,29-279,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,72.0,18.0,7.0,2.0,6.0,0.0,0.0,0.1,2.0,0.0,44.0,55.0,80.0,2.0,42.0,3.0,0.0,0.0,822.0,330.0,20.0,22.0,90.9,18.0,24.0,75.0,5.0,7.0,71.4,1.0,1.0,2.0,2.0,48.0,7.0,1.0,0.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,35.0,2.0,18.0,44.0,2.0,3.0,6.0,0.0,0.0,3.0,0.0,1.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,33.3,15.0,3.0,0.0,6.0,0.0,0.0,9.0,6.0,0.0,10.0,43.0,27.0,6.0,1.0,65.0,0.0,0.0,0.0,302.0,169.0,2.0,1.0,0.0,0.0,34.0,34.0,100.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,33.3
Kurt Zouma,CB,23-198,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,33.0,97.0,0.0,27.0,0.0,0.0,0.0,638.0,129.0,10.0,10.0,100.0,15.0,15.0,100.0,6.0,7.0,85.7,0.0,0.0,0.0,0.0,30.0,3.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,1.0,10.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,50.0,1.0,1.0,25.0,2.0,2.0,0.0,2.0,1.0,0.0,5.0,7.0,0.0,11.0,36.0,15.0,0.0,0.0,45.0,0.0,0.0,0.0,157.0,48.0,0.0,0.0,0.0,1.0,26.0,26.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
