player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Harry Kane,FW,24-289,90.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,1.0,13.0,14.0,92.9,2.0,14.0,2.0,2.0,2.0,171.0,30.0,10.0,10.0,100.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,1.0,1.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,6.0,18.0,100.0,2.0,0.0,58.0,34.0,0.0,2.0,0.0,1.0,37.0,14.0,37.8,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0
Lucas Moura,LW,25-273,74.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,44.0,7.0,0.0,0.0,1.0,0.1,0.1,0.0,4.0,1.0,28.0,33.0,84.8,4.0,37.0,5.0,1.0,3.0,411.0,104.0,17.0,18.0,94.4,10.0,12.0,83.3,1.0,2.0,50.0,2.0,1.0,2.0,0.0,33.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,4.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.9,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,22.0,21.0,2.0,44.0,33.3,2.0,0.0,250.0,139.0,2.0,0.0,2.0,2.0,42.0,38.0,90.5,9.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,100.0
Dele Alli,"CM,FW,LW",22-032,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,88.9,1.0,11.0,1.0,2.0,2.0,100.0,27.0,5.0,5.0,100.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,8.0,1.0,13.0,100.0,2.0,0.0,38.0,16.0,1.0,0.0,0.0,3.0,13.0,10.0,76.9,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Érik Lamela,RW,26-070,78.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,38.0,20.0,2.0,2.0,0.0,1.4,1.4,0.0,1.0,0.0,18.0,25.0,72.0,0.0,25.0,5.0,0.0,1.0,259.0,7.0,11.0,14.0,78.6,6.0,6.0,100.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,23.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,2.0,3.0,22.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,50.0,1.0,8.0,40.0,6.0,7.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,19.0,20.0,6.0,36.0,0.0,1.0,0.0,182.0,107.0,2.0,0.0,1.0,3.0,31.0,25.0,80.6,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Davinson Sánchez,"CB,RW",21-335,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,100.0,0.0,7.0,0.0,0.0,0.0,232.0,57.0,2.0,2.0,100.0,5.0,5.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,7.0,7.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Christian Eriksen,"AM,CM",26-088,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,71.0,15.0,0.0,2.0,1.0,0.1,0.1,0.2,5.0,0.0,45.0,65.0,69.2,8.0,45.0,7.0,1.0,2.0,921.0,371.0,17.0,22.0,77.3,16.0,18.0,88.9,11.0,22.0,50.0,4.0,12.0,1.0,0.0,57.0,8.0,3.0,0.0,3.0,2.0,7.0,4.0,0.0,0.0,0.0,45.0,5.0,15.0,15.0,47.0,1.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,33.3,7.0,6.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,11.0,33.0,31.0,1.0,63.0,50.0,1.0,0.0,291.0,154.0,1.0,1.0,0.0,0.0,50.0,45.0,90.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,100.0
Victor Wanyama,DM,26-322,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,58.0,14.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,40.0,46.0,87.0,1.0,32.0,3.0,0.0,1.0,734.0,166.0,19.0,20.0,95.0,16.0,18.0,88.9,5.0,8.0,62.5,0.0,2.0,0.0,0.0,45.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,3.0,5.0,6.0,35.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,4.0,1.0,1.0,0.0,3.0,0.0,3.0,6.0,42.9,6.0,7.0,1.0,1.0,0.0,1.0,6.0,2.0,0.0,3.0,25.0,29.0,6.0,0.0,57.0,0.0,0.0,0.0,188.0,72.0,0.0,0.0,0.0,1.0,30.0,29.0,96.7,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,100.0
Moussa Sissoko,"DM,CM",28-270,84.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,36.0,83.3,2.0,24.0,4.0,0.0,0.0,504.0,85.0,18.0,20.0,90.0,9.0,12.0,75.0,3.0,4.0,75.0,0.0,4.0,0.0,0.0,35.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,2.0,7.0,26.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,30.0,5.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,11.0,22.0,11.0,1.0,39.0,0.0,0.0,0.0,220.0,139.0,2.0,0.0,0.0,0.0,27.0,25.0,92.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Son Heung-min,FW,25-309,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,31.0,4.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danny Rose,LB,27-315,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,7.0,1.0,0.0,0.0,0.0,0.0,0.1,3.0,1.0,35.0,44.0,79.5,4.0,37.0,11.0,1.0,2.0,646.0,339.0,11.0,13.0,84.6,18.0,23.0,78.3,4.0,6.0,66.7,2.0,3.0,1.0,1.0,40.0,4.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,29.0,6.0,9.0,29.0,5.0,5.0,4.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,2.0,28.6,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,10.0,21.0,28.0,5.0,52.0,50.0,1.0,0.0,253.0,145.0,2.0,1.0,3.0,0.0,35.0,35.0,100.0,8.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0
