player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Suk Hyun-jun,FW,26-317,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,21.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,0.0,18.0,26.0,69.2,1.0,15.0,1.0,1.0,2.0,159.0,46.0,15.0,21.0,71.4,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,25.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,7.0,9.0,1.0,12.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.5,3.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,13.0,3.0,30.0,50.0,1.0,0.0,48.0,15.0,0.0,0.0,2.0,2.0,32.0,25.0,78.1,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,50.0
Adama Niane,FW,24-330,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,55.6,0.0,14.0,1.0,2.0,3.0,98.0,2.0,3.0,6.0,50.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.5,0.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,9.0,6.0,0.0,15.0,66.7,2.0,0.0,38.0,28.0,2.0,0.0,1.0,1.0,14.0,11.0,78.6,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Samuel Grandsir,"RW,LW,LM,RM",21-271,90.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,52.0,41.0,4.0,0.0,1.0,0.3,0.3,0.0,0.0,0.0,22.0,31.0,71.0,4.0,42.0,6.0,3.0,5.0,360.0,136.0,11.0,13.0,84.6,8.0,11.0,72.7,2.0,3.0,66.7,0.0,2.0,2.0,0.0,30.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,5.0,5.0,24.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,0.0,0.0,1.0,3.0,33.3,2.0,9.0,22.0,21.0,17.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,21.0,20.0,21.0,5.0,51.0,60.0,3.0,0.0,331.0,209.0,4.0,1.0,2.0,5.0,40.0,37.0,92.5,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
Chaouki Ben Saada,"LW,RW,RM",33-315,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,30.0,0.0,0.0,3.0,0.0,0.0,0.2,3.0,0.0,22.0,32.0,68.8,4.0,37.0,7.0,2.0,2.0,343.0,137.0,13.0,15.0,86.7,7.0,9.0,77.8,2.0,7.0,28.6,2.0,2.0,2.0,0.0,31.0,1.0,0.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,22.0,1.0,9.0,24.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,10.0,11.0,15.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,7.0,24.0,19.0,3.0,44.0,100.0,2.0,0.0,216.0,117.0,3.0,0.0,4.0,3.0,32.0,28.0,87.5,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,100.0
Bryan Mbeumo,"RM,AM",18-278,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,55.6,1.0,9.0,1.0,0.0,0.0,78.0,21.0,3.0,5.0,60.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.4,8.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,8.0,5.0,0.0,15.0,0.0,0.0,0.0,52.0,39.0,0.0,0.0,1.0,1.0,12.0,12.0,100.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,100.0
Benjamin Nivet,"AM,FW",41-130,82.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,29.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,32.0,43.0,74.4,5.0,43.0,3.0,1.0,1.0,516.0,189.0,17.0,24.0,70.8,11.0,13.0,84.6,3.0,3.0,100.0,0.0,5.0,2.0,1.0,43.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,25.0,9.0,9.0,6.0,33.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,17.2,8.0,17.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,5.0,33.0,19.0,2.0,55.0,100.0,1.0,0.0,176.0,69.0,0.0,0.0,4.0,4.0,42.0,37.0,88.1,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,100.0
Bryan Pelé,"LM,FW",26-048,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,3.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rémi Walter,"DM,CM",23-016,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,40.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,22.0,29.0,75.9,1.0,20.0,2.0,0.0,0.0,466.0,180.0,7.0,9.0,77.8,12.0,17.0,70.6,3.0,3.0,100.0,0.0,1.0,1.0,1.0,29.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,3.0,11.0,21.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,20.0,18.0,21.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,20.0,12.0,3.0,0.0,33.0,0.0,0.0,0.0,106.0,40.0,2.0,0.0,0.0,1.0,20.0,19.0,95.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Karim Azamoum,"DM,CM",28-115,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,56.0,35.0,3.0,2.0,4.0,0.2,0.2,0.1,3.0,0.0,30.0,46.0,65.2,5.0,35.0,0.0,0.0,0.0,560.0,215.0,13.0,14.0,92.9,15.0,22.0,68.2,2.0,9.0,22.2,2.0,2.0,0.0,0.0,45.0,1.0,1.0,0.0,12.0,1.0,3.0,0.0,0.0,0.0,0.0,25.0,8.0,13.0,2.0,38.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,4.0,0.0,4.0,7.0,20.0,22.0,12.0,1.0,2.0,0.0,2.0,5.0,2.0,0.0,6.0,22.0,19.0,17.0,1.0,55.0,0.0,0.0,0.0,165.0,66.0,1.0,0.0,1.0,0.0,34.0,32.0,94.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
Charles Traore,LB,26-131,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,30.0,2.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,32.0,46.0,69.6,1.0,33.0,3.0,0.0,0.0,560.0,313.0,16.0,23.0,69.6,13.0,13.0,100.0,3.0,9.0,33.3,0.0,2.0,0.0,0.0,40.0,6.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,16.0,35.0,3.0,2.0,6.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,33.3,22.0,7.0,1.0,0.0,0.0,8.0,2.0,2.0,0.0,12.0,33.0,20.0,8.0,0.0,52.0,0.0,0.0,0.0,176.0,116.0,1.0,0.0,0.0,0.0,31.0,28.0,90.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0
