player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Troy Deeney,FW,29-275,90.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,43.0,13.0,1.0,0.0,2.0,0.2,0.2,0.0,1.0,0.0,16.0,31.0,51.6,5.0,23.0,7.0,0.0,1.0,276.0,110.0,10.0,14.0,71.4,4.0,8.0,50.0,2.0,6.0,33.3,0.0,0.0,5.0,1.0,31.0,0.0,0.0,0.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,17.0,0.0,22.0,7.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,53.8,2.0,3.0,8.0,1.0,0.0,1.0,1.0,2.0,0.0,4.0,5.0,6.0,33.0,8.0,43.0,0.0,0.0,0.0,134.0,77.0,1.0,1.0,1.0,1.0,25.0,25.0,100.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,9.0,3.0,4.0,42.9
Roberto Pereyra,LW,27-083,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,48.0,13.0,0.0,2.0,2.0,0.1,0.1,0.0,1.0,1.0,29.0,34.0,85.3,4.0,34.0,5.0,0.0,1.0,464.0,133.0,12.0,14.0,85.7,12.0,14.0,85.7,3.0,4.0,75.0,0.0,0.0,2.0,0.0,33.0,1.0,0.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,28.0,1.0,5.0,6.0,24.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,15.4,5.0,2.0,6.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,11.0,14.0,29.0,8.0,47.0,0.0,0.0,0.0,225.0,81.0,2.0,1.0,3.0,3.0,30.0,29.0,96.7,7.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
Kiko Femenía,RW,27-057,81.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,35.0,10.0,0.0,1.0,1.0,0.1,0.1,0.1,3.0,0.0,27.0,32.0,84.4,4.0,25.0,7.0,0.0,0.0,438.0,151.0,18.0,18.0,100.0,5.0,6.0,83.3,3.0,6.0,50.0,1.0,2.0,3.0,1.0,32.0,0.0,0.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,24.0,0.0,8.0,1.0,29.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,30.0,2.0,6.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,13.0,21.0,4.0,35.0,0.0,0.0,0.0,228.0,104.0,3.0,1.0,0.0,0.0,24.0,23.0,95.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Richarlison,RW,20-325,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,8.0,75.0,1.0,9.0,1.0,1.0,1.0,72.0,16.0,3.0,3.0,100.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,8.0,1.0,10.0,100.0,1.0,0.0,42.0,16.0,0.0,1.0,0.0,1.0,8.0,8.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Will Hughes,AM,22-348,75.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,55.0,14.0,3.0,2.0,3.0,0.2,0.2,0.2,6.0,2.0,33.0,40.0,82.5,3.0,35.0,7.0,1.0,2.0,474.0,92.0,20.0,24.0,83.3,7.0,8.0,87.5,3.0,5.0,60.0,4.0,3.0,1.0,0.0,39.0,1.0,0.0,0.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,33.0,0.0,7.0,36.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,3.0,21.4,1.0,7.0,6.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,27.0,34.0,4.0,54.0,50.0,1.0,0.0,228.0,120.0,3.0,0.0,2.0,0.0,36.0,36.0,100.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Stefano Okaka,AM,28-234,15.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,2.0,6.0,33.3,0.0,4.0,0.0,0.0,0.0,49.0,6.0,1.0,2.0,50.0,0.0,3.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Étienne Capoue,DM,29-263,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,43.0,8.0,1.0,1.0,1.0,0.1,0.1,0.0,1.0,0.0,27.0,37.0,73.0,4.0,24.0,2.0,0.0,0.0,572.0,153.0,9.0,12.0,75.0,13.0,15.0,86.7,5.0,8.0,62.5,0.0,3.0,0.0,0.0,37.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,14.0,6.0,23.0,8.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,2.0,25.0,2.0,4.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,5.0,27.0,13.0,0.0,43.0,0.0,0.0,0.0,143.0,65.0,0.0,0.0,0.0,0.0,26.0,26.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0
Abdoulaye Doucouré,DM,25-089,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,71.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,51.0,61.0,83.6,3.0,49.0,6.0,0.0,0.0,774.0,125.0,31.0,32.0,96.9,17.0,23.0,73.9,3.0,6.0,50.0,1.0,2.0,1.0,0.0,59.0,2.0,0.0,0.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,51.0,1.0,9.0,7.0,50.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,5.0,55.6,5.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,17.0,34.0,24.0,5.0,69.0,0.0,0.0,0.0,279.0,107.0,1.0,0.0,2.0,4.0,46.0,46.0,100.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0
José Holebas,LB,33-277,90.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,65.0,6.0,2.0,1.0,2.0,0.1,0.1,0.1,4.0,1.0,27.0,54.0,50.0,4.0,24.0,3.0,0.0,1.0,462.0,233.0,12.0,15.0,80.0,10.0,19.0,52.6,4.0,18.0,22.2,1.0,0.0,0.0,0.0,37.0,17.0,2.0,0.0,12.0,3.0,2.0,6.0,0.0,0.0,0.0,16.0,1.0,37.0,33.0,4.0,8.0,9.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,2.0,3.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,13.0,28.0,29.0,1.0,47.0,0.0,0.0,0.0,171.0,87.0,1.0,1.0,3.0,1.0,22.0,22.0,100.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,1.0,0.0
Adrian Mariappa,CB,31-179,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,4.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,28.0,42.0,66.7,1.0,27.0,1.0,1.0,1.0,642.0,276.0,7.0,8.0,87.5,12.0,18.0,66.7,7.0,12.0,58.3,0.0,4.0,0.0,0.0,41.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,18.0,8.0,25.0,7.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,25.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0,3.0,0.0,6.0,26.0,24.0,4.0,2.0,51.0,100.0,1.0,0.0,101.0,34.0,0.0,1.0,0.0,0.0,26.0,26.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,100.0
Sebastian Prödl,CB,30-283,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,85.0,0.0,17.0,1.0,0.0,0.0,378.0,32.0,6.0,6.0,100.0,6.0,8.0,75.0,5.0,6.0,83.3,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,2.0,5.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,50.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,18.0,9.0,0.0,0.0,26.0,0.0,0.0,0.0,53.0,20.0,0.0,0.0,0.0,0.0,17.0,17.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
