player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Jay Rodriguez,"FW,RW",28-112,70.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,26.0,20.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,12.0,17.0,70.6,2.0,19.0,2.0,0.0,1.0,203.0,54.0,5.0,7.0,71.4,7.0,8.0,87.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,3.0,1.0,13.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,1.0,11.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,10.0,12.0,2.0,26.0,0.0,0.0,0.0,129.0,82.0,2.0,0.0,2.0,0.0,21.0,19.0,90.5,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0
Oliver Burke,RW,20-225,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,3.0,0.0,0.0,0.0,25.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salom�n Rond�n,FW,28-063,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,21.0,28.0,75.0,1.0,26.0,2.0,1.0,3.0,310.0,26.0,14.0,17.0,82.4,6.0,6.0,100.0,1.0,3.0,33.3,1.0,1.0,0.0,0.0,22.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,19.0,6.0,3.0,5.0,20.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,23.8,1.0,9.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,21.0,20.0,5.0,37.0,33.3,1.0,0.0,98.0,29.0,0.0,1.0,7.0,0.0,35.0,29.0,82.9,15.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0
Grzegorz Krychowiak,CM,27-293,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,21.0,81.0,2.0,19.0,1.0,0.0,0.0,313.0,73.0,8.0,8.0,100.0,7.0,8.0,87.5,2.0,5.0,40.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,6.0,3.0,17.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,6.0,40.0,6.0,8.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,12.0,14.0,5.0,0.0,29.0,0.0,0.0,0.0,102.0,27.0,0.0,0.0,0.0,1.0,19.0,19.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Claudio Yacob,DM,30-123,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,18.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,90.9,0.0,20.0,3.0,0.0,0.0,411.0,54.0,7.0,7.0,100.0,11.0,11.0,100.0,2.0,4.0,50.0,0.0,3.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,3.0,2.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,38.9,7.0,10.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,7.0,20.0,2.0,0.0,27.0,0.0,0.0,0.0,86.0,41.0,0.0,0.0,1.0,0.0,18.0,16.0,88.9,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Jake Livermore,CM,28-004,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.0,43.0,76.7,5.0,42.0,3.0,3.0,3.0,724.0,175.0,10.0,10.0,100.0,14.0,18.0,77.8,8.0,13.0,61.5,1.0,8.0,0.0,0.0,42.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,27.0,4.0,12.0,5.0,35.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,11.6,7.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,29.0,11.0,2.0,45.0,100.0,3.0,0.0,227.0,94.0,0.0,0.0,0.0,0.0,40.0,38.0,95.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Gareth Barry,"DM,CM",36-268,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.0,26.0,2.0,0.0,3.0,0.1,0.1,0.0,2.0,0.0,36.0,46.0,78.3,4.0,36.0,4.0,0.0,0.0,806.0,204.0,12.0,14.0,85.7,15.0,17.0,88.2,9.0,15.0,60.0,1.0,5.0,0.0,0.0,42.0,4.0,3.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,34.0,2.0,10.0,40.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,50.0,1.0,6.0,23.1,7.0,15.0,4.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,7.0,40.0,12.0,0.0,48.0,0.0,0.0,0.0,251.0,133.0,1.0,0.0,1.0,0.0,33.0,32.0,97.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Kieran Gibbs,"WB,LB",28-053,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,24.0,5.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,37.0,51.0,72.5,4.0,41.0,5.0,0.0,2.0,704.0,289.0,17.0,19.0,89.5,17.0,20.0,85.0,3.0,10.0,30.0,0.0,3.0,1.0,0.0,46.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,27.0,5.0,19.0,34.0,9.0,3.0,5.0,0.0,2.0,0.0,0.0,2.0,4.0,4.0,1.0,0.0,3.0,4.0,75.0,1.0,9.0,37.5,15.0,4.0,5.0,1.0,0.0,5.0,7.0,2.0,0.0,5.0,24.0,32.0,16.0,0.0,61.0,0.0,0.0,0.0,219.0,147.0,3.0,0.0,0.0,1.0,37.0,36.0,97.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Matt Phillips,"WB,LW",26-250,84.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,25.0,0.0,0.0,1.0,0.0,0.0,0.1,2.0,0.0,19.0,33.0,57.6,0.0,30.0,6.0,0.0,3.0,403.0,156.0,5.0,9.0,55.6,8.0,13.0,61.5,5.0,9.0,55.6,1.0,0.0,1.0,1.0,27.0,6.0,0.0,0.0,3.0,1.0,8.0,2.0,0.0,0.0,0.0,18.0,3.0,12.0,4.0,23.0,1.0,4.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,20.0,12.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,14.0,24.0,1.0,36.0,0.0,0.0,0.0,255.0,112.0,1.0,0.0,2.0,0.0,32.0,27.0,84.4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
James McClean,LW,28-210,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,2.0,3.0,66.7,0.0,4.0,2.0,1.0,1.0,25.0,13.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,5.0,100.0,1.0,1.0,38.0,35.0,1.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
