player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Jay Rodriguez,"FW,LW",28-091,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,29.0,12.0,0.0,1.0,0.0,0.2,0.2,0.1,1.0,0.0,13.0,19.0,68.4,2.0,18.0,2.0,1.0,2.0,240.0,102.0,7.0,10.0,70.0,4.0,5.0,80.0,2.0,2.0,100.0,1.0,1.0,1.0,1.0,17.0,2.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,7.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.7,1.0,6.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,15.0,10.0,2.0,27.0,50.0,1.0,0.0,67.0,27.0,1.0,1.0,2.0,1.0,42.0,19.0,45.2,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0
Salomón Rondón,FW,28-042,58.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,21.0,13.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,6.0,13.0,46.2,2.0,11.0,0.0,0.0,0.0,126.0,25.0,2.0,6.0,33.3,3.0,5.0,60.0,1.0,1.0,100.0,1.0,1.0,1.0,0.0,11.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,1.0,7.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30.8,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,3.0,19.0,0.0,0.0,0.0,37.0,17.0,0.0,0.0,1.0,2.0,30.0,16.0,53.3,8.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Hal Robson-Kanu,FW,28-160,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,16.7,1.0,6.0,0.0,0.0,1.0,30.0,24.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,8.0,0.0,0.0,0.0,22.0,7.0,0.0,0.0,0.0,0.0,17.0,6.0,35.3,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Gareth Barry,"CM,DM",36-247,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,17.0,0.0,1.0,1.0,0.0,0.0,0.2,2.0,1.0,17.0,27.0,63.0,4.0,18.0,1.0,0.0,0.0,388.0,138.0,6.0,9.0,66.7,6.0,8.0,75.0,5.0,9.0,55.6,1.0,3.0,0.0,0.0,27.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,10.0,17.0,5.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,17.6,6.0,10.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,19.0,4.0,0.0,29.0,0.0,0.0,0.0,66.0,19.0,0.0,0.0,0.0,0.0,19.0,14.0,73.7,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.0,100.0
Grzegorz Krychowiak,CM,27-272,81.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,38.0,13.0,1.0,2.0,2.0,0.1,0.1,0.0,2.0,0.0,12.0,21.0,57.1,3.0,23.0,1.0,3.0,3.0,215.0,87.0,7.0,10.0,70.0,3.0,4.0,75.0,2.0,5.0,40.0,0.0,2.0,0.0,0.0,19.0,2.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,7.0,5.0,12.0,4.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.7,6.0,5.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,15.0,19.0,8.0,1.0,36.0,100.0,3.0,0.0,160.0,73.0,2.0,0.0,2.0,2.0,24.0,20.0,83.3,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
James McClean,CM,28-189,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,1.0,5.0,0.0,0.0,0.0,40.0,21.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,28.6,1.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,8.0,0.0,0.0,0.0,23.0,9.0,0.0,0.0,1.0,1.0,8.0,6.0,75.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Livermore,CM,27-348,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,13.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,26.0,65.4,1.0,23.0,1.0,3.0,4.0,269.0,71.0,11.0,15.0,73.3,4.0,4.0,100.0,2.0,6.0,33.3,0.0,2.0,0.0,0.0,25.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,7.0,5.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,23.1,2.0,9.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,13.0,15.0,5.0,0.0,31.0,75.0,3.0,0.0,88.0,36.0,0.0,0.0,0.0,0.0,20.0,14.0,70.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,100.0
Kieran Gibbs,"WB,LB",28-032,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,37.0,56.8,0.0,24.0,1.0,0.0,1.0,323.0,166.0,13.0,15.0,86.7,8.0,15.0,53.3,0.0,6.0,0.0,0.0,1.0,0.0,0.0,27.0,10.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,14.0,4.0,19.0,24.0,3.0,1.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,12.5,3.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,13.0,20.0,12.0,1.0,34.0,0.0,0.0,0.0,114.0,48.0,0.0,0.0,2.0,1.0,28.0,22.0,78.6,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
Allan Nyom,"WB,RB",29-171,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,5.0,0.0,1.0,1.0,0.0,0.0,0.1,1.0,0.0,18.0,30.0,60.0,0.0,24.0,0.0,0.0,1.0,364.0,186.0,9.0,12.0,75.0,6.0,8.0,75.0,3.0,8.0,37.5,1.0,0.0,1.0,1.0,26.0,4.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,4.0,14.0,5.0,19.0,1.0,4.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,6.0,20.0,9.0,6.0,0.0,30.0,0.0,1.0,0.0,126.0,55.0,0.0,0.0,0.0,0.0,20.0,16.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,50.0
Jonny Evans,CB,29-298,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,13.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,27.0,55.6,0.0,19.0,0.0,0.0,0.0,249.0,79.0,8.0,12.0,66.7,7.0,9.0,77.8,0.0,5.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,9.0,9.0,13.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,38.5,7.0,4.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,5.0,22.0,11.0,0.0,0.0,33.0,0.0,0.0,0.0,77.0,16.0,0.0,0.0,0.0,1.0,14.0,13.0,92.9,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,100.0
Ahmed Hegazi,CB,26-276,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,7.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,21.0,30.0,70.0,2.0,19.0,0.0,2.0,2.0,433.0,223.0,11.0,12.0,91.7,6.0,7.0,85.7,4.0,11.0,36.4,0.0,2.0,0.0,0.0,27.0,3.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,13.0,4.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,28.6,2.0,4.0,1.0,2.0,0.0,2.0,4.0,2.0,0.0,10.0,29.0,9.0,0.0,0.0,34.0,100.0,2.0,0.0,152.0,64.0,0.0,0.0,0.0,0.0,10.0,9.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,100.0
Gareth McAuley,CB,37-327,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,17.0,70.6,2.0,9.0,1.0,1.0,1.0,195.0,85.0,5.0,6.0,83.3,5.0,6.0,83.3,1.0,4.0,25.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,5.0,1.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,6.0,14.0,8.0,1.0,0.0,21.0,100.0,1.0,0.0,68.0,55.0,1.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,100.0
Matt Phillips,RW,26-229,22.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,4.0,0.0,0.0,1.0,0.4,0.4,0.0,0.0,0.0,3.0,5.0,60.0,0.0,6.0,0.0,0.0,1.0,43.0,10.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,6.0,0.0,1.0,0.0,33.0,29.0,0.0,0.0,0.0,1.0,7.0,3.0,42.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Ben Foster,GK,34-208,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,27.0,51.9,0.0,18.0,0.0,0.0,0.0,666.0,595.0,2.0,2.0,100.0,0.0,0.0,0.0,12.0,25.0,48.0,0.0,1.0,0.0,0.0,19.0,8.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,21.0,23.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,32.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,143.0,87.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
