,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Lionel Messi,10.0,ar ARG,FW,30-063,90.0,2.0,0.0,0.0,1.0,9.0,6.0,0.0,0.0,91.0,7.0,0.0,0.0,1.0,1.4,0.7,0.2,8.0,0.0,57.0,68.0,83.8,7.0,85.0,14.0,6.0,12.0,904.0,307.0,33.0,35.0,94.3,19.0,21.0,90.5,5.0,10.0,50.0,3.0,8.0,4.0,0.0,61.0,7.0,3.0,1.0,15.0,1.0,2.0,2.0,1.0,0.0,0.0,49.0,6.0,13.0,62.0,5.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,28.6,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,57.0,12.0,85.0,50.0,7.0,2.0,348.0,166.0,4.0,2.0,0.0,7.0,92.0,78.0,84.8,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
1,Gerard Deulofeu,16.0,es ESP,"LW,RW",23-166,70.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,51.0,8.0,1.0,1.0,1.0,0.2,0.2,0.2,3.0,0.0,29.0,40.0,72.5,1.0,39.0,5.0,1.0,3.0,521.0,63.0,12.0,16.0,75.0,13.0,16.0,81.3,3.0,7.0,42.9,2.0,1.0,0.0,0.0,34.0,6.0,0.0,0.0,8.0,1.0,3.0,6.0,2.0,1.0,0.0,28.0,4.0,8.0,2.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,25.0,0.0,4.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,7.0,44.0,8.0,45.0,33.3,1.0,1.0,130.0,86.0,1.0,1.0,2.0,2.0,46.0,39.0,84.8,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2,Denis Suárez,6.0,es ESP,RW,23-232,20.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,28.0,5.0,0.0,0.0,1.0,0.1,0.1,0.2,2.0,0.0,15.0,21.0,71.4,1.0,24.0,10.0,1.0,1.0,186.0,48.0,11.0,14.0,78.6,1.0,3.0,33.3,1.0,1.0,100.0,2.0,1.0,1.0,0.0,20.0,1.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,18.0,0.0,3.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,4.0,27.0,100.0,1.0,0.0,162.0,143.0,2.0,4.0,1.0,1.0,24.0,23.0,95.8,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
3,Aleix Vidal,22.0,es ESP,RW,28-005,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,38.0,86.8,5.0,33.0,3.0,1.0,2.0,426.0,107.0,23.0,25.0,92.0,8.0,10.0,80.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,36.0,2.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,32.0,5.0,1.0,3.0,32.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,62.5,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,35.0,2.0,40.0,50.0,1.0,0.0,130.0,57.0,0.0,0.0,0.0,2.0,43.0,36.0,83.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
4,Paco Alcácer,17.0,es ESP,LW,23-361,34.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,4.0,1.0,0.0,0.0,0.1,0.1,0.3,2.0,1.0,14.0,18.0,77.8,1.0,14.0,1.0,2.0,3.0,218.0,24.0,9.0,10.0,90.0,3.0,4.0,75.0,2.0,4.0,50.0,2.0,0.0,1.0,0.0,14.0,4.0,0.0,0.0,2.0,3.0,0.0,3.0,2.0,0.0,1.0,10.0,1.0,7.0,2.0,13.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,25.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,16.0,1.0,17.0,66.7,3.0,0.0,52.0,31.0,1.0,0.0,0.0,0.0,19.0,14.0,73.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
5,Andrés Iniesta,8.0,es ESP,CM,33-107,87.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,74.0,8.0,2.0,0.0,1.0,0.1,0.1,0.1,5.0,1.0,61.0,66.0,92.4,6.0,73.0,8.0,5.0,8.0,1284.0,293.0,23.0,23.0,100.0,23.0,25.0,92.0,14.0,17.0,82.4,2.0,7.0,2.0,1.0,66.0,0.0,0.0,0.0,11.0,3.0,3.0,0.0,0.0,0.0,0.0,56.0,2.0,8.0,6.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,37.5,1.0,5.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,35.0,37.0,1.0,74.0,62.5,6.0,0.0,268.0,123.0,0.0,0.0,0.0,1.0,76.0,68.0,89.5,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
6,Paulinho,15.0,br BRA,CM,29-032,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,40.0,0.0,5.0,0.0,0.0,0.0,17.0,0.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,1.0,0.0,6.0,5.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
7,Ivan Rakitić,4.0,hr CRO,CM,29-169,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,95.0,13.0,3.0,0.0,0.0,0.1,0.1,0.2,5.0,0.0,83.0,90.0,92.2,7.0,73.0,5.0,0.0,0.0,1505.0,335.0,38.0,39.0,97.4,36.0,41.0,87.8,8.0,9.0,88.9,3.0,11.0,3.0,1.0,87.0,3.0,1.0,0.0,16.0,2.0,2.0,2.0,0.0,1.0,0.0,74.0,7.0,9.0,4.0,82.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,23.1,0.0,5.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,60.0,36.0,2.0,92.0,0.0,0.0,0.0,259.0,156.0,2.0,1.0,0.0,0.0,86.0,78.0,90.7,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,50.0
8,Sergio Busquets,5.0,es ESP,DM,29-041,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,15.0,4.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,74.0,81.0,91.4,5.0,63.0,3.0,1.0,1.0,1525.0,443.0,28.0,31.0,90.3,33.0,34.0,97.1,11.0,14.0,78.6,1.0,9.0,1.0,0.0,80.0,1.0,1.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,63.0,2.0,16.0,14.0,63.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,3.0,0.0,3.0,4.0,75.0,1.0,9.0,60.0,4.0,8.0,3.0,1.0,0.0,1.0,4.0,1.0,0.0,2.0,19.0,60.0,13.0,0.0,86.0,100.0,1.0,0.0,201.0,97.0,2.0,0.0,1.0,1.0,70.0,69.0,98.6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,5.0,2.0,71.4
9,Jordi Alba,18.0,es ESP,LB,28-158,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,91.0,14.0,2.0,1.0,1.0,0.1,0.1,0.2,4.0,1.0,72.0,82.0,87.8,3.0,70.0,3.0,1.0,1.0,1192.0,324.0,36.0,39.0,92.3,28.0,32.0,87.5,4.0,5.0,80.0,3.0,3.0,1.0,0.0,71.0,11.0,3.0,0.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,66.0,8.0,8.0,69.0,4.0,1.0,8.0,0.0,0.0,1.0,4.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,4.0,28.6,6.0,6.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,12.0,33.0,48.0,3.0,81.0,100.0,1.0,0.0,237.0,88.0,2.0,0.0,1.0,2.0,71.0,68.0,95.8,7.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
