,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Moussa Konaté,15.0,sn SEN,FW,24-261,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,55.6,0.0,17.0,0.0,1.0,3.0,98.0,5.0,1.0,3.0,33.3,4.0,4.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,11.0,4.0,21.0,33.3,1.0,0.0,52.0,8.0,0.0,0.0,5.0,2.0,39.0,17.0,43.6,8.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,25.0
1,Lacina Traoré,28.0,ci CIV,FW,27-214,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,40.0,0.0,8.0,0.0,1.0,2.0,32.0,1.0,1.0,3.0,33.3,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,5.0,10.0,50.0,1.0,0.0,8.0,4.0,0.0,0.0,2.0,1.0,13.0,10.0,76.9,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,100.0
2,Gaël Kakuta,14.0,cd COD,LW,26-182,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,53.0,3.0,0.0,5.0,1.0,0.0,0.0,0.1,2.0,0.0,24.0,37.0,64.9,9.0,39.0,7.0,3.0,6.0,602.0,321.0,7.0,8.0,87.5,7.0,10.0,70.0,9.0,17.0,52.9,2.0,6.0,6.0,3.0,30.0,7.0,2.0,1.0,0.0,4.0,9.0,4.0,0.0,0.0,0.0,18.0,6.0,13.0,29.0,5.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,1.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,30.0,26.0,3.0,46.0,50.0,3.0,0.0,345.0,193.0,3.0,1.0,1.0,7.0,38.0,35.0,92.1,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
3,Serge Gakpé,37.0,tg TOG,RW,30-227,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,31.0,7.0,0.0,3.0,1.0,0.4,0.4,0.0,0.0,0.0,12.0,19.0,63.2,1.0,17.0,0.0,1.0,2.0,197.0,46.0,5.0,6.0,83.3,6.0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,4.0,6.0,5.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,14.3,4.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,8.0,10.0,15.0,8.0,30.0,50.0,1.0,0.0,90.0,41.0,0.0,0.0,1.0,1.0,26.0,17.0,65.4,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0
4,Harrison Manzala,7.0,cd COD,AM,23-289,83.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,38.0,7.0,0.0,2.0,2.0,0.1,0.1,0.0,1.0,0.0,20.0,27.0,74.1,2.0,30.0,7.0,1.0,1.0,309.0,54.0,10.0,10.0,100.0,9.0,15.0,60.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,23.0,2.0,2.0,5.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,28.6,3.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,8.0,20.0,13.0,3.0,38.0,100.0,1.0,0.0,214.0,139.0,1.0,2.0,3.0,1.0,32.0,27.0,84.4,9.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
5,Georges Gope-Fenepej,18.0,nc NCL,AM,29-058,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,2.0,1.0,0.0,0.0,29.0,17.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Thomas Monconduit,6.0,fr FRA,CM,26-313,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,61.0,7.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,39.0,47.0,83.0,4.0,34.0,1.0,0.0,1.0,805.0,130.0,15.0,16.0,93.8,12.0,14.0,85.7,10.0,12.0,83.3,0.0,3.0,1.0,0.0,47.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,7.0,8.0,36.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,28.6,2.0,4.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,2.0,17.0,42.0,5.0,0.0,61.0,0.0,0.0,0.0,148.0,43.0,1.0,0.0,0.0,1.0,38.0,37.0,97.4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,33.3
7,Bongani Zungu,34.0,za RSA,CM,25-072,69.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,48.0,5.0,3.0,4.0,0.0,0.1,0.1,0.0,2.0,0.0,34.0,40.0,85.0,3.0,32.0,3.0,1.0,1.0,729.0,165.0,7.0,8.0,87.5,20.0,22.0,90.9,6.0,8.0,75.0,1.0,4.0,0.0,0.0,39.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,4.0,7.0,1.0,35.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,3.0,60.0,1.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,13.0,29.0,10.0,1.0,47.0,100.0,1.0,0.0,150.0,59.0,1.0,0.0,1.0,0.0,35.0,32.0,91.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
8,Guessouma Fofana,8.0,mr MTN,CM,25-003,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,2.0,6.0,0.0,0.0,0.0,172.0,45.0,1.0,2.0,50.0,3.0,3.0,100.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,6.0,7.0,2.0,0.0,15.0,0.0,0.0,0.0,49.0,22.0,0.0,0.0,2.0,0.0,7.0,6.0,85.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,Danilo Avelar,35.0,br BRA,LB,28-194,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,2.0,2.0,6.0,0.0,0.0,0.0,0.2,2.0,0.0,45.0,65.0,69.2,3.0,29.0,4.0,1.0,3.0,776.0,435.0,19.0,19.0,100.0,13.0,22.0,59.1,9.0,18.0,50.0,1.0,4.0,1.0,1.0,48.0,17.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,31.0,11.0,23.0,41.0,3.0,4.0,16.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,4.0,21.0,36.0,22.0,2.0,56.0,33.3,1.0,0.0,191.0,135.0,2.0,0.0,0.0,0.0,41.0,38.0,92.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
