,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Mario Gómez,27.0,de GER,FW,32-223,90.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,46.0,20.0,1.0,0.0,1.0,0.7,0.7,0.1,3.0,0.0,17.0,24.0,70.8,3.0,30.0,8.0,0.0,2.0,306.0,85.0,8.0,11.0,72.7,5.0,8.0,62.5,3.0,4.0,75.0,1.0,2.0,1.0,0.0,23.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,3.0,2.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,5.0,25.0,3.0,8.0,9.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,4.0,25.0,22.0,6.0,45.0,0.0,0.0,0.0,152.0,108.0,4.0,0.0,3.0,2.0,55.0,34.0,61.8,12.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,62.5
1,Daniel Ginczek,33.0,de GER,FW,26-311,88.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,37.0,20.0,1.0,1.0,1.0,0.4,0.4,0.6,5.0,0.0,13.0,25.0,52.0,4.0,19.0,4.0,2.0,4.0,186.0,72.0,7.0,10.0,70.0,6.0,12.0,50.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,25.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,8.0,10.0,1.0,12.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,3.0,7.0,10.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,11.0,24.0,7.0,37.0,50.0,2.0,0.0,91.0,75.0,2.0,2.0,3.0,0.0,47.0,24.0,51.1,15.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,4.0,7.0,36.4
2,Berkay Özcan,31.0,tr TUR,FW,20-003,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,Erik Thommy,17.0,de GER,LM,23-182,68.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,47.0,19.0,0.0,0.0,4.0,0.1,0.1,0.2,4.0,1.0,18.0,36.0,50.0,2.0,33.0,2.0,3.0,3.0,314.0,138.0,8.0,11.0,72.7,7.0,14.0,50.0,2.0,9.0,22.2,1.0,1.0,1.0,0.0,27.0,9.0,2.0,0.0,10.0,1.0,5.0,7.0,2.0,3.0,2.0,12.0,9.0,15.0,6.0,27.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,47.4,7.0,5.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,17.0,29.0,1.0,36.0,100.0,3.0,0.0,101.0,49.0,2.0,1.0,1.0,2.0,34.0,25.0,73.5,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0
4,Dennis Aogo,3.0,de GER,CM,31-035,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,57.1,0.0,4.0,0.0,0.0,0.0,55.0,7.0,3.0,5.0,60.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.1,3.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,75.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
5,Christian Gentner,20.0,de GER,"RM,CM",32-188,90.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,50.0,22.0,4.0,0.0,3.0,0.2,0.2,0.0,2.0,0.0,18.0,31.0,58.1,6.0,23.0,4.0,1.0,1.0,456.0,276.0,6.0,12.0,50.0,5.0,8.0,62.5,7.0,11.0,63.6,0.0,5.0,0.0,0.0,30.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,8.0,3.0,26.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,3.0,66.7,1.0,7.0,31.8,7.0,9.0,6.0,0.0,0.0,3.0,4.0,8.0,0.0,4.0,19.0,25.0,10.0,2.0,49.0,100.0,1.0,0.0,184.0,105.0,1.0,0.0,2.0,0.0,34.0,28.0,82.4,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,33.3
6,Holger Badstuber,28.0,de GER,"DM,CB",28-342,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,12.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,26.0,33.0,78.8,1.0,20.0,0.0,1.0,1.0,584.0,209.0,9.0,12.0,75.0,10.0,11.0,90.9,7.0,10.0,70.0,0.0,0.0,0.0,0.0,29.0,4.0,4.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,10.0,23.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.7,2.0,8.0,2.0,1.0,0.0,2.0,3.0,5.0,0.0,5.0,19.0,23.0,3.0,0.0,40.0,100.0,1.0,0.0,78.0,28.0,1.0,0.0,1.0,0.0,19.0,16.0,84.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,3.0,40.0
7,Santiago Ascacíbar,6.0,ar ARG,DM,20-358,89.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,41.0,29.0,3.0,0.0,2.0,0.1,0.1,0.0,2.0,0.0,25.0,29.0,86.2,1.0,21.0,0.0,0.0,1.0,496.0,76.0,11.0,11.0,100.0,8.0,10.0,80.0,6.0,8.0,75.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,5.0,7.0,17.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,3.0,66.7,1.0,11.0,37.9,11.0,17.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,12.0,25.0,5.0,1.0,41.0,0.0,1.0,0.0,40.0,19.0,0.0,0.0,0.0,1.0,21.0,17.0,81.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,18.0,2.0,3.0,40.0
8,Marcin Kamiński,35.0,pl POL,DM,26-034,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
9,Emiliano Insúa,2.0,ar ARG,"LB,WB",29-042,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,13.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,28.0,41.0,68.3,2.0,26.0,3.0,1.0,2.0,482.0,205.0,15.0,17.0,88.2,10.0,14.0,71.4,3.0,10.0,30.0,1.0,1.0,1.0,1.0,31.0,10.0,0.0,0.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,14.0,12.0,15.0,26.0,2.0,3.0,10.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,100.0,0.0,2.0,15.4,8.0,4.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,4.0,16.0,26.0,12.0,1.0,42.0,50.0,1.0,0.0,131.0,51.0,1.0,0.0,0.0,3.0,28.0,25.0,89.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0
