,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Michael Gregoritsch,11.0,at AUT,FW,23-333,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,30.0,17.0,1.0,0.0,1.0,0.2,0.2,0.0,3.0,0.0,16.0,21.0,76.2,1.0,15.0,2.0,1.0,1.0,306.0,34.0,6.0,7.0,85.7,7.0,9.0,77.8,3.0,3.0,100.0,1.0,1.0,0.0,0.0,17.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,3.0,11.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,1.0,10.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,15.0,13.0,2.0,24.0,100.0,1.0,0.0,61.0,24.0,1.0,0.0,1.0,0.0,39.0,18.0,46.2,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
1,Caiuby,30.0,br BRA,LW,29-246,90.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,55.0,25.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,24.0,34.0,70.6,1.0,37.0,4.0,2.0,2.0,392.0,78.0,12.0,13.0,92.3,7.0,13.0,53.8,3.0,5.0,60.0,1.0,3.0,0.0,0.0,34.0,0.0,0.0,0.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,26.0,4.0,4.0,18.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,28.0,8.0,11.0,6.0,0.0,0.0,3.0,1.0,3.0,0.0,3.0,9.0,27.0,23.0,2.0,55.0,100.0,2.0,0.0,203.0,70.0,1.0,0.0,4.0,3.0,50.0,33.0,66.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,13.0,3.0,4.0,42.9
2,Marco Richter,23.0,de GER,RW,20-113,77.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,25.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,75.0,1.0,17.0,1.0,0.0,0.0,200.0,50.0,6.0,8.0,75.0,3.0,4.0,75.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,1.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,35.7,4.0,4.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,5.0,9.0,12.0,1.0,25.0,0.0,0.0,0.0,64.0,17.0,0.0,0.0,1.0,2.0,29.0,17.0,58.6,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
3,Sergio Córdova,21.0,ve VEN,RW,20-220,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,100.0,1.0,0.0,55.0,49.0,1.0,0.0,0.0,0.0,4.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Koo Ja-cheol,19.0,kr KOR,AM,29-018,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,16.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,25.0,36.0,69.4,4.0,39.0,7.0,3.0,3.0,352.0,123.0,17.0,21.0,81.0,6.0,7.0,85.7,1.0,3.0,33.3,1.0,5.0,0.0,0.0,36.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,30.0,3.0,3.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,43.8,5.0,8.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,9.0,26.0,18.0,0.0,48.0,100.0,3.0,0.0,225.0,121.0,3.0,0.0,1.0,1.0,43.0,33.0,76.7,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
5,Daniel Baier,10.0,de GER,DM,33-303,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,84.0,17.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,54.0,71.0,76.1,9.0,50.0,4.0,2.0,2.0,1096.0,300.0,19.0,23.0,82.6,23.0,28.0,82.1,12.0,19.0,63.2,0.0,11.0,2.0,0.0,66.0,5.0,5.0,1.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,36.0,13.0,22.0,3.0,64.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,5.0,29.4,11.0,6.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,17.0,56.0,19.0,0.0,80.0,100.0,2.0,0.0,317.0,147.0,1.0,0.0,2.0,1.0,54.0,50.0,92.6,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,66.7
6,Rani Khedira,8.0,de GER,"CB,DM",24-049,90.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,71.0,15.0,2.0,0.0,7.0,0.1,0.1,0.0,1.0,0.0,42.0,52.0,80.8,3.0,34.0,6.0,0.0,0.0,826.0,266.0,7.0,10.0,70.0,33.0,34.0,97.1,2.0,7.0,28.6,1.0,4.0,0.0,0.0,50.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,9.0,7.0,4.0,43.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,4.0,26.7,8.0,5.0,2.0,3.0,0.0,4.0,2.0,6.0,0.0,13.0,32.0,37.0,6.0,2.0,69.0,0.0,0.0,0.0,240.0,154.0,0.0,0.0,1.0,0.0,45.0,40.0,88.9,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0
7,Philipp Max,31.0,de GER,LB,24-168,90.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,54.0,12.0,3.0,0.0,0.0,0.1,0.1,0.1,2.0,1.0,30.0,45.0,66.7,3.0,27.0,5.0,1.0,1.0,593.0,234.0,12.0,14.0,85.7,12.0,13.0,92.3,6.0,16.0,37.5,1.0,1.0,3.0,2.0,32.0,13.0,2.0,0.0,5.0,2.0,7.0,4.0,0.0,3.0,0.0,15.0,10.0,20.0,31.0,3.0,4.0,7.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,41.7,9.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,13.0,19.0,26.0,3.0,41.0,100.0,1.0,0.0,171.0,104.0,2.0,2.0,0.0,1.0,33.0,28.0,84.8,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
8,Martin Hinteregger,36.0,at AUT,CB,25-191,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,12.0,0.0,1.0,2.0,0.0,0.0,0.1,1.0,0.0,53.0,68.0,77.9,3.0,49.0,3.0,0.0,0.0,1156.0,401.0,9.0,13.0,69.2,36.0,38.0,94.7,8.0,17.0,47.1,1.0,1.0,1.0,0.0,64.0,4.0,3.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,52.0,6.0,10.0,55.0,9.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,33.3,8.0,2.0,2.0,1.0,0.0,1.0,1.0,6.0,1.0,11.0,46.0,39.0,3.0,0.0,74.0,0.0,0.0,0.0,460.0,284.0,1.0,0.0,0.0,0.0,55.0,54.0,98.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,3.0,3.0,50.0
9,Gojko Kačar,20.0,rs SRB,CB,31-050,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,28.0,32.0,87.5,1.0,27.0,1.0,0.0,0.0,704.0,183.0,1.0,1.0,100.0,22.0,25.0,88.0,5.0,6.0,83.3,0.0,1.0,0.0,0.0,31.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,3.0,4.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,5.0,21.0,19.0,2.0,1.0,36.0,0.0,0.0,0.0,147.0,89.0,0.0,0.0,0.0,0.0,28.0,28.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
