,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Cheick Diabaté,25.0,ml MLI,FW,29-347,69.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.1,1.1,0.0,0.0,0.0,3.0,6.0,50.0,0.0,7.0,1.0,0.0,0.0,70.0,0.0,0.0,1.0,0.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,7.0,7.0,3.0,13.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,3.0,23.0,7.0,30.4,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,16.7
1,Pietro Iemmello,33.0,it ITA,FW,26-032,21.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,6.0,1.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,4.0,4.0,100.0,0.0,2.0,2.0,0.0,0.0,58.0,0.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,0.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,2.0,6.0,0.0,0.0,0.0,29.0,20.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,Filip Đuričić,31.0,rs SRB,LW,26-067,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,46.0,17.0,1.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,21.0,33.0,63.6,0.0,38.0,9.0,4.0,6.0,445.0,27.0,8.0,11.0,72.7,8.0,12.0,66.7,5.0,7.0,71.4,0.0,1.0,0.0,0.0,30.0,3.0,0.0,0.0,7.0,3.0,0.0,2.0,2.0,0.0,0.0,25.0,5.0,3.0,3.0,29.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5.9,3.0,11.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,18.0,27.0,3.0,43.0,66.7,4.0,0.0,349.0,236.0,3.0,2.0,3.0,1.0,42.0,37.0,88.1,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0
3,Enrico Brignola,99.0,it ITA,RW,18-273,61.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,33.0,20.0,4.0,0.0,1.0,0.1,0.1,0.1,3.0,0.0,18.0,22.0,81.8,1.0,24.0,5.0,1.0,2.0,312.0,47.0,9.0,10.0,90.0,8.0,9.0,88.9,1.0,2.0,50.0,2.0,0.0,2.0,1.0,22.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,4.0,3.0,20.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,25.0,10.0,10.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,3.0,15.0,12.0,11.0,0.0,33.0,50.0,1.0,0.0,186.0,81.0,3.0,0.0,2.0,0.0,21.0,21.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
4,Danilo Cataldi,8.0,it ITA,"AM,RW",23-244,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,0.0,21.0,21.0,100.0,0.0,21.0,1.0,2.0,2.0,281.0,49.0,15.0,15.0,100.0,6.0,6.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,9.0,1.0,23.0,100.0,2.0,0.0,85.0,32.0,1.0,0.0,1.0,0.0,24.0,22.0,91.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,Guilherme,66.0,br BRA,"AM,RW",26-321,90.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,41.0,26.0,0.0,0.0,0.0,0.1,0.1,0.1,4.0,2.0,30.0,32.0,93.8,0.0,25.0,3.0,1.0,2.0,419.0,59.0,19.0,19.0,100.0,8.0,8.0,100.0,2.0,4.0,50.0,2.0,3.0,0.0,0.0,28.0,4.0,1.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,26.0,2.0,4.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,19.2,2.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,18.0,3.0,37.0,50.0,1.0,0.0,79.0,27.0,0.0,1.0,3.0,3.0,42.0,33.0,78.6,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
6,Sandro,30.0,br BRA,DM,29-023,80.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,47.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,37.0,39.0,94.9,0.0,27.0,2.0,1.0,1.0,701.0,80.0,14.0,15.0,93.3,16.0,17.0,94.1,7.0,7.0,100.0,0.0,0.0,0.0,0.0,38.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2.0,0.0,6.0,32.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,13.3,7.0,8.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,4.0,19.0,27.0,4.0,1.0,46.0,100.0,1.0,0.0,101.0,33.0,1.0,0.0,0.0,0.0,39.0,36.0,92.3,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
7,Lorenzo Del Pinto,4.0,it ITA,DM,27-294,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,15.0,86.7,1.0,13.0,0.0,0.0,0.0,282.0,25.0,4.0,4.0,100.0,6.0,8.0,75.0,3.0,3.0,100.0,0.0,1.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,16.0,0.0,0.0,0.0,64.0,18.0,0.0,0.0,0.0,0.0,15.0,15.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,Nicolas Viola,10.0,it ITA,DM,28-177,90.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,76.0,12.0,0.0,1.0,2.0,0.0,0.0,0.3,7.0,1.0,55.0,68.0,80.9,5.0,56.0,8.0,0.0,0.0,1119.0,335.0,19.0,21.0,90.5,27.0,28.0,96.4,9.0,18.0,50.0,3.0,7.0,0.0,0.0,61.0,7.0,2.0,0.0,9.0,7.0,2.0,5.0,2.0,3.0,0.0,47.0,4.0,17.0,61.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.3,6.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,19.0,43.0,19.0,1.0,69.0,0.0,0.0,0.0,356.0,200.0,3.0,0.0,0.0,1.0,59.0,56.0,94.9,4.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,9.0,0.0,2.0,0.0
9,Lorenzo Venuti,23.0,it ITA,LB,22-360,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,8.0,2.0,3.0,0.0,0.0,0.0,0.1,2.0,0.0,25.0,30.0,83.3,3.0,25.0,5.0,2.0,4.0,357.0,152.0,17.0,17.0,100.0,7.0,11.0,63.6,1.0,2.0,50.0,1.0,0.0,1.0,0.0,26.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,5.0,5.0,8.0,15.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,25.0,4.0,2.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,8.0,18.0,14.0,1.0,35.0,50.0,2.0,0.0,111.0,82.0,0.0,1.0,0.0,1.0,29.0,24.0,82.8,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
