,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Romelu Lukaku,9.0,be BEL,FW,24-252,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,16.0,0.0,0.0,0.0,0.1,0.1,0.1,1.0,1.0,23.0,31.0,74.2,1.0,29.0,2.0,1.0,2.0,466.0,64.0,13.0,15.0,86.7,4.0,7.0,57.1,5.0,6.0,83.3,1.0,0.0,2.0,1.0,31.0,0.0,0.0,0.0,15.0,4.0,2.0,0.0,0.0,0.0,0.0,17.0,9.0,5.0,18.0,7.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,31.3,0.0,10.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,24.0,17.0,4.0,41.0,50.0,1.0,0.0,85.0,26.0,2.0,1.0,2.0,3.0,59.0,35.0,59.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,33.3
1,Anthony Martial,11.0,fr FRA,"LW,CM",22-046,89.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,57.0,13.0,1.0,0.0,0.0,0.3,0.3,0.2,5.0,0.0,34.0,42.0,81.0,4.0,52.0,17.0,2.0,4.0,473.0,108.0,23.0,25.0,92.0,8.0,11.0,72.7,1.0,3.0,33.3,3.0,0.0,1.0,0.0,42.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,5.0,2.0,11.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.7,2.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,29.0,35.0,10.0,57.0,50.0,3.0,0.0,387.0,322.0,8.0,6.0,2.0,6.0,65.0,52.0,80.0,9.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2,Ander Herrera,21.0,es ESP,CM,28-159,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Juan Mata,8.0,es ESP,RW,29-267,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,16.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,39.0,51.0,76.5,2.0,38.0,6.0,1.0,1.0,728.0,134.0,16.0,18.0,88.9,13.0,16.0,81.3,7.0,11.0,63.6,0.0,1.0,0.0,0.0,47.0,4.0,2.0,0.0,14.0,3.0,4.0,1.0,0.0,1.0,0.0,37.0,6.0,8.0,44.0,5.0,0.0,1.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,43.8,7.0,5.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,32.0,20.0,4.0,51.0,100.0,1.0,0.0,203.0,107.0,2.0,1.0,1.0,0.0,49.0,40.0,81.6,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
4,Marouane Fellaini,27.0,be BEL,"CM,RW",30-059,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,12.0,66.7,1.0,9.0,0.0,1.0,1.0,115.0,26.0,4.0,5.0,80.0,2.0,4.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,33.3,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,5.0,0.0,14.0,100.0,1.0,0.0,32.0,26.0,0.0,0.0,1.0,0.0,9.0,7.0,77.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
5,Paul Pogba,6.0,fr FRA,"CM,AM",24-311,90.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,71.0,27.0,0.0,1.0,1.0,0.3,0.3,0.2,4.0,0.0,44.0,57.0,77.2,11.0,52.0,9.0,3.0,3.0,781.0,290.0,23.0,27.0,85.2,11.0,15.0,73.3,8.0,12.0,66.7,3.0,3.0,4.0,0.0,56.0,1.0,1.0,0.0,22.0,2.0,1.0,0.0,0.0,0.0,0.0,42.0,9.0,6.0,5.0,50.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,18.5,7.0,14.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,11.0,45.0,26.0,5.0,70.0,100.0,3.0,0.0,312.0,232.0,7.0,0.0,6.0,2.0,71.0,58.0,81.7,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0
6,Jesse Lingard,14.0,eng ENG,CM,25-036,79.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,33.0,1.0,2.0,3.0,0.1,0.1,0.0,2.0,0.0,40.0,45.0,88.9,1.0,38.0,5.0,0.0,0.0,621.0,109.0,23.0,23.0,100.0,11.0,15.0,73.3,4.0,5.0,80.0,1.0,2.0,0.0,0.0,42.0,3.0,0.0,0.0,11.0,1.0,1.0,2.0,0.0,0.0,1.0,32.0,6.0,7.0,8.0,36.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.1,4.0,19.0,10.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,7.0,28.0,24.0,3.0,54.0,0.0,0.0,0.0,195.0,78.0,1.0,1.0,3.0,1.0,53.0,42.0,79.2,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0
7,Marcus Rashford,19.0,eng ENG,FW,20-081,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,50.0,0.0,8.0,2.0,0.0,2.0,29.0,3.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.3,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,8.0,2.0,10.0,0.0,1.0,0.0,37.0,28.0,1.0,0.0,1.0,1.0,8.0,6.0,75.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
8,Nemanja Matić,31.0,rs SRB,DM,29-172,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,64.0,29.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,54.0,90.7,4.0,38.0,6.0,0.0,0.0,1018.0,352.0,18.0,19.0,94.7,22.0,23.0,95.7,9.0,11.0,81.8,0.0,5.0,1.0,0.0,52.0,2.0,2.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,4.0,6.0,41.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,4.0,13.0,44.8,13.0,15.0,1.0,0.0,0.0,1.0,8.0,2.0,0.0,1.0,26.0,34.0,7.0,0.0,62.0,0.0,0.0,0.0,355.0,178.0,1.0,0.0,0.0,1.0,38.0,36.0,94.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,100.0
9,Ashley Young,18.0,eng ENG,LB,32-195,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,84.0,17.0,4.0,2.0,1.0,0.0,0.0,0.2,3.0,0.0,56.0,70.0,80.0,4.0,46.0,9.0,1.0,3.0,1105.0,625.0,26.0,26.0,100.0,21.0,28.0,75.0,9.0,14.0,64.3,1.0,8.0,1.0,1.0,56.0,14.0,0.0,0.0,11.0,1.0,3.0,0.0,0.0,0.0,0.0,35.0,14.0,21.0,3.0,51.0,2.0,14.0,0.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,50.0,1.0,3.0,17.6,7.0,8.0,2.0,0.0,0.0,1.0,6.0,4.0,0.0,4.0,29.0,30.0,30.0,1.0,71.0,33.3,1.0,0.0,252.0,177.0,3.0,1.0,0.0,2.0,47.0,44.0,93.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,1.0,66.7
