,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Manuel Pucciarelli,10.0,it ITA,FW,26-071,79.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,29.0,20.0,2.0,0.0,1.0,0.4,0.4,0.0,2.0,0.0,20.0,22.0,90.9,2.0,28.0,3.0,1.0,2.0,264.0,50.0,13.0,13.0,100.0,7.0,8.0,87.5,0.0,1.0,0.0,0.0,2.0,1.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,1.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,4.0,20.0,1.0,7.0,12.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,10.0,18.0,3.0,29.0,50.0,1.0,0.0,82.0,28.0,1.0,0.0,2.0,0.0,33.0,25.0,75.8,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,Luca Garritano,7.0,it ITA,AM,23-197,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,83.3,2.0,8.0,0.0,0.0,0.0,107.0,70.0,3.0,3.0,100.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,1.0,8.0,0.0,0.0,0.0,51.0,38.0,0.0,0.0,1.0,2.0,8.0,7.0,87.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,Roberto Inglese,45.0,it ITA,FW,25-288,83.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,24.0,16.0,1.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,6.0,14.0,42.9,0.0,14.0,1.0,0.0,0.0,90.0,0.0,3.0,5.0,60.0,3.0,8.0,37.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,2.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,2.0,12.5,1.0,8.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,10.0,13.0,8.0,24.0,0.0,0.0,0.0,66.0,17.0,0.0,1.0,5.0,1.0,40.0,20.0,50.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,66.7
3,Sergio Pellissier,31.0,it ITA,FW,38-137,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,37.0,7.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Valter Birsa,23.0,si SVN,FW,31-020,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,82.0,25.0,0.0,0.0,2.0,0.0,0.0,0.2,7.0,0.0,57.0,73.0,78.1,3.0,60.0,7.0,0.0,3.0,1011.0,224.0,31.0,36.0,86.1,20.0,24.0,83.3,6.0,13.0,46.2,2.0,5.0,1.0,0.0,59.0,14.0,2.0,0.0,3.0,7.0,1.0,9.0,0.0,0.0,0.0,48.0,13.0,12.0,53.0,17.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,16.0,3.0,15.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0,40.0,38.0,1.0,68.0,0.0,1.0,0.0,241.0,91.0,2.0,0.0,1.0,1.0,67.0,58.0,86.6,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0
5,Lucas Castro,19.0,ar ARG,CM,28-140,90.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,84.0,25.0,5.0,0.0,3.0,0.3,0.3,0.0,2.0,0.0,48.0,61.0,78.7,9.0,64.0,9.0,5.0,7.0,913.0,308.0,20.0,24.0,83.3,22.0,25.0,88.0,6.0,12.0,50.0,2.0,8.0,3.0,0.0,61.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,43.0,9.0,9.0,6.0,53.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,2.0,3.0,0.0,3.0,5.0,60.0,2.0,9.0,36.0,6.0,17.0,2.0,0.0,0.0,3.0,5.0,2.0,0.0,3.0,15.0,50.0,25.0,4.0,84.0,71.4,5.0,0.0,318.0,219.0,2.0,0.0,2.0,1.0,51.0,50.0,98.0,11.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0
6,Ivan Radovanović,8.0,rs SRB,CM,28-363,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,57.0,20.0,1.0,2.0,0.0,0.0,0.0,0.1,3.0,0.0,44.0,50.0,88.0,3.0,40.0,0.0,0.0,0.0,787.0,211.0,18.0,19.0,94.7,21.0,23.0,91.3,5.0,8.0,62.5,2.0,2.0,2.0,2.0,49.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,40.0,2.0,8.0,8.0,40.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,40.0,14.0,5.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,19.0,33.0,7.0,0.0,56.0,0.0,0.0,0.0,184.0,81.0,0.0,0.0,0.0,0.0,33.0,31.0,93.9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
7,Përparim Hetemaj,56.0,fi FIN,CM,30-258,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,29.0,3.0,2.0,2.0,0.0,0.0,0.1,5.0,0.0,37.0,49.0,75.5,2.0,51.0,11.0,1.0,1.0,689.0,250.0,17.0,19.0,89.5,14.0,20.0,70.0,6.0,9.0,66.7,3.0,6.0,3.0,2.0,48.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,35.0,6.0,8.0,9.0,38.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,27.6,12.0,10.0,7.0,0.0,0.0,2.0,5.0,2.0,0.0,3.0,17.0,33.0,18.0,3.0,65.0,100.0,1.0,0.0,324.0,204.0,2.0,1.0,2.0,1.0,44.0,41.0,93.2,5.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
8,Massimo Gobbi,18.0,it ITA,LB,36-300,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,10.0,1.0,0.0,0.0,0.0,0.0,0.2,3.0,0.0,37.0,50.0,74.0,9.0,40.0,4.0,0.0,1.0,805.0,501.0,10.0,11.0,90.9,21.0,24.0,87.5,6.0,15.0,40.0,2.0,4.0,3.0,2.0,46.0,4.0,0.0,0.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,26.0,4.0,20.0,28.0,15.0,2.0,4.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,4.0,40.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,10.0,35.0,16.0,1.0,50.0,0.0,1.0,0.0,178.0,90.0,4.0,1.0,2.0,0.0,40.0,38.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
9,Alessandro Gamberini,5.0,it ITA,CB,36-000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,34.0,88.2,1.0,27.0,0.0,0.0,0.0,652.0,210.0,11.0,13.0,84.6,13.0,14.0,92.9,6.0,7.0,85.7,0.0,0.0,0.0,0.0,33.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,5.0,9.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.3,6.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,7.0,26.0,13.0,0.0,0.0,38.0,0.0,0.0,0.0,68.0,28.0,0.0,0.0,0.0,0.0,26.0,26.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0
