,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Tammy Abraham,10.0,eng ENG,FW,19-328,77.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,22.0,5.0,1.0,0.0,0.0,0.3,0.3,0.1,2.0,0.0,7.0,13.0,53.8,1.0,13.0,1.0,2.0,2.0,154.0,53.0,3.0,6.0,50.0,2.0,2.0,100.0,2.0,3.0,66.7,1.0,2.0,1.0,1.0,13.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,9.0,2.0,22.0,100.0,2.0,0.0,76.0,20.0,0.0,0.0,1.0,3.0,33.0,15.0,45.5,4.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,6.0,2.0,5.0,28.6
1,Oliver McBurnie,62.0,sct SCO,FW,21-083,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,57.1,0.0,3.0,1.0,0.0,0.0,31.0,0.0,3.0,4.0,75.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.6,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,11.0,0.0,0.0,0.0,28.0,22.0,1.0,0.0,1.0,0.0,14.0,8.0,57.1,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,42.9
2,Jordan Ayew,18.0,gh GHA,"FW,LW",25-349,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,42.0,29.0,4.0,0.0,2.0,0.7,0.7,0.0,0.0,0.0,20.0,23.0,87.0,0.0,28.0,1.0,1.0,4.0,310.0,43.0,9.0,9.0,100.0,9.0,9.0,100.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,22.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,4.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,9.0,31.0,5.0,7.0,17.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,4.0,18.0,24.0,2.0,41.0,25.0,1.0,0.0,119.0,36.0,0.0,0.0,3.0,6.0,56.0,30.0,53.6,13.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,60.0
3,Tom Carroll,14.0,eng ENG,CM,25-090,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,22.0,3.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,42.0,50.0,84.0,2.0,34.0,2.0,0.0,0.0,729.0,103.0,22.0,22.0,100.0,15.0,18.0,83.3,5.0,9.0,55.6,1.0,1.0,1.0,0.0,46.0,4.0,3.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,1.0,34.0,5.0,11.0,47.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,6.0,27.3,11.0,10.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,42.0,8.0,0.0,51.0,0.0,0.0,0.0,198.0,105.0,1.0,0.0,0.0,2.0,46.0,44.0,95.7,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
4,Leroy Fer,8.0,nl NED,CM,27-233,90.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,41.0,12.0,3.0,0.0,2.0,0.0,0.0,0.1,2.0,1.0,21.0,29.0,72.4,1.0,25.0,0.0,2.0,3.0,384.0,37.0,9.0,12.0,75.0,8.0,11.0,72.7,3.0,5.0,60.0,1.0,0.0,1.0,0.0,29.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,6.0,10.0,17.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,16.7,10.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,3.0,12.0,24.0,7.0,0.0,41.0,66.7,3.0,0.0,50.0,23.0,0.0,0.0,1.0,2.0,32.0,30.0,93.8,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,100.0
5,Sam Clucas,17.0,eng ENG,DM,26-335,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,46.0,51.0,90.2,4.0,34.0,0.0,0.0,0.0,977.0,214.0,19.0,21.0,90.5,17.0,17.0,100.0,10.0,13.0,76.9,0.0,2.0,0.0,0.0,50.0,1.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,11.0,43.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,27.3,7.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,17.0,32.0,9.0,0.0,55.0,0.0,0.0,0.0,111.0,28.0,0.0,0.0,0.0,0.0,38.0,36.0,94.7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,100.0
6,Martin Olsson,16.0,se SWE,"WB,LB",29-101,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,38.0,65.8,2.0,25.0,3.0,0.0,0.0,497.0,122.0,11.0,12.0,91.7,10.0,13.0,76.9,3.0,12.0,25.0,0.0,1.0,0.0,0.0,32.0,6.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,4.0,16.0,29.0,3.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,22.2,7.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,11.0,25.0,6.0,0.0,35.0,0.0,0.0,0.0,97.0,46.0,0.0,0.0,0.0,0.0,26.0,24.0,92.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,33.3
7,Kyle Naughton,26.0,eng ENG,"WB,RB",28-288,87.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,53.0,66.0,80.3,5.0,41.0,4.0,4.0,4.0,1020.0,376.0,28.0,29.0,96.6,12.0,16.0,75.0,13.0,20.0,65.0,1.0,6.0,0.0,0.0,53.0,13.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,15.0,23.0,3.0,46.0,3.0,13.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,100.0,0.0,4.0,50.0,3.0,4.0,1.0,0.0,0.0,1.0,3.0,4.0,0.0,3.0,20.0,42.0,14.0,1.0,61.0,100.0,4.0,0.0,163.0,105.0,0.0,0.0,1.0,2.0,53.0,47.0,88.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,60.0
8,Àngel Rangel,22.0,es ESP,RB,34-302,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,21.0,15.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Alfie Mawson,6.0,eng ENG,CB,23-219,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,86.0,5.0,0.0,0.0,2.0,0.1,0.1,0.0,0.0,0.0,65.0,78.0,83.3,1.0,67.0,9.0,0.0,0.0,1435.0,388.0,26.0,26.0,100.0,24.0,26.0,92.3,15.0,26.0,57.7,0.0,1.0,0.0,0.0,77.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,54.0,6.0,18.0,23.0,52.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,39.0,52.0,1.0,1.0,85.0,0.0,0.0,0.0,402.0,256.0,0.0,0.0,0.0,1.0,70.0,70.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,50.0
