,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Wilfried Zaha,11.0,ci CIV,"FW,LM",24-352,90.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,45.0,17.0,2.0,1.0,1.0,0.3,0.3,0.0,3.0,1.0,13.0,19.0,68.4,6.0,33.0,9.0,3.0,8.0,247.0,104.0,7.0,8.0,87.5,4.0,7.0,57.1,2.0,3.0,66.7,0.0,2.0,3.0,0.0,17.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0,2.0,4.0,3.0,14.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,8.0,47.1,8.0,2.0,7.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,10.0,35.0,11.0,43.0,37.5,4.0,1.0,222.0,149.0,3.0,2.0,5.0,1.0,54.0,29.0,53.7,13.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0
1,Andros Townsend,10.0,eng ENG,"FW,RM",26-104,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,13.0,0.0,0.0,0.0,0.0,0.0,0.1,5.0,2.0,26.0,39.0,66.7,5.0,40.0,8.0,4.0,5.0,475.0,193.0,13.0,16.0,81.3,11.0,18.0,61.1,2.0,5.0,40.0,1.0,1.0,1.0,0.0,32.0,7.0,3.0,0.0,2.0,1.0,6.0,1.0,0.0,1.0,0.0,27.0,4.0,8.0,28.0,11.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,38.5,3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,28.0,1.0,40.0,80.0,4.0,0.0,356.0,127.0,4.0,0.0,1.0,2.0,52.0,36.0,69.2,10.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0
2,Jeffrey Schlupp,15.0,gh GHA,"LM,LB,RB",24-309,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.0,19.0,4.0,2.0,4.0,0.6,0.6,0.1,1.0,0.0,21.0,30.0,70.0,1.0,24.0,0.0,0.0,0.0,316.0,81.0,13.0,13.0,100.0,7.0,10.0,70.0,1.0,7.0,14.3,1.0,0.0,0.0,0.0,28.0,2.0,1.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,19.0,2.0,9.0,15.0,11.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,4.0,0.0,4.0,11.0,57.9,7.0,8.0,4.0,0.0,0.0,4.0,6.0,1.0,0.0,3.0,13.0,23.0,11.0,2.0,42.0,0.0,0.0,0.0,94.0,35.0,0.0,0.0,1.0,4.0,25.0,22.0,88.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,66.7
3,Ruben Loftus-Cheek,8.0,eng ENG,"RM,FW",21-278,90.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,50.0,21.0,1.0,0.0,2.0,0.1,0.1,0.3,6.0,1.0,29.0,35.0,82.9,5.0,40.0,9.0,3.0,6.0,469.0,94.0,14.0,17.0,82.4,11.0,13.0,84.6,2.0,2.0,100.0,4.0,1.0,3.0,0.0,34.0,1.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,30.0,5.0,0.0,7.0,26.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,42.9,5.0,10.0,6.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,5.0,24.0,28.0,5.0,49.0,50.0,4.0,0.0,256.0,189.0,5.0,2.0,2.0,1.0,62.0,41.0,66.1,12.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,33.3
4,Luka Milivojević,4.0,rs SRB,DM,26-204,90.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,69.0,15.0,3.0,2.0,2.0,0.8,0.1,0.0,1.0,0.0,44.0,54.0,81.5,4.0,42.0,3.0,1.0,1.0,1048.0,351.0,10.0,15.0,66.7,22.0,23.0,95.7,12.0,13.0,92.3,0.0,5.0,0.0,0.0,50.0,4.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,12.0,6.0,11.0,35.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,53.3,3.0,11.0,1.0,0.0,0.0,2.0,5.0,4.0,0.0,4.0,21.0,34.0,16.0,1.0,64.0,100.0,1.0,0.0,174.0,92.0,0.0,0.0,0.0,2.0,36.0,34.0,94.4,2.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,19.0,6.0,2.0,75.0
5,Yohan Cabaye,7.0,fr FRA,DM,31-287,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,72.0,27.0,6.0,3.0,3.0,0.2,0.2,0.2,4.0,0.0,44.0,57.0,77.2,8.0,36.0,1.0,0.0,0.0,1092.0,481.0,13.0,14.0,92.9,18.0,22.0,81.8,13.0,20.0,65.0,4.0,6.0,2.0,0.0,43.0,14.0,2.0,0.0,6.0,7.0,2.0,10.0,1.0,6.0,3.0,29.0,6.0,22.0,1.0,49.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,2.0,0.0,4.0,9.0,44.4,5.0,9.0,33.3,9.0,12.0,6.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,14.0,35.0,25.0,1.0,57.0,0.0,0.0,0.0,166.0,90.0,0.0,0.0,0.0,1.0,38.0,32.0,84.2,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,100.0
6,Patrick van Aanholt,3.0,nl NED,LB,27-060,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,50.0,0.0,6.0,1.0,0.0,0.0,71.0,47.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,31.0,23.0,0.0,0.0,0.0,1.0,4.0,4.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
7,Timothy Fosu-Mensah,24.0,nl NED,"LB,RB",19-299,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,54.0,63.0,5.0,38.0,7.0,0.0,1.0,685.0,323.0,14.0,18.0,77.8,15.0,20.0,75.0,4.0,14.0,28.6,0.0,7.0,0.0,0.0,49.0,5.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,30.0,7.0,17.0,13.0,31.0,5.0,5.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,16.7,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,15.0,38.0,14.0,0.0,54.0,0.0,1.0,0.0,269.0,172.0,4.0,0.0,0.0,0.0,35.0,35.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0
8,James Tomkins,5.0,eng ENG,CB,28-213,90.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,59.0,6.0,2.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,40.0,45.0,88.9,3.0,25.0,1.0,0.0,0.0,937.0,361.0,6.0,7.0,85.7,21.0,25.0,84.0,11.0,11.0,100.0,0.0,3.0,0.0,0.0,43.0,2.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,28.0,9.0,8.0,4.0,30.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,7.0,38.0,18.0,4.0,4.0,57.0,0.0,0.0,0.0,132.0,49.0,0.0,0.0,1.0,0.0,30.0,27.0,90.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,19.0,10.0,4.0,71.4
9,Scott Dann,6.0,eng ENG,CB,30-256,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,38.0,43.0,88.4,2.0,30.0,1.0,0.0,0.0,763.0,324.0,15.0,18.0,83.3,15.0,16.0,93.8,8.0,9.0,88.9,0.0,3.0,0.0,0.0,43.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,7.0,4.0,3.0,32.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,14.3,3.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,4.0,29.0,18.0,5.0,3.0,50.0,0.0,0.0,0.0,119.0,52.0,0.0,0.0,0.0,0.0,35.0,33.0,94.3,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,1.0,75.0
