,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Joaquín,17.0,es ESP,FW,36-101,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40.0,9.0,0.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,27.0,32.0,84.4,1.0,30.0,4.0,0.0,0.0,428.0,91.0,15.0,16.0,93.8,11.0,13.0,84.6,1.0,3.0,33.3,0.0,1.0,0.0,0.0,31.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,2.0,4.0,25.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,44.4,0.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,13.0,22.0,3.0,39.0,0.0,0.0,0.0,157.0,69.0,0.0,1.0,4.0,1.0,33.0,31.0,93.9,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
1,Antonio Sanabria,9.0,py PAR,FW,21-240,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,69.2,0.0,8.0,0.0,0.0,0.0,162.0,7.0,4.0,6.0,66.7,5.0,6.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,50.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,6.0,1.0,14.0,0.0,0.0,0.0,38.0,7.0,1.0,0.0,1.0,0.0,20.0,10.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
2,Sergio León,7.0,es ESP,FW,28-297,28.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,4.0,4.0,100.0,0.0,7.0,0.0,0.0,0.0,54.0,0.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,7.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,1.0,1.0,9.0,7.0,77.8,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,Matías Nahuel,11.0,es ESP,FW,20-342,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,35.0,43.0,81.4,1.0,43.0,6.0,2.0,2.0,510.0,101.0,22.0,26.0,84.6,11.0,13.0,84.6,1.0,3.0,33.3,1.0,2.0,0.0,0.0,41.0,2.0,2.0,0.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,35.0,3.0,5.0,10.0,30.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,100.0,0.0,3.0,33.3,3.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,8.0,24.0,28.0,2.0,54.0,100.0,2.0,0.0,279.0,169.0,3.0,0.0,3.0,2.0,43.0,37.0,86.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0
4,Joel Campbell,12.0,cr CRC,FW,25-126,15.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,2.0,3.0,66.7,0.0,5.0,0.0,0.0,0.0,27.0,20.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,31.0,4.0,0.0,0.0,0.0,1.0,7.0,5.0,71.4,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,Fabián Ruiz Peña,6.0,es ESP,CM,21-210,68.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,43.0,48.0,89.6,2.0,44.0,3.0,0.0,0.0,727.0,140.0,20.0,23.0,87.0,21.0,22.0,95.5,2.0,3.0,66.7,0.0,2.0,0.0,0.0,46.0,2.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,3.0,2.0,38.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,33.3,4.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,9.0,31.0,17.0,0.0,52.0,0.0,0.0,0.0,214.0,53.0,1.0,0.0,2.0,1.0,39.0,39.0,100.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0
6,Ryad Boudebouz,10.0,dz ALG,CM,27-253,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,16.0,68.8,1.0,15.0,3.0,0.0,0.0,183.0,73.0,6.0,6.0,100.0,4.0,8.0,50.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,3.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,9.0,0.0,17.0,0.0,0.0,0.0,106.0,64.0,1.0,0.0,0.0,1.0,16.0,14.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
7,Javi García,3.0,es ESP,CM,30-264,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,63.0,73.0,86.3,2.0,67.0,4.0,0.0,0.0,1316.0,302.0,20.0,21.0,95.2,33.0,37.0,89.2,10.0,15.0,66.7,1.0,5.0,0.0,0.0,73.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,63.0,3.0,7.0,26.0,44.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,25.0,48.0,12.0,1.0,79.0,0.0,0.0,0.0,416.0,181.0,2.0,0.0,0.0,0.0,64.0,63.0,98.4,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0
8,Andrés Guardado,18.0,mx MEX,CM,31-032,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,66.0,5.0,0.0,0.0,1.0,0.0,0.0,0.1,2.0,0.0,45.0,56.0,80.4,8.0,59.0,3.0,0.0,1.0,1058.0,242.0,16.0,19.0,84.2,16.0,20.0,80.0,13.0,16.0,81.3,2.0,6.0,2.0,0.0,55.0,1.0,1.0,1.0,14.0,4.0,2.0,0.0,0.0,0.0,0.0,39.0,5.0,12.0,35.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,32.0,28.0,0.0,65.0,0.0,0.0,0.0,271.0,99.0,1.0,0.0,2.0,2.0,59.0,56.0,94.9,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
9,Alin Toșca,21.0,ro ROU,LB,25-230,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,17.0,4.0,0.0,2.0,0.1,0.1,0.0,0.0,0.0,45.0,55.0,81.8,3.0,44.0,9.0,0.0,1.0,800.0,232.0,20.0,22.0,90.9,21.0,25.0,84.0,4.0,7.0,57.1,0.0,3.0,1.0,0.0,48.0,7.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,35.0,8.0,12.0,28.0,17.0,5.0,5.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,100.0,0.0,3.0,17.6,12.0,3.0,2.0,0.0,0.0,2.0,4.0,1.0,0.0,3.0,17.0,31.0,24.0,1.0,58.0,0.0,0.0,0.0,260.0,153.0,4.0,0.0,2.0,0.0,45.0,43.0,95.6,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
