,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Alessandro Matri,10.0,it ITA,FW,33-106,90.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,31.0,11.0,1.0,2.0,0.0,0.5,0.5,0.0,1.0,0.0,13.0,18.0,72.2,2.0,19.0,2.0,0.0,2.0,196.0,46.0,10.0,13.0,76.9,1.0,2.0,50.0,2.0,3.0,66.7,0.0,0.0,1.0,0.0,16.0,2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,3.0,2.0,2.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.1,1.0,4.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,14.0,18.0,5.0,29.0,0.0,0.0,0.0,80.0,39.0,2.0,0.0,1.0,2.0,46.0,23.0,50.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,40.0
1,Matteo Politano,16.0,it ITA,AM,24-122,78.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,16.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,12.0,20.0,60.0,1.0,21.0,3.0,1.0,4.0,212.0,35.0,7.0,9.0,77.8,3.0,4.0,75.0,2.0,6.0,33.3,0.0,2.0,0.0,0.0,19.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0,3.0,6.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,37.5,4.0,8.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,5.0,15.0,13.0,1.0,31.0,25.0,1.0,0.0,108.0,55.0,1.0,0.0,1.0,3.0,40.0,22.0,55.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
2,Antonino Ragusa,90.0,it ITA,AM,27-251,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,33.3,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,80.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Domenico Berardi,25.0,it ITA,AM,23-124,61.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,33.0,20.0,1.0,1.0,1.0,0.0,0.0,0.4,4.0,0.0,19.0,26.0,73.1,3.0,23.0,2.0,0.0,0.0,381.0,105.0,5.0,5.0,100.0,8.0,11.0,72.7,4.0,8.0,50.0,4.0,1.0,1.0,1.0,23.0,3.0,0.0,0.0,4.0,1.0,3.0,2.0,0.0,2.0,0.0,10.0,8.0,8.0,18.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,3.0,15.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,11.0,21.0,2.0,30.0,0.0,0.0,0.0,105.0,41.0,1.0,1.0,1.0,4.0,34.0,18.0,52.9,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0
4,Diego Falcinelli,11.0,it ITA,AM,26-160,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,77.8,0.0,9.0,0.0,0.0,0.0,116.0,25.0,4.0,6.0,66.7,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.1,1.0,2.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,9.0,0.0,14.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,0.0,1.0,12.0,9.0,75.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
5,Simone Missiroli,7.0,it ITA,DM,31-194,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,26.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,27.0,33.0,81.8,6.0,24.0,3.0,2.0,2.0,530.0,132.0,8.0,8.0,100.0,12.0,16.0,75.0,6.0,7.0,85.7,1.0,2.0,2.0,0.0,32.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,5.0,4.0,4.0,24.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,10.0,38.5,5.0,19.0,2.0,0.0,0.0,2.0,4.0,6.0,0.0,5.0,11.0,24.0,12.0,0.0,42.0,100.0,2.0,1.0,102.0,67.0,2.0,0.0,1.0,0.0,20.0,19.0,95.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,100.0
6,Francesco Magnanelli,4.0,it ITA,DM,33-021,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,59.0,24.0,3.0,3.0,4.0,0.1,0.1,0.0,2.0,0.0,30.0,45.0,66.7,7.0,30.0,2.0,1.0,2.0,647.0,199.0,9.0,11.0,81.8,15.0,19.0,78.9,5.0,11.0,45.5,1.0,4.0,0.0,0.0,37.0,8.0,3.0,0.0,7.0,3.0,1.0,4.0,3.0,1.0,0.0,25.0,11.0,9.0,3.0,37.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,12.5,9.0,11.0,4.0,2.0,0.0,2.0,6.0,0.0,0.0,2.0,9.0,33.0,22.0,0.0,51.0,50.0,1.0,0.0,119.0,54.0,2.0,0.0,1.0,2.0,30.0,28.0,93.3,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,50.0
7,Federico Peluso,13.0,it ITA,WB,33-317,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,48.0,22.0,3.0,1.0,4.0,0.1,0.1,0.0,1.0,0.0,19.0,32.0,59.4,5.0,18.0,3.0,1.0,1.0,450.0,252.0,8.0,14.0,57.1,8.0,9.0,88.9,3.0,8.0,37.5,0.0,2.0,2.0,1.0,27.0,5.0,1.0,0.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,9.0,8.0,15.0,22.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,1.0,0.0,2.0,2.0,100.0,0.0,4.0,18.2,12.0,8.0,2.0,1.0,0.0,3.0,4.0,6.0,0.0,6.0,13.0,19.0,19.0,3.0,43.0,100.0,1.0,0.0,105.0,85.0,1.0,0.0,2.0,0.0,29.0,27.0,93.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,60.0
8,Marcello Gazzola,23.0,it ITA,WB,32-244,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,30.0,50.0,2.0,16.0,1.0,0.0,0.0,187.0,110.0,10.0,11.0,90.9,4.0,9.0,44.4,0.0,4.0,0.0,0.0,1.0,0.0,0.0,23.0,7.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,10.0,11.0,0.0,19.0,1.0,7.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.6,2.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,11.0,18.0,0.0,27.0,0.0,0.0,0.0,59.0,16.0,1.0,0.0,0.0,1.0,22.0,19.0,86.4,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,100.0
9,Pol Lirola,21.0,es ESP,WB,20-112,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,13.0,14.0,92.9,3.0,13.0,3.0,0.0,0.0,293.0,98.0,5.0,5.0,100.0,5.0,5.0,100.0,3.0,4.0,75.0,1.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,3.0,2.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,33.3,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0,1.0,15.0,0.0,0.0,0.0,70.0,31.0,0.0,0.0,1.0,1.0,13.0,12.0,92.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
