,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Cristhian Stuani,7.0,uy URU,FW,31-138,84.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,24.0,30.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,0.0,11.0,12.0,91.7,0.0,18.0,2.0,1.0,1.0,182.0,21.0,8.0,9.0,88.9,1.0,1.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,1.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,20.0,6.0,20.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,12.0,11.0,3.0,23.0,100.0,1.0,0.0,104.0,20.0,1.0,0.0,5.0,2.0,53.0,19.0,35.8,8.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,12.5
1,Anthony Lozano,19.0,hn HON,FW,24-308,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,4.0,1.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,6.0,0.0,0.0,0.0,16.0,14.0,0.0,0.0,0.0,1.0,4.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,Borja García,24.0,es ESP,LW,27-117,70.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,28.0,2.0,1.0,1.0,0.0,0.0,0.1,3.0,1.0,39.0,46.0,84.8,3.0,50.0,5.0,2.0,2.0,765.0,204.0,11.0,12.0,91.7,18.0,24.0,75.0,7.0,7.0,100.0,1.0,5.0,1.0,0.0,43.0,3.0,1.0,0.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,35.0,3.0,8.0,6.0,39.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,66.7,1.0,5.0,17.9,7.0,17.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,31.0,26.0,1.0,53.0,100.0,2.0,1.0,334.0,101.0,2.0,0.0,2.0,2.0,50.0,42.0,84.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
3,Aleix García,23.0,es ESP,"CM,LW",20-244,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0,85.0,2.0,21.0,0.0,2.0,3.0,340.0,66.0,6.0,6.0,100.0,9.0,10.0,90.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,4.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,17.0,3.0,0.0,23.0,66.7,2.0,0.0,76.0,16.0,0.0,0.0,1.0,0.0,18.0,17.0,94.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
4,Portu,9.0,es ESP,"RW,FW",25-282,89.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,28.0,0.0,1.0,0.0,0.1,0.1,0.2,2.0,0.0,17.0,22.0,77.3,2.0,32.0,2.0,2.0,4.0,246.0,43.0,8.0,10.0,80.0,6.0,7.0,85.7,2.0,4.0,50.0,2.0,4.0,0.0,0.0,22.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,2.0,4.0,0.0,21.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,9.0,32.1,2.0,17.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,20.0,5.0,35.0,50.0,2.0,0.0,240.0,87.0,1.0,0.0,2.0,7.0,43.0,25.0,58.1,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0
5,David Timor,16.0,es ESP,FW,28-133,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,Álex Granell,6.0,es ESP,DM,29-209,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,25.0,0.0,1.0,3.0,0.0,0.0,0.5,4.0,0.0,58.0,70.0,82.9,8.0,67.0,8.0,4.0,4.0,1129.0,417.0,20.0,25.0,80.0,21.0,23.0,91.3,12.0,17.0,70.6,3.0,6.0,2.0,1.0,64.0,6.0,4.0,0.0,8.0,6.0,4.0,2.0,0.0,0.0,0.0,46.0,6.0,18.0,61.0,5.0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,8.0,32.0,8.0,14.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,15.0,53.0,21.0,1.0,76.0,100.0,4.0,0.0,564.0,165.0,2.0,1.0,1.0,1.0,58.0,54.0,93.1,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
7,Pere Pons,8.0,es ESP,"DM,CM",25-007,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,51.0,2.0,0.0,2.0,0.2,0.2,0.1,2.0,1.0,30.0,38.0,78.9,2.0,31.0,2.0,1.0,2.0,378.0,81.0,18.0,19.0,94.7,11.0,17.0,64.7,0.0,0.0,0.0,1.0,1.0,1.0,0.0,38.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,5.0,5.0,4.0,28.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,12.0,23.5,12.0,29.0,10.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,12.0,28.0,14.0,3.0,48.0,50.0,1.0,0.0,271.0,48.0,4.0,0.0,1.0,0.0,31.0,28.0,90.3,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
8,Carles Planas,21.0,es ESP,"WB,LM",26-360,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,13.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,55.0,78.2,3.0,40.0,5.0,0.0,1.0,685.0,333.0,23.0,28.0,82.1,13.0,16.0,81.3,5.0,9.0,55.6,0.0,2.0,2.0,2.0,47.0,8.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,29.0,8.0,18.0,31.0,11.0,5.0,8.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,4.0,50.0,2.0,4.0,30.8,7.0,5.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,17.0,30.0,23.0,1.0,56.0,0.0,0.0,0.0,240.0,110.0,2.0,0.0,1.0,1.0,41.0,38.0,92.7,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
9,Pablo Maffeo,25.0,es ESP,"WB,RM",20-230,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,71.0,21.0,5.0,0.0,1.0,0.1,0.1,0.2,2.0,0.0,37.0,58.0,63.8,0.0,41.0,4.0,1.0,3.0,577.0,157.0,18.0,23.0,78.3,14.0,21.0,66.7,2.0,11.0,18.2,1.0,3.0,1.0,1.0,45.0,13.0,0.0,0.0,9.0,2.0,5.0,0.0,0.0,0.0,0.0,25.0,10.0,23.0,4.0,36.0,3.0,13.0,0.0,0.0,3.0,1.0,0.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,33.3,4.0,10.0,7.0,0.0,0.0,1.0,5.0,1.0,0.0,2.0,13.0,35.0,28.0,2.0,58.0,33.3,1.0,0.0,314.0,100.0,1.0,0.0,1.0,2.0,44.0,36.0,81.8,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,13.0,2.0,1.0,66.7
