,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Cristhian Stuani,7.0,uy URU,FW,31-066,74.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,19.0,18.0,1.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,5.0,9.0,55.6,1.0,8.0,1.0,0.0,1.0,59.0,11.0,4.0,7.0,57.1,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,38.9,2.0,7.0,9.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,5.0,6.0,8.0,2.0,18.0,0.0,0.0,0.0,20.0,12.0,0.0,0.0,1.0,0.0,18.0,12.0,66.7,4.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,66.7
1,Olarenwaju Kayode,18.0,ng NGA,FW,24-223,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,27.3,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,Borja García,24.0,es ESP,AM,27-045,61.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,100.0,0.0,15.0,1.0,0.0,0.0,259.0,21.0,9.0,9.0,100.0,5.0,5.0,100.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,2.0,1.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.1,3.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,15.0,3.0,0.0,21.0,0.0,0.0,0.0,67.0,42.0,0.0,0.0,0.0,0.0,17.0,16.0,94.1,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
3,Bernardo Espinosa,2.0,co COL,"CB,AM",28-159,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,2.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
4,Portu,9.0,es ESP,AM,25-210,85.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,18.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,9.0,12.0,75.0,0.0,16.0,1.0,2.0,3.0,173.0,32.0,3.0,5.0,60.0,5.0,6.0,83.3,1.0,1.0,100.0,1.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,27.8,6.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,10.0,11.0,1.0,22.0,66.7,2.0,0.0,34.0,15.0,0.0,0.0,3.0,3.0,22.0,17.0,77.3,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,50.0
5,Aday,11.0,es ESP,AM,30-001,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,0.0,13.0,11.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Johan Mojica,3.0,co COL,LM,25-118,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,18.0,4.0,0.0,1.0,0.0,0.0,0.1,1.0,1.0,21.0,29.0,72.4,2.0,24.0,3.0,1.0,1.0,396.0,136.0,10.0,15.0,66.7,8.0,10.0,80.0,3.0,4.0,75.0,1.0,1.0,1.0,1.0,25.0,4.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,4.0,10.0,15.0,5.0,5.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,2.0,50.0,1.0,4.0,22.2,12.0,6.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,18.0,17.0,6.0,0.0,34.0,100.0,1.0,0.0,165.0,63.0,2.0,0.0,3.0,0.0,21.0,20.0,95.2,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
7,Álex Granell,6.0,es ESP,"RM,CM",29-137,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.0,16.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,17.0,34.0,50.0,5.0,21.0,3.0,2.0,3.0,378.0,135.0,3.0,7.0,42.9,8.0,11.0,72.7,5.0,14.0,35.7,1.0,4.0,0.0,0.0,29.0,5.0,3.0,0.0,15.0,3.0,2.0,1.0,0.0,0.0,0.0,15.0,4.0,15.0,21.0,6.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,5.0,2.0,3.0,0.0,4.0,7.0,57.1,3.0,5.0,31.3,5.0,7.0,4.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,11.0,25.0,6.0,0.0,36.0,66.7,3.0,0.0,90.0,40.0,0.0,0.0,0.0,0.0,17.0,16.0,94.1,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,11.0,4.0,1.0,80.0
8,Aleix García,23.0,es ESP,CM,20-172,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,31.0,61.3,1.0,21.0,0.0,1.0,1.0,413.0,71.0,5.0,7.0,71.4,10.0,15.0,66.7,4.0,8.0,50.0,0.0,0.0,0.0,0.0,29.0,2.0,2.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,8.0,3.0,22.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,9.0,25.0,5.0,0.0,35.0,100.0,1.0,0.0,115.0,53.0,0.0,0.0,0.0,0.0,21.0,20.0,95.2,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,66.7
9,Pablo Maffeo,25.0,es ESP,"CM,RM",20-158,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,19.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,19.0,32.0,59.4,3.0,22.0,2.0,0.0,0.0,339.0,137.0,8.0,14.0,57.1,8.0,14.0,57.1,2.0,3.0,66.7,0.0,1.0,0.0,0.0,27.0,5.0,1.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,5.0,13.0,2.0,21.0,4.0,4.0,0.0,1.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,36.8,15.0,3.0,1.0,0.0,0.0,5.0,6.0,2.0,0.0,2.0,18.0,15.0,14.0,2.0,40.0,0.0,0.0,0.0,74.0,35.0,1.0,0.0,2.0,0.0,19.0,19.0,100.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
