,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Nicolas de Préville,12.0,fr FRA,FW,27-083,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14.0,0.0,0.0,2.0,0.0,0.0,0.1,1.0,0.0,9.0,11.0,81.8,0.0,10.0,0.0,0.0,0.0,90.0,15.0,7.0,8.0,87.5,2.0,3.0,66.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,0.0,9.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,42.9,1.0,6.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,5.0,10.0,1.0,15.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0,2.0,27.0,10.0,37.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,Younousse Sankharé,13.0,sn SEN,"CM,FW",28-203,33.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,11.0,10.0,1.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,5.0,7.0,71.4,1.0,6.0,0.0,0.0,0.0,78.0,15.0,3.0,3.0,100.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,3.0,3.0,11.0,0.0,0.0,0.0,23.0,8.0,0.0,0.0,0.0,0.0,8.0,7.0,87.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,100.0
2,Martin Braithwaite,9.0,dk DEN,"LW,FW",26-300,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,14.0,71.4,0.0,11.0,0.0,0.0,2.0,161.0,10.0,7.0,9.0,77.8,1.0,3.0,33.3,1.0,1.0,100.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,3.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,9.0,11.0,1.0,21.0,0.0,0.0,0.0,30.0,9.0,0.0,0.0,2.0,1.0,28.0,17.0,60.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
3,François Kamano,11.0,gn GUI,LM,21-335,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,66.7,1.0,7.0,2.0,1.0,1.0,47.0,12.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,14.3,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,8.0,100.0,1.0,0.0,65.0,46.0,0.0,1.0,0.0,1.0,7.0,6.0,85.7,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,Malcom,7.0,br BRA,"RW,RM",21-034,90.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,75.0,16.0,0.0,0.0,1.0,1.0,0.1,0.3,9.0,0.0,44.0,57.0,77.2,4.0,53.0,13.0,2.0,4.0,738.0,288.0,21.0,25.0,84.0,13.0,17.0,76.5,8.0,11.0,72.7,6.0,5.0,3.0,1.0,47.0,10.0,4.0,0.0,12.0,1.0,1.0,5.0,0.0,0.0,0.0,33.0,8.0,16.0,47.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,25.0,3.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,32.0,44.0,4.0,65.0,50.0,3.0,0.0,347.0,214.0,4.0,0.0,2.0,3.0,64.0,51.0,79.7,7.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,50.0
5,Soualiho Meïté,10.0,fr FRA,"CM,DM",24-015,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,18.0,1.0,0.0,2.0,0.1,0.1,0.0,2.0,0.0,34.0,44.0,77.3,4.0,43.0,4.0,0.0,2.0,647.0,120.0,18.0,19.0,94.7,10.0,11.0,90.9,6.0,9.0,66.7,0.0,2.0,0.0,0.0,44.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,31.0,5.0,8.0,10.0,32.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,5.0,27.8,9.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,17.0,24.0,16.0,1.0,55.0,0.0,0.0,0.0,166.0,74.0,0.0,0.0,0.0,4.0,43.0,41.0,95.3,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
6,Lukas Lerager,19.0,dk DEN,CM,24-263,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,56.0,23.0,2.0,3.0,2.0,0.1,0.1,0.0,2.0,0.0,35.0,47.0,74.5,2.0,34.0,2.0,0.0,0.0,493.0,93.0,15.0,17.0,88.2,16.0,20.0,80.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,45.0,2.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,11.0,3.0,39.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,5.0,20.0,4.0,9.0,39.1,8.0,10.0,5.0,0.0,0.0,2.0,5.0,1.0,0.0,1.0,16.0,24.0,20.0,2.0,54.0,0.0,0.0,0.0,151.0,32.0,2.0,0.0,1.0,0.0,41.0,34.0,82.9,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,66.7
7,Otávio,5.0,br BRA,DM,23-332,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,12.0,2.0,0.0,1.0,0.0,0.0,0.1,2.0,0.0,29.0,33.0,87.9,2.0,30.0,3.0,0.0,0.0,838.0,105.0,4.0,6.0,66.7,13.0,14.0,92.9,12.0,13.0,92.3,1.0,1.0,1.0,0.0,33.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,10.0,3.0,28.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,4.0,33.3,5.0,7.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,7.0,18.0,18.0,5.0,0.0,38.0,0.0,0.0,0.0,127.0,52.0,1.0,0.0,0.0,1.0,30.0,27.0,90.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
8,Gaëtan Laborde,24.0,fr FRA,FW,23-333,32.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,16.0,7.0,0.0,0.0,1.0,0.4,0.4,0.0,1.0,0.0,3.0,8.0,37.5,0.0,7.0,3.0,0.0,0.0,26.0,2.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.9,0.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,12.0,5.0,15.0,0.0,0.0,0.0,60.0,25.0,1.0,1.0,3.0,1.0,16.0,11.0,68.8,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,66.7
9,Maxime Poundjé,29.0,fr FRA,LB,25-228,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,69.0,13.0,6.0,2.0,3.0,0.0,0.0,0.1,1.0,0.0,39.0,53.0,73.6,4.0,34.0,5.0,0.0,2.0,613.0,316.0,25.0,30.0,83.3,12.0,13.0,92.3,2.0,6.0,33.3,1.0,3.0,1.0,1.0,38.0,15.0,1.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,25.0,10.0,18.0,30.0,5.0,4.0,14.0,0.0,0.0,0.0,3.0,5.0,3.0,5.0,0.0,1.0,2.0,5.0,40.0,3.0,3.0,23.1,8.0,3.0,2.0,0.0,0.0,3.0,8.0,1.0,0.0,2.0,21.0,25.0,31.0,1.0,54.0,0.0,0.0,0.0,219.0,151.0,5.0,0.0,1.0,0.0,41.0,35.0,85.4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
