,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Idriss Saadi,9.0,dz ALG,FW,25-200,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0,4.0,0.0,0.0,2.0,0.2,0.2,0.0,2.0,0.0,8.0,12.0,66.7,0.0,15.0,3.0,1.0,1.0,100.0,10.0,5.0,8.0,62.5,3.0,3.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,5.0,18.0,100.0,1.0,0.0,76.0,52.0,1.0,1.0,1.0,3.0,28.0,11.0,39.3,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
1,Martin Terrier,20.0,fr FRA,LW,20-176,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,25.0,4.0,1.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,13.0,20.0,65.0,1.0,20.0,5.0,0.0,0.0,164.0,43.0,9.0,10.0,90.0,2.0,4.0,50.0,1.0,3.0,33.3,0.0,1.0,1.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,4.0,3.0,15.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,15.0,10.0,2.0,25.0,0.0,0.0,0.0,153.0,122.0,2.0,2.0,2.0,0.0,26.0,19.0,73.1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
2,Ihsan Sacko,7.0,fr FRA,RW,20-039,80.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,33.0,4.0,1.0,0.0,1.0,0.1,0.1,0.2,5.0,0.0,16.0,23.0,69.6,1.0,23.0,3.0,0.0,0.0,239.0,41.0,8.0,9.0,88.9,6.0,9.0,66.7,1.0,3.0,33.3,2.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,4.0,5.0,14.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,17.0,14.0,3.0,33.0,0.0,0.0,0.0,138.0,58.0,0.0,0.0,3.0,1.0,26.0,22.0,84.6,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
3,Nuno da Costa,29.0,cv CPV,RW,26-198,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,50.0,0.0,7.0,0.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,7.0,0.0,0.0,0.0,21.0,4.0,0.0,0.0,1.0,1.0,6.0,6.0,100.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,Benjamin Corgnet,10.0,fr FRA,AM,30-143,58.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,6.0,0.0,1.0,1.0,0.0,0.0,0.2,4.0,0.0,13.0,25.0,52.0,2.0,22.0,5.0,1.0,4.0,294.0,139.0,4.0,6.0,66.7,4.0,7.0,57.1,4.0,10.0,40.0,3.0,1.0,1.0,0.0,19.0,6.0,1.0,0.0,6.0,1.0,5.0,5.0,0.0,0.0,0.0,7.0,6.0,12.0,3.0,15.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0,18.0,15.0,3.0,32.0,25.0,2.0,0.0,91.0,75.0,0.0,0.0,2.0,2.0,28.0,22.0,78.6,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,100.0
5,Jérémy Grimm,6.0,fr FRA,"CM,AM",30-153,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,70.6,0.0,14.0,1.0,0.0,0.0,221.0,41.0,3.0,4.0,75.0,6.0,8.0,75.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,16.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13.0,0.0,4.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,5.0,0.0,17.0,0.0,0.0,0.0,42.0,14.0,0.0,0.0,0.0,0.0,16.0,14.0,87.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
6,Jonas Martin,28.0,fr FRA,CM,27-140,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,57.0,6.0,0.0,2.0,2.0,0.2,0.2,0.2,5.0,0.0,41.0,47.0,87.2,4.0,46.0,6.0,1.0,1.0,659.0,214.0,17.0,18.0,94.4,18.0,22.0,81.8,3.0,3.0,100.0,2.0,1.0,1.0,1.0,43.0,4.0,1.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,36.0,4.0,7.0,3.0,41.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.3,1.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,11.0,35.0,16.0,2.0,53.0,100.0,1.0,0.0,189.0,102.0,0.0,0.0,0.0,2.0,44.0,44.0,100.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
7,Jean-Eudes Aholou,8.0,ci CIV,CM,23-160,71.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,37.0,1.0,1.0,0.0,2.0,0.1,0.1,0.0,1.0,0.0,24.0,30.0,80.0,3.0,29.0,3.0,1.0,1.0,449.0,92.0,9.0,9.0,100.0,13.0,16.0,81.3,1.0,2.0,50.0,0.0,3.0,1.0,0.0,30.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,2.0,22.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,9.0,24.0,6.0,3.0,37.0,100.0,1.0,0.0,125.0,99.0,2.0,0.0,0.0,1.0,23.0,23.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
8,Dimitri Liénard,11.0,fr FRA,AM,29-195,19.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,11.0,16.0,68.8,0.0,14.0,0.0,0.0,0.0,185.0,54.0,5.0,9.0,55.6,5.0,5.0,100.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,14.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,3.0,14.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,8.0,1.0,17.0,0.0,0.0,0.0,27.0,10.0,0.0,0.0,0.0,0.0,15.0,13.0,86.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
9,Pablo Martinez,4.0,fr FRA,LB,28-187,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,2.0,1.0,1.0,0.3,0.3,0.0,0.0,0.0,24.0,33.0,72.7,2.0,25.0,2.0,0.0,0.0,469.0,245.0,10.0,12.0,83.3,10.0,12.0,83.3,3.0,8.0,37.5,0.0,2.0,0.0,0.0,28.0,5.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,3.0,13.0,24.0,1.0,3.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,15.0,18.0,9.0,1.0,35.0,0.0,0.0,0.0,101.0,64.0,0.0,0.0,1.0,1.0,23.0,22.0,95.7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
