,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Jay Rodriguez,19.0,eng ENG,FW,28-098,90.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,39.0,19.0,1.0,0.0,1.0,0.2,0.2,0.0,1.0,0.0,10.0,24.0,41.7,1.0,20.0,3.0,1.0,1.0,143.0,25.0,6.0,11.0,54.5,2.0,5.0,40.0,1.0,5.0,20.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,6.0,11.0,1.0,15.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,26.3,2.0,10.0,7.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,7.0,15.0,19.0,4.0,39.0,100.0,1.0,0.0,162.0,66.0,1.0,1.0,4.0,2.0,37.0,32.0,86.5,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,83.3
1,Hal Robson-Kanu,4.0,wls WAL,FW,28-167,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,1.0,0.0,0.0,0.1,2.0,0.0,9.0,11.0,81.8,3.0,15.0,2.0,1.0,1.0,147.0,68.0,5.0,5.0,100.0,3.0,5.0,60.0,1.0,1.0,100.0,2.0,3.0,0.0,0.0,11.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.6,0.0,13.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,10.0,1.0,22.0,100.0,1.0,0.0,21.0,12.0,0.0,0.0,4.0,6.0,36.0,18.0,50.0,4.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,5.0,16.7
2,Salomón Rondón,9.0,ve VEN,FW,28-049,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,6.0,8.0,75.0,0.0,6.0,0.0,0.0,0.0,82.0,2.0,4.0,5.0,80.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,10.0,0.0,0.0,0.0,23.0,5.0,0.0,0.0,0.0,0.0,11.0,6.0,54.5,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
3,Jake Livermore,8.0,eng ENG,"CM,DM",27-355,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,19.0,0.0,1.0,1.0,0.1,0.1,0.0,1.0,0.0,47.0,54.0,87.0,10.0,43.0,4.0,0.0,0.0,1076.0,333.0,11.0,13.0,84.6,27.0,29.0,93.1,9.0,12.0,75.0,1.0,9.0,0.0,0.0,53.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,36.0,7.0,11.0,6.0,40.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,21.1,3.0,12.0,4.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,13.0,45.0,10.0,2.0,62.0,0.0,0.0,0.0,176.0,91.0,1.0,0.0,0.0,2.0,42.0,41.0,97.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,100.0
4,Grzegorz Krychowiak,20.0,pl POL,"DM,CM",27-279,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,22.0,90.9,3.0,14.0,0.0,1.0,1.0,330.0,59.0,10.0,11.0,90.9,9.0,9.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,19.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,1.0,3.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,3.0,7.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,14.0,17.0,0.0,0.0,26.0,100.0,1.0,0.0,70.0,23.0,0.0,0.0,1.0,1.0,16.0,14.0,87.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
5,James McClean,14.0,ie IRL,"LM,RM",28-196,32.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,22.0,7.0,1.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,11.0,16.0,68.8,1.0,15.0,0.0,2.0,2.0,257.0,46.0,3.0,5.0,60.0,4.0,4.0,100.0,4.0,7.0,57.1,1.0,0.0,2.0,1.0,14.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,9.0,2.0,5.0,13.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.6,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,16.0,1.0,20.0,100.0,2.0,0.0,97.0,19.0,0.0,0.0,1.0,1.0,17.0,15.0,88.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
6,Gareth Barry,18.0,eng ENG,"CM,DM",36-254,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57.0,20.0,2.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,38.0,50.0,76.0,3.0,31.0,2.0,1.0,2.0,948.0,291.0,12.0,14.0,85.7,14.0,18.0,77.8,12.0,18.0,66.7,1.0,3.0,1.0,1.0,47.0,3.0,1.0,0.0,4.0,5.0,2.0,2.0,1.0,1.0,0.0,25.0,9.0,16.0,40.0,5.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,10.0,7.0,11.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,8.0,39.0,13.0,0.0,54.0,50.0,1.0,0.0,125.0,38.0,1.0,0.0,1.0,0.0,43.0,42.0,97.7,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,33.3
7,Kieran Gibbs,3.0,eng ENG,"WB,LB",28-039,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,12.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,44.0,53.0,83.0,2.0,39.0,4.0,1.0,2.0,781.0,238.0,20.0,22.0,90.9,19.0,21.0,90.5,5.0,10.0,50.0,1.0,2.0,2.0,1.0,46.0,7.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,33.0,10.0,10.0,43.0,2.0,1.0,7.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,4.0,33.3,4.0,6.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,15.0,30.0,25.0,2.0,56.0,50.0,1.0,0.0,170.0,121.0,2.0,0.0,2.0,0.0,40.0,38.0,95.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0
8,Allan Nyom,2.0,cm CMR,"WB,RB",29-178,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,72.0,16.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,49.0,63.0,77.8,1.0,40.0,5.0,0.0,1.0,790.0,356.0,28.0,31.0,90.3,19.0,25.0,76.0,2.0,6.0,33.3,0.0,2.0,0.0,0.0,48.0,15.0,2.0,0.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,36.0,12.0,15.0,11.0,37.0,0.0,13.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,4.0,25.0,6.0,7.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,2.0,23.0,32.0,22.0,0.0,57.0,0.0,0.0,0.0,195.0,118.0,2.0,0.0,0.0,2.0,42.0,40.0,95.2,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,100.0
9,Jonny Evans,6.0,nir NIR,CB,29-305,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,4.0,2.0,3.0,0.0,0.0,0.0,0.1,2.0,0.0,45.0,53.0,84.9,2.0,33.0,2.0,0.0,0.0,926.0,349.0,13.0,16.0,81.3,27.0,28.0,96.4,5.0,9.0,55.6,2.0,4.0,1.0,1.0,47.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,34.0,10.0,9.0,21.0,18.0,7.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,50.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,2.0,27.0,40.0,2.0,1.0,57.0,0.0,0.0,0.0,183.0,134.0,0.0,0.0,1.0,0.0,36.0,36.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
10,Ahmed Hegazi,26.0,eg EGY,CB,26-283,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,63.0,16.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,52.0,90.4,3.0,42.0,6.0,3.0,3.0,1150.0,422.0,11.0,12.0,91.7,26.0,26.0,100.0,10.0,14.0,71.4,1.0,4.0,0.0,0.0,50.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,41.0,4.0,7.0,4.0,45.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.5,12.0,3.0,1.0,0.0,0.0,0.0,5.0,6.0,0.0,6.0,34.0,31.0,4.0,2.0,61.0,100.0,3.0,0.0,235.0,144.0,2.0,0.0,0.0,2.0,45.0,41.0,91.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,3.0,25.0
11,Gareth McAuley,23.0,nir NIR,CB,37-334,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,27.0,55.6,2.0,19.0,0.0,0.0,0.0,405.0,219.0,4.0,7.0,57.1,4.0,9.0,44.4,7.0,11.0,63.6,0.0,3.0,0.0,0.0,26.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,13.0,2.0,21.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,15.0,14.0,1.0,0.0,28.0,0.0,0.0,0.0,74.0,28.0,0.0,0.0,0.0,0.0,16.0,16.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,2.0,60.0
12,Matt Phillips,10.0,sct SCO,"RM,LM",26-236,32.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,17.0,82.4,0.0,18.0,3.0,0.0,2.0,333.0,43.0,4.0,5.0,80.0,8.0,10.0,80.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,12.0,5.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,11.0,3.0,3.0,2.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,11.0,3.0,19.0,0.0,0.0,0.0,118.0,82.0,2.0,0.0,0.0,3.0,22.0,18.0,81.8,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
13,Ben Foster,1.0,eng ENG,GK,34-215,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,21.0,47.6,0.0,7.0,0.0,0.0,0.0,376.0,315.0,1.0,1.0,100.0,3.0,3.0,100.0,6.0,17.0,35.3,0.0,0.0,0.0,0.0,14.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,15.0,11.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,20.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,35.0,29.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
