,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Mauro Icardi,9.0,ar ARG,FW,25-057,90.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,30.0,8.0,0.0,0.0,0.0,1.0,1.0,0.3,1.0,0.0,15.0,19.0,78.9,1.0,22.0,2.0,1.0,1.0,209.0,45.0,11.0,14.0,78.6,4.0,4.0,100.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,19.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,7.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.5,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,21.0,10.0,30.0,100.0,1.0,0.0,58.0,18.0,0.0,1.0,3.0,0.0,32.0,23.0,71.9,14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
1,Ivan Perišić,44.0,hr CRO,LW,29-074,90.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,64.0,15.0,1.0,0.0,0.0,0.2,0.2,0.8,6.0,1.0,43.0,56.0,76.8,6.0,52.0,16.0,0.0,0.0,789.0,287.0,18.0,23.0,78.3,21.0,25.0,84.0,4.0,5.0,80.0,4.0,2.0,3.0,2.0,52.0,4.0,1.0,0.0,21.0,0.0,6.0,1.0,0.0,0.0,0.0,38.0,5.0,13.0,31.0,22.0,1.0,2.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,26.7,0.0,9.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,28.0,38.0,12.0,60.0,0.0,0.0,0.0,373.0,269.0,4.0,5.0,2.0,0.0,62.0,55.0,88.7,19.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2,Yann Karamoh,17.0,fr FRA,RW,19-283,75.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,56.0,10.0,0.0,0.0,1.0,0.7,0.7,0.0,2.0,1.0,37.0,44.0,84.1,5.0,52.0,5.0,3.0,4.0,642.0,150.0,20.0,22.0,90.9,16.0,20.0,80.0,1.0,2.0,50.0,0.0,4.0,1.0,0.0,44.0,0.0,0.0,0.0,17.0,2.0,2.0,0.0,0.0,0.0,0.0,38.0,3.0,3.0,5.0,39.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,0.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,28.0,28.0,3.0,56.0,75.0,3.0,0.0,212.0,118.0,3.0,0.0,1.0,1.0,67.0,51.0,76.1,16.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3,Antonio Candreva,87.0,it ITA,AM,31-048,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,14.0,15.0,93.3,2.0,14.0,1.0,0.0,0.0,195.0,47.0,8.0,8.0,100.0,6.0,6.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,1.0,16.0,0.0,0.0,0.0,33.0,19.0,1.0,0.0,0.0,0.0,16.0,16.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Rafinha,8.0,br BRA,"AM,RW",25-064,90.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,78.0,22.0,1.0,0.0,1.0,0.2,0.2,1.0,10.0,1.0,63.0,66.0,95.5,9.0,68.0,10.0,3.0,3.0,1073.0,235.0,26.0,28.0,92.9,30.0,31.0,96.8,5.0,5.0,100.0,7.0,6.0,5.0,1.0,65.0,1.0,0.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,58.0,5.0,3.0,55.0,8.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,25.0,3.0,6.0,27.3,1.0,12.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,49.0,31.0,4.0,77.0,100.0,3.0,0.0,296.0,178.0,3.0,0.0,4.0,3.0,71.0,64.0,90.1,13.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
5,Marcelo Brozović,77.0,hr CRO,CM,25-152,90.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,122.0,15.0,3.0,1.0,3.0,0.2,0.2,0.2,7.0,3.0,106.0,115.0,92.2,14.0,101.0,11.0,2.0,2.0,2438.0,642.0,31.0,33.0,93.9,53.0,57.0,93.0,22.0,25.0,88.0,4.0,11.0,0.0,0.0,112.0,3.0,1.0,0.0,31.0,7.0,1.0,2.0,0.0,0.0,0.0,90.0,9.0,16.0,11.0,100.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,13.3,1.0,10.0,4.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,12.0,95.0,20.0,2.0,119.0,100.0,2.0,0.0,417.0,153.0,0.0,1.0,0.0,0.0,97.0,96.0,99.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,50.0
6,Roberto Gagliardini,5.0,it ITA,CM,24-010,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19.0,24.0,79.2,4.0,22.0,1.0,0.0,1.0,332.0,150.0,8.0,9.0,88.9,9.0,10.0,90.0,2.0,5.0,40.0,1.0,3.0,1.0,0.0,24.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,7.0,3.0,18.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,66.7,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,20.0,7.0,4.0,30.0,0.0,1.0,0.0,81.0,26.0,0.0,0.0,0.0,1.0,21.0,20.0,95.2,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
7,Borja Valero,20.0,es ESP,CM,33-095,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,72.0,75.0,96.0,7.0,61.0,4.0,0.0,0.0,1226.0,369.0,34.0,36.0,94.4,31.0,32.0,96.9,7.0,7.0,100.0,0.0,9.0,0.0,0.0,74.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,3.0,4.0,9.0,64.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,20.0,2.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,66.0,5.0,0.0,76.0,0.0,0.0,0.0,165.0,89.0,1.0,0.0,0.0,0.0,66.0,66.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
8,Danilo D'Ambrosio,33.0,it ITA,LB,29-220,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,8.0,2.0,0.0,0.0,0.0,0.0,0.2,3.0,0.0,63.0,77.0,81.8,1.0,60.0,1.0,1.0,1.0,1056.0,319.0,29.0,35.0,82.9,31.0,36.0,86.1,3.0,6.0,50.0,1.0,3.0,0.0,0.0,67.0,10.0,0.0,0.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,53.0,7.0,17.0,25.0,38.0,1.0,9.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,3.0,37.5,3.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,23.0,52.0,10.0,1.0,74.0,100.0,1.0,0.0,130.0,60.0,0.0,0.0,0.0,1.0,61.0,61.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,50.0
9,Miranda,25.0,br BRA,CB,33-222,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,65.0,90.8,1.0,49.0,0.0,0.0,0.0,1200.0,350.0,19.0,22.0,86.4,32.0,34.0,94.1,8.0,9.0,88.9,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,9.0,6.0,3.0,52.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,34.0,38.0,0.0,0.0,70.0,0.0,0.0,0.0,91.0,54.0,0.0,0.0,0.0,0.0,50.0,48.0,96.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,3.0,1.0,75.0
