,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Gonzalo Higuaín,9.0,ar ARG,FW,29-252,70.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,25.0,10.0,1.0,0.0,0.0,0.3,0.3,0.0,3.0,0.0,11.0,15.0,73.3,2.0,20.0,4.0,1.0,1.0,196.0,42.0,4.0,5.0,80.0,5.0,7.0,71.4,2.0,3.0,66.7,0.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,3.0,3.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,6.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,12.0,12.0,5.0,25.0,100.0,1.0,0.0,116.0,57.0,1.0,1.0,2.0,2.0,29.0,21.0,72.4,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1,Blaise Matuidi,14.0,fr FRA,CM,30-132,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,0.0,1.0,0.0,0.0,0.0,0.1,2.0,0.0,20.0,21.0,95.2,6.0,16.0,2.0,0.0,0.0,361.0,136.0,8.0,9.0,88.9,10.0,10.0,100.0,2.0,2.0,100.0,2.0,6.0,1.0,0.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,2.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,16.0,5.0,1.0,22.0,0.0,0.0,0.0,71.0,30.0,0.0,0.0,0.0,0.0,22.0,19.0,86.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
2,Mario Mandžukić,17.0,hr CRO,LW,31-090,90.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,56.0,11.0,1.0,1.0,2.0,0.3,0.3,0.0,0.0,0.0,37.0,46.0,80.4,3.0,33.0,5.0,1.0,2.0,565.0,132.0,24.0,30.0,80.0,11.0,12.0,91.7,2.0,4.0,50.0,0.0,0.0,1.0,0.0,43.0,3.0,0.0,0.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,24.0,14.0,8.0,4.0,31.0,7.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,18.2,1.0,8.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,11.0,22.0,25.0,5.0,53.0,50.0,1.0,0.0,144.0,77.0,2.0,0.0,0.0,0.0,46.0,35.0,76.1,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,3.0,25.0
3,Juan Cuadrado,7.0,co COL,RW,29-085,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,12.0,0.0,0.0,1.0,0.0,0.0,0.2,6.0,1.0,46.0,53.0,86.8,5.0,56.0,7.0,3.0,5.0,916.0,180.0,18.0,19.0,94.7,18.0,19.0,94.7,10.0,14.0,71.4,4.0,1.0,3.0,0.0,53.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,39.0,5.0,9.0,5.0,46.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,16.7,4.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,30.0,28.0,2.0,59.0,60.0,4.0,1.0,254.0,175.0,3.0,1.0,1.0,0.0,57.0,51.0,89.5,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0
4,Douglas Costa,11.0,br BRA,RW,26-339,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,1.0,0.0,0.0,0.0,0.0,0.1,4.0,0.0,17.0,19.0,89.5,3.0,23.0,7.0,1.0,2.0,402.0,104.0,5.0,5.0,100.0,7.0,8.0,87.5,5.0,5.0,100.0,2.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,25.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,12.0,1.0,23.0,50.0,1.0,0.0,134.0,84.0,1.0,0.0,1.0,0.0,18.0,18.0,100.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
5,Paulo Dybala,10.0,ar ARG,"AM,FW",23-277,90.0,1.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,79.0,8.0,1.0,0.0,2.0,0.6,0.6,0.0,5.0,0.0,45.0,53.0,84.9,4.0,66.0,4.0,2.0,6.0,835.0,197.0,21.0,24.0,87.5,19.0,20.0,95.0,5.0,9.0,55.6,0.0,4.0,1.0,0.0,51.0,2.0,0.0,0.0,14.0,2.0,1.0,1.0,0.0,0.0,0.0,42.0,6.0,5.0,46.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,37.5,0.0,2.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,41.0,39.0,7.0,77.0,33.3,3.0,0.0,267.0,117.0,1.0,2.0,6.0,3.0,73.0,68.0,93.2,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
6,Miralem Pjanić,5.0,ba BIH,CM,27-139,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,96.0,14.0,1.0,4.0,1.0,0.0,0.0,0.3,3.0,2.0,85.0,91.0,93.4,5.0,75.0,3.0,0.0,0.0,1721.0,536.0,27.0,30.0,90.0,43.0,43.0,100.0,14.0,17.0,82.4,1.0,8.0,0.0,0.0,88.0,3.0,1.0,0.0,20.0,2.0,0.0,2.0,0.0,0.0,0.0,66.0,4.0,21.0,8.0,79.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,5.0,35.7,3.0,7.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,25.0,55.0,21.0,1.0,93.0,0.0,0.0,0.0,260.0,98.0,1.0,0.0,0.0,0.0,77.0,76.0,98.7,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0
7,Claudio Marchisio,8.0,it ITA,CM,31-212,61.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,46.0,52.0,88.5,1.0,49.0,0.0,0.0,0.0,1073.0,152.0,14.0,18.0,77.8,17.0,18.0,94.4,14.0,14.0,100.0,0.0,0.0,1.0,0.0,52.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,37.0,7.0,8.0,6.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,16.7,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,28.0,12.0,1.0,55.0,0.0,0.0,0.0,136.0,30.0,0.0,0.0,0.0,1.0,48.0,47.0,97.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
8,Sami Khedira,6.0,de GER,CM,30-137,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,20.0,90.0,2.0,16.0,4.0,1.0,1.0,327.0,74.0,8.0,9.0,88.9,8.0,9.0,88.9,2.0,2.0,100.0,0.0,3.0,0.0,0.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,3.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,5.0,2.0,20.0,100.0,1.0,0.0,95.0,60.0,1.0,1.0,0.0,0.0,17.0,16.0,94.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
9,Alex Sandro,12.0,br BRA,LB,26-205,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,11.0,1.0,3.0,0.0,0.0,0.0,0.1,3.0,1.0,70.0,86.0,81.4,6.0,77.0,13.0,4.0,4.0,1323.0,346.0,25.0,32.0,78.1,37.0,38.0,97.4,8.0,15.0,53.3,2.0,4.0,4.0,2.0,80.0,6.0,1.0,0.0,20.0,0.0,3.0,0.0,0.0,0.0,0.0,58.0,10.0,18.0,70.0,6.0,3.0,5.0,1.0,0.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,36.4,6.0,3.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,20.0,50.0,31.0,0.0,86.0,100.0,4.0,1.0,414.0,219.0,6.0,0.0,2.0,1.0,71.0,70.0,98.6,3.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,11.0,1.0,1.0,50.0
