,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Luis Suárez,9.0,uy URU,"FW,LW",31-036,90.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,43.0,16.0,0.0,0.0,1.0,0.7,0.7,0.1,3.0,0.0,18.0,29.0,62.1,1.0,33.0,5.0,2.0,4.0,202.0,35.0,16.0,20.0,80.0,2.0,7.0,28.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,2.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,3.0,6.0,6.0,21.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,18.8,0.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,16.0,26.0,13.0,41.0,50.0,2.0,0.0,120.0,81.0,1.0,3.0,3.0,3.0,53.0,34.0,64.2,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
1,Lionel Messi,10.0,ar ARG,FW,30-250,90.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,57.0,11.0,2.0,0.0,0.0,0.4,0.4,0.5,9.0,2.0,31.0,42.0,73.8,7.0,56.0,18.0,4.0,6.0,587.0,194.0,16.0,18.0,88.9,10.0,13.0,76.9,4.0,6.0,66.7,2.0,6.0,1.0,0.0,37.0,5.0,3.0,1.0,11.0,1.0,1.0,2.0,0.0,0.0,0.0,36.0,0.0,6.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,7.0,63.6,0.0,5.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,34.0,34.0,6.0,53.0,66.7,4.0,1.0,409.0,284.0,9.0,2.0,3.0,4.0,57.0,46.0,80.7,13.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2,Andrés Iniesta,8.0,es ESP,"LM,CM",33-294,74.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,20.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,41.0,49.0,83.7,10.0,49.0,3.0,1.0,1.0,666.0,281.0,25.0,26.0,96.2,12.0,14.0,85.7,4.0,8.0,50.0,0.0,9.0,2.0,0.0,49.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,9.0,7.0,41.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,5.0,25.0,4.0,13.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,9.0,38.0,13.0,1.0,57.0,100.0,1.0,0.0,214.0,120.0,1.0,1.0,2.0,0.0,46.0,42.0,91.3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
3,Ousmane Dembélé,11.0,fr FRA,RW,20-290,16.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,90.0,1.0,16.0,1.0,2.0,5.0,141.0,46.0,3.0,4.0,75.0,6.0,6.0,100.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,1.0,16.0,40.0,3.0,1.0,38.0,18.0,0.0,0.0,1.0,0.0,18.0,14.0,77.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,Paulinho,15.0,br BRA,CM,29-219,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,83.3,2.0,18.0,3.0,0.0,1.0,219.0,42.0,10.0,10.0,100.0,5.0,6.0,83.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,25.0,1.0,18.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,13.0,8.0,5.0,23.0,0.0,1.0,0.0,84.0,37.0,0.0,1.0,1.0,0.0,22.0,17.0,77.3,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
5,Ivan Rakitić,4.0,hr CRO,CM,29-356,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,48.0,83.3,1.0,43.0,1.0,0.0,0.0,729.0,155.0,16.0,18.0,88.9,21.0,22.0,95.5,2.0,5.0,40.0,0.0,7.0,0.0,0.0,47.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,5.0,3.0,9.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,29.0,9.0,2.0,49.0,0.0,0.0,0.0,205.0,98.0,0.0,0.0,0.0,0.0,45.0,44.0,97.8,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
6,Sergio Busquets,5.0,es ESP,"CM,DM",29-228,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,33.0,4.0,0.0,1.0,0.0,0.0,0.1,2.0,0.0,72.0,80.0,90.0,8.0,64.0,3.0,1.0,1.0,1339.0,373.0,27.0,30.0,90.0,38.0,41.0,92.7,7.0,9.0,77.8,2.0,8.0,0.0,0.0,75.0,5.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,6.0,9.0,11.0,63.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,4.0,0.0,4.0,6.0,18.2,2.0,21.0,10.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,13.0,66.0,13.0,1.0,84.0,100.0,1.0,0.0,243.0,90.0,0.0,0.0,0.0,1.0,65.0,65.0,100.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
7,Aleix Vidal,22.0,es ESP,RM,28-192,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,13.0,1.0,0.0,0.0,0.0,0.0,0.2,3.0,0.0,20.0,27.0,74.1,3.0,25.0,2.0,0.0,0.0,378.0,100.0,10.0,12.0,83.3,7.0,11.0,63.6,3.0,4.0,75.0,2.0,0.0,1.0,0.0,25.0,2.0,0.0,0.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,19.0,2.0,6.0,2.0,22.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,4.0,30.8,1.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,20.0,12.0,2.0,31.0,0.0,0.0,0.0,120.0,64.0,0.0,1.0,1.0,2.0,36.0,23.0,63.9,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
8,Philippe Coutinho,14.0,br BRA,"CM,RW,RM",25-262,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,25.0,84.0,4.0,32.0,3.0,3.0,5.0,330.0,106.0,12.0,14.0,85.7,8.0,8.0,100.0,1.0,3.0,33.3,0.0,1.0,2.0,0.0,24.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,1.0,4.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,19.0,2.0,30.0,60.0,4.0,0.0,162.0,84.0,1.0,1.0,1.0,1.0,29.0,26.0,89.7,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
9,Lucas Digne,19.0,fr FRA,LB,24-224,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57.0,14.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,41.0,47.0,87.2,5.0,36.0,3.0,0.0,0.0,739.0,211.0,18.0,19.0,94.7,19.0,21.0,90.5,4.0,7.0,57.1,0.0,1.0,0.0,0.0,39.0,8.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,10.0,6.0,34.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,50.0,1.0,7.0,50.0,6.0,4.0,4.0,0.0,0.0,3.0,4.0,1.0,0.0,2.0,19.0,20.0,22.0,2.0,49.0,0.0,0.0,0.0,139.0,92.0,0.0,1.0,4.0,0.0,36.0,32.0,88.9,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,1.0,50.0
