,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Nolan Roux,9.0,fr FRA,FW,29-234,71.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,19.0,11.0,0.0,1.0,3.0,0.3,0.3,0.0,2.0,0.0,4.0,11.0,36.4,0.0,10.0,2.0,1.0,1.0,105.0,13.0,2.0,3.0,66.7,0.0,3.0,0.0,2.0,4.0,50.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,18.2,1.0,5.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,9.0,9.0,2.0,18.0,100.0,1.0,0.0,78.0,44.0,2.0,0.0,0.0,0.0,13.0,11.0,84.6,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1,Gerónimo Poblete,5.0,ar ARG,CM,24-292,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,100.0,0.0,12.0,0.0,0.0,0.0,278.0,49.0,8.0,8.0,100.0,3.0,3.0,100.0,3.0,3.0,100.0,0.0,2.0,0.0,0.0,13.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,1.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,66.7,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,12.0,1.0,0.0,16.0,0.0,0.0,0.0,55.0,20.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2,Emmanuel Rivière,29.0,fr FRA,FW,27-232,83.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,43.0,4.0,0.0,0.0,0.0,0.3,0.3,0.0,1.0,0.0,25.0,31.0,80.6,0.0,33.0,3.0,0.0,0.0,351.0,18.0,12.0,13.0,92.3,10.0,11.0,90.9,0.0,2.0,0.0,1.0,0.0,0.0,0.0,29.0,2.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,1.0,5.0,0.0,27.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,24.0,4.0,41.0,0.0,0.0,0.0,169.0,63.0,2.0,0.0,4.0,1.0,48.0,38.0,79.2,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
3,Brian Fernández,10.0,ar ARG,FW,23-025,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Opa Nguette,11.0,sn SEN,LM,23-105,55.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,72.7,0.0,18.0,0.0,0.0,3.0,129.0,22.0,6.0,7.0,85.7,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,8.0,13.0,1.0,23.0,0.0,0.0,0.0,93.0,24.0,0.0,0.0,3.0,1.0,16.0,13.0,81.3,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
5,Ibrahima Niane,7.0,sn SEN,LM,18-224,35.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,5.0,7.0,71.4,0.0,11.0,3.0,1.0,2.0,86.0,5.0,1.0,1.0,100.0,4.0,5.0,80.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,11.0,50.0,1.0,0.0,103.0,33.0,1.0,0.0,0.0,0.0,11.0,10.0,90.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
6,Chris Philipps,23.0,lu LUX,"CM,CB",23-227,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.0,6.0,5.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,22.0,34.0,64.7,2.0,29.0,4.0,0.0,0.0,450.0,92.0,10.0,14.0,71.4,7.0,10.0,70.0,5.0,10.0,50.0,1.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,9.0,2.0,29.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,1.0,1.0,0.0,4.0,0.0,4.0,3.0,50.0,2.0,4.0,0.0,0.0,0.0,2.0,6.0,3.0,0.0,5.0,17.0,19.0,12.0,1.0,43.0,0.0,0.0,0.0,168.0,71.0,1.0,0.0,0.0,1.0,22.0,19.0,86.4,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
7,Renaud Cohade,24.0,fr FRA,CM,33-022,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,3.0,1.0,1.0,0.0,0.1,0.1,0.0,2.0,0.0,49.0,63.0,77.8,6.0,50.0,5.0,2.0,3.0,1030.0,321.0,23.0,23.0,100.0,19.0,22.0,86.4,7.0,14.0,50.0,0.0,7.0,0.0,0.0,60.0,3.0,2.0,0.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,19.0,1.0,57.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,6.0,16.7,5.0,1.0,33.3,0.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,16.0,53.0,12.0,0.0,70.0,66.7,2.0,0.0,283.0,161.0,3.0,0.0,0.0,0.0,50.0,46.0,92.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,100.0
8,Mathieu Dossevi,17.0,tg TOG,RM,29-251,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,4.0,1.0,2.0,1.0,0.0,0.0,0.4,7.0,1.0,33.0,47.0,70.2,2.0,53.0,9.0,1.0,3.0,625.0,131.0,13.0,15.0,86.7,15.0,19.0,78.9,4.0,10.0,40.0,5.0,1.0,2.0,2.0,43.0,4.0,2.0,0.0,22.0,4.0,10.0,2.0,0.0,0.0,0.0,30.0,3.0,14.0,1.0,44.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,28.0,40.0,3.0,61.0,33.3,1.0,0.0,279.0,123.0,2.0,0.0,4.0,5.0,58.0,49.0,84.5,13.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
9,Jonathan Rivierez,28.0,mq MTQ,LB,28-156,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,62.0,6.0,2.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,33.0,46.0,71.7,3.0,36.0,8.0,3.0,5.0,586.0,329.0,15.0,17.0,88.2,14.0,18.0,77.8,4.0,7.0,57.1,1.0,3.0,0.0,0.0,37.0,9.0,2.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,9.0,12.0,6.0,29.0,3.0,7.0,1.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,16.7,5.0,1.0,0.0,0.0,0.0,2.0,7.0,2.0,0.0,4.0,23.0,25.0,17.0,0.0,53.0,60.0,3.0,0.0,217.0,137.0,2.0,0.0,1.0,1.0,25.0,22.0,88.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
