,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Nikola Kalinić,7.0,hr CRO,FW,30-135,77.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,30.0,7.0,0.0,0.0,1.0,0.8,0.8,0.1,5.0,2.0,19.0,21.0,90.5,0.0,25.0,2.0,0.0,1.0,283.0,22.0,13.0,14.0,92.9,5.0,6.0,83.3,1.0,1.0,100.0,2.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,1.0,1.0,17.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,13.0,6.0,29.0,0.0,1.0,0.0,158.0,49.0,1.0,1.0,4.0,0.0,25.0,21.0,84.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
1,Luca Antonelli,31.0,it ITA,FW,31-098,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,90.0,0.0,9.0,0.0,0.0,0.0,106.0,31.0,6.0,7.0,85.7,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,1.0,10.0,0.0,0.0,0.0,27.0,15.0,0.0,0.0,0.0,0.0,9.0,8.0,88.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2,Hakan Çalhanoğlu,10.0,tr TUR,LW,24-101,90.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,67.0,19.0,1.0,1.0,4.0,0.1,0.1,1.2,4.0,3.0,44.0,57.0,77.2,4.0,54.0,7.0,0.0,0.0,892.0,217.0,20.0,20.0,100.0,16.0,20.0,80.0,7.0,15.0,46.7,4.0,6.0,4.0,2.0,53.0,4.0,0.0,0.0,5.0,5.0,3.0,4.0,0.0,0.0,0.0,43.0,0.0,14.0,7.0,49.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,10.5,6.0,10.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0,31.0,34.0,3.0,62.0,0.0,0.0,0.0,278.0,124.0,2.0,0.0,1.0,1.0,57.0,53.0,93.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
3,Patrick Cutrone,63.0,it ITA,RW,20-137,69.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,40.0,18.0,0.0,0.0,1.0,1.2,1.2,0.0,1.0,1.0,18.0,26.0,69.2,3.0,32.0,0.0,0.0,0.0,255.0,61.0,12.0,13.0,92.3,5.0,11.0,45.5,1.0,2.0,50.0,0.0,1.0,0.0,0.0,25.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,21.0,1.0,4.0,5.0,19.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.8,2.0,11.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,21.0,7.0,39.0,0.0,0.0,0.0,75.0,23.0,0.0,0.0,5.0,1.0,41.0,34.0,82.9,5.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
4,André Silva,9.0,pt POR,RW,22-195,21.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,5.0,1.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,7.0,10.0,70.0,0.0,13.0,2.0,0.0,0.0,106.0,11.0,3.0,4.0,75.0,4.0,5.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,8.0,3.0,14.0,0.0,0.0,0.0,42.0,19.0,0.0,1.0,2.0,0.0,12.0,11.0,91.7,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
5,Giacomo Bonaventura,5.0,it ITA,CM,28-271,84.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,63.0,13.0,0.0,2.0,0.0,0.2,0.2,0.2,1.0,0.0,50.0,56.0,89.3,6.0,54.0,8.0,0.0,2.0,839.0,194.0,27.0,30.0,90.0,20.0,22.0,90.9,3.0,4.0,75.0,1.0,2.0,2.0,0.0,55.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,6.0,6.0,47.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.1,4.0,7.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,8.0,38.0,23.0,1.0,62.0,0.0,1.0,0.0,283.0,176.0,5.0,1.0,0.0,1.0,52.0,50.0,96.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
6,Emmanuel Torres,57.0,ar ARG,CM,26-116,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,11.0,90.9,0.0,12.0,0.0,0.0,0.0,128.0,19.0,8.0,9.0,88.9,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,12.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,1.0,0.0,13.0,11.0,84.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,Franck Kessié,79.0,ci CIV,CM,21-152,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,65.0,22.0,0.0,3.0,0.0,0.2,0.2,0.2,7.0,1.0,48.0,53.0,90.6,7.0,55.0,6.0,0.0,0.0,849.0,242.0,23.0,24.0,95.8,19.0,21.0,90.5,6.0,8.0,75.0,2.0,4.0,4.0,1.0,53.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,48.0,0.0,5.0,10.0,42.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.7,3.0,16.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,10.0,41.0,20.0,3.0,65.0,0.0,0.0,0.0,311.0,193.0,3.0,1.0,3.0,1.0,53.0,48.0,90.6,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
8,Manuel Locatelli,73.0,it ITA,DM,20-132,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,6.0,0.0,2.0,0.0,0.0,0.0,0.2,2.0,0.0,44.0,53.0,83.0,3.0,51.0,1.0,0.0,0.0,884.0,210.0,9.0,9.0,100.0,29.0,34.0,85.3,5.0,9.0,55.6,2.0,2.0,0.0,0.0,53.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,7.0,9.0,44.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,25.0,31.0,10.0,0.0,63.0,0.0,0.0,0.0,143.0,77.0,1.0,0.0,1.0,1.0,47.0,46.0,97.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
9,Ricardo Rodríguez,68.0,ch SUI,LB,25-268,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,70.0,4.0,1.0,0.0,0.0,0.1,0.1,0.0,2.0,1.0,55.0,66.0,83.3,5.0,60.0,6.0,0.0,0.0,969.0,416.0,29.0,30.0,96.7,21.0,26.0,80.8,5.0,10.0,50.0,0.0,7.0,2.0,1.0,63.0,3.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,52.0,3.0,11.0,36.0,25.0,2.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,50.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,17.0,45.0,12.0,3.0,67.0,0.0,0.0,0.0,287.0,135.0,0.0,0.0,0.0,1.0,61.0,60.0,98.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
