,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Souleymane Camara,19.0,sn SEN,FW,34-226,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.0,3.0,1.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,15.0,24.0,62.5,2.0,15.0,3.0,2.0,2.0,266.0,40.0,6.0,10.0,60.0,7.0,8.0,87.5,1.0,3.0,33.3,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,5.0,3.0,15.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,20.0,14.0,1.0,28.0,100.0,2.0,0.0,129.0,63.0,4.0,0.0,1.0,1.0,49.0,24.0,49.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,33.3
1,Isaac Mbenza,18.0,be BEL,LM,21-150,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51.0,9.0,3.0,1.0,1.0,0.0,0.0,0.2,5.0,1.0,17.0,37.0,45.9,2.0,32.0,6.0,3.0,8.0,332.0,89.0,5.0,8.0,62.5,7.0,10.0,70.0,3.0,14.0,21.4,3.0,1.0,0.0,0.0,27.0,10.0,4.0,0.0,1.0,3.0,6.0,6.0,0.0,0.0,0.0,23.0,2.0,12.0,2.0,34.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,22.2,2.0,4.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,19.0,35.0,4.0,41.0,37.5,4.0,0.0,184.0,125.0,2.0,3.0,1.0,2.0,39.0,31.0,79.5,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2,Kévin Bérigaud,11.0,fr FRA,CM,29-088,74.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,32.0,8.0,0.0,1.0,0.0,0.7,0.7,0.1,1.0,1.0,18.0,20.0,90.0,1.0,15.0,5.0,1.0,2.0,256.0,56.0,11.0,12.0,91.7,5.0,5.0,100.0,1.0,1.0,100.0,1.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,2.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,25.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,16.0,17.0,4.0,32.0,50.0,1.0,0.0,111.0,77.0,3.0,1.0,4.0,0.0,46.0,27.0,58.7,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,33.3
3,Stéphane Sessègnon,28.0,bj BEN,CM,33-065,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,82.4,3.0,8.0,0.0,0.0,0.0,230.0,61.0,4.0,5.0,80.0,9.0,9.0,100.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,3.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,1.0,15.0,0.0,0.0,0.0,44.0,3.0,0.0,0.0,0.0,0.0,13.0,11.0,84.6,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
4,Jonathan Ikone,9.0,fr FRA,RM,19-095,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,20.0,55.0,2.0,21.0,3.0,1.0,4.0,193.0,89.0,3.0,5.0,60.0,5.0,9.0,55.6,1.0,2.0,50.0,0.0,1.0,1.0,0.0,18.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,16.0,1.0,3.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,40.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,10.0,17.0,0.0,26.0,25.0,1.0,0.0,183.0,136.0,3.0,0.0,0.0,1.0,22.0,19.0,86.4,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
5,Casimir Ninga,29.0,td CHA,RM,24-080,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,62.5,0.0,8.0,0.0,0.0,1.0,54.0,4.0,4.0,6.0,66.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,1.0,12.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,3.0,0.0,22.0,11.0,50.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Ellyes Skhiri,13.0,tn TUN,DM,22-087,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,44.0,86.4,4.0,19.0,0.0,0.0,0.0,652.0,208.0,18.0,19.0,94.7,16.0,19.0,84.2,4.0,5.0,80.0,0.0,5.0,0.0,0.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,7.0,5.0,6.0,34.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,30.8,3.0,8.0,2.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,13.0,38.0,3.0,0.0,53.0,0.0,0.0,0.0,84.0,17.0,0.0,0.0,1.0,0.0,32.0,28.0,87.5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,100.0
7,Paul Lasne,7.0,fr FRA,DM,28-201,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,63.0,5.0,1.0,4.0,0.0,0.1,0.1,0.0,0.0,0.0,40.0,52.0,76.9,6.0,36.0,3.0,0.0,0.0,1011.0,274.0,8.0,11.0,72.7,21.0,24.0,87.5,11.0,17.0,64.7,0.0,6.0,0.0,0.0,52.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,33.0,4.0,15.0,16.0,32.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,10.0,47.0,10.0,0.0,63.0,0.0,0.0,0.0,218.0,93.0,1.0,0.0,3.0,0.0,38.0,35.0,92.1,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,50.0
8,Jérôme Roussillon,24.0,fr FRA,LB,24-211,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,50.0,78.0,8.0,33.0,3.0,0.0,2.0,774.0,399.0,10.0,11.0,90.9,24.0,29.0,82.8,4.0,7.0,57.1,0.0,7.0,0.0,0.0,38.0,12.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,27.0,10.0,13.0,34.0,2.0,2.0,10.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,40.0,3.0,7.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,11.0,36.0,15.0,2.0,48.0,0.0,0.0,1.0,157.0,93.0,2.0,0.0,4.0,0.0,37.0,30.0,81.1,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,100.0
9,Daniel Congré,3.0,fr FRA,CB,32-122,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,48.0,85.4,3.0,34.0,0.0,1.0,1.0,934.0,260.0,9.0,10.0,90.0,21.0,24.0,87.5,10.0,13.0,76.9,0.0,1.0,0.0,0.0,48.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,39.0,3.0,6.0,7.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,85.7,4.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,31.0,27.0,0.0,0.0,53.0,100.0,1.0,0.0,213.0,133.0,0.0,0.0,0.0,0.0,39.0,38.0,97.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0
