,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Lars Stindl,13.0,de GER,FW,29-035,90.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,47.0,23.0,1.0,0.0,4.0,0.4,0.4,0.0,2.0,1.0,20.0,28.0,71.4,1.0,35.0,3.0,0.0,0.0,292.0,49.0,12.0,17.0,70.6,7.0,9.0,77.8,1.0,2.0,50.0,0.0,0.0,1.0,0.0,27.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,4.0,6.0,20.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,21.7,1.0,6.0,16.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,9.0,16.0,27.0,5.0,46.0,0.0,0.0,0.0,170.0,69.0,2.0,1.0,1.0,3.0,38.0,36.0,94.7,14.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
1,Raffael,11.0,br BRA,FW,32-186,62.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,13.0,15.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,6.0,8.0,75.0,0.0,10.0,1.0,1.0,1.0,82.0,7.0,4.0,5.0,80.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,33.3,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,1.0,11.0,100.0,1.0,0.0,29.0,10.0,0.0,0.0,1.0,1.0,12.0,9.0,75.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
2,Raúl Bobadilla,26.0,py PAR,FW,30-104,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,1.0,0.0,0.0,0.2,2.0,0.0,6.0,7.0,85.7,1.0,6.0,1.0,0.0,0.0,108.0,43.0,2.0,2.0,100.0,4.0,4.0,100.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,8.0,0.0,0.0,0.0,39.0,9.0,0.0,1.0,1.0,0.0,7.0,7.0,100.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Fabian Johnson,19.0,us USA,LM,29-293,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,4.0,3.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,9.0,15.0,60.0,2.0,15.0,0.0,0.0,0.0,122.0,53.0,4.0,4.0,100.0,5.0,9.0,55.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,3.0,4.0,9.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,50.0,2.0,1.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,8.0,13.0,8.0,3.0,28.0,0.0,0.0,0.0,51.0,15.0,0.0,0.0,1.0,1.0,16.0,14.0,87.5,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
4,Vincenzo Grifo,32.0,it ITA,LM,24-176,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,2.0,0.0,1.0,0.0,0.0,0.0,0.1,4.0,1.0,7.0,10.0,70.0,3.0,10.0,4.0,0.0,1.0,106.0,60.0,4.0,4.0,100.0,3.0,3.0,100.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,7.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,10.0,2.0,11.0,0.0,0.0,0.0,86.0,47.0,1.0,1.0,0.0,0.0,7.0,7.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
5,Christoph Kramer,6.0,de GER,CM,26-223,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,59.0,8.0,1.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,45.0,55.0,81.8,4.0,44.0,5.0,0.0,0.0,860.0,205.0,12.0,14.0,85.7,30.0,36.0,83.3,3.0,5.0,60.0,0.0,4.0,0.0,0.0,53.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,6.0,9.0,7.0,44.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,20.0,37.0,10.0,1.0,57.0,0.0,0.0,0.0,277.0,188.0,2.0,0.0,0.0,0.0,38.0,36.0,94.7,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0
6,Mickaël Cuisance,27.0,fr FRA,CM,18-045,78.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,15.0,2.0,0.0,2.0,0.1,0.1,0.3,5.0,1.0,28.0,37.0,75.7,6.0,38.0,2.0,1.0,2.0,581.0,202.0,9.0,11.0,81.8,13.0,16.0,81.3,6.0,10.0,60.0,3.0,3.0,0.0,0.0,33.0,4.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,25.0,5.0,7.0,31.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,20.0,5.0,6.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,11.0,20.0,24.0,1.0,50.0,50.0,1.0,0.0,102.0,25.0,0.0,1.0,5.0,1.0,37.0,34.0,91.9,9.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
7,Denis Zakaria,8.0,ch SUI,CM,20-314,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,11.0,90.9,2.0,12.0,3.0,0.0,0.0,172.0,30.0,3.0,3.0,100.0,7.0,8.0,87.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.7,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0,1.0,13.0,0.0,0.0,0.0,72.0,35.0,2.0,0.0,0.0,0.0,9.0,9.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
8,Thorgan Hazard,10.0,be BEL,RM,24-185,90.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,58.0,6.0,0.0,2.0,1.0,0.8,0.0,0.7,11.0,0.0,33.0,46.0,71.7,5.0,38.0,4.0,1.0,4.0,644.0,305.0,14.0,18.0,77.8,10.0,14.0,71.4,8.0,11.0,72.7,7.0,3.0,0.0,0.0,37.0,9.0,2.0,0.0,2.0,3.0,4.0,4.0,0.0,0.0,0.0,24.0,6.0,16.0,7.0,32.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,66.7,0.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,7.0,19.0,35.0,6.0,48.0,25.0,1.0,0.0,216.0,149.0,2.0,2.0,2.0,1.0,35.0,34.0,97.1,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,100.0
9,Oscar Wendt,17.0,se SWE,LB,31-341,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,60.0,12.0,2.0,1.0,5.0,0.0,0.0,0.1,2.0,0.0,31.0,51.0,60.8,3.0,32.0,3.0,0.0,0.0,577.0,244.0,8.0,10.0,80.0,20.0,25.0,80.0,2.0,14.0,14.3,1.0,2.0,1.0,0.0,43.0,8.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,5.0,21.0,34.0,5.0,3.0,8.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,33.3,11.0,1.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,5.0,33.0,21.0,8.0,0.0,52.0,0.0,0.0,0.0,157.0,83.0,0.0,0.0,0.0,0.0,27.0,27.0,100.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,100.0
