,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Radamel Falcao,9.0,co COL,FW,32-064,81.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,37.0,28.0,1.0,0.0,0.0,0.4,0.4,0.0,2.0,0.0,18.0,21.0,85.7,1.0,24.0,3.0,1.0,3.0,259.0,25.0,9.0,10.0,90.0,6.0,7.0,85.7,1.0,1.0,100.0,0.0,1.0,0.0,0.0,16.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,3.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,18.0,21.0,4.0,32.0,33.3,1.0,0.0,66.0,23.0,2.0,1.0,5.0,3.0,24.0,24.0,100.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0
1,Youri Tielemans,17.0,be BEL,FW,20-343,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Jorge,6.0,br BRA,"LB,LW",22-018,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,11.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,30.0,40.0,75.0,1.0,37.0,3.0,4.0,5.0,559.0,101.0,11.0,14.0,78.6,13.0,17.0,76.5,5.0,7.0,71.4,1.0,2.0,0.0,0.0,35.0,5.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,4.0,9.0,31.0,2.0,2.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,10.0,21.0,23.0,1.0,43.0,80.0,4.0,0.0,182.0,117.0,4.0,0.0,2.0,2.0,26.0,26.0,100.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
3,Rony Lopes,20.0,pt POR,"LW,RW",22-108,74.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,27.0,33.0,1.0,0.0,0.0,1.1,1.1,0.0,2.0,0.0,16.0,18.0,88.9,2.0,19.0,3.0,2.0,3.0,219.0,47.0,8.0,9.0,88.9,6.0,6.0,100.0,1.0,2.0,50.0,1.0,1.0,1.0,0.0,17.0,1.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,13.0,3.0,2.0,11.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.1,3.0,18.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,11.0,16.0,6.0,26.0,66.7,2.0,1.0,94.0,61.0,1.0,1.0,0.0,2.0,18.0,18.0,100.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
4,Adama Diakhaby,15.0,fr FRA,LW,21-284,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,66.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Thomas Lemar,27.0,fr FRA,AM,22-154,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,33.0,0.0,0.0,1.0,0.0,0.0,0.3,5.0,0.0,40.0,46.0,87.0,2.0,42.0,6.0,1.0,2.0,789.0,238.0,17.0,19.0,89.5,17.0,18.0,94.4,6.0,9.0,66.7,2.0,5.0,1.0,1.0,44.0,2.0,1.0,0.0,12.0,4.0,2.0,1.0,0.0,0.0,0.0,32.0,1.0,13.0,39.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,15.2,3.0,18.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,25.0,26.0,1.0,49.0,50.0,1.0,0.0,288.0,165.0,3.0,0.0,1.0,0.0,44.0,44.0,100.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
6,Fabinho,2.0,br BRA,DM,24-174,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,17.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,42.0,100.0,4.0,40.0,7.0,1.0,4.0,807.0,247.0,16.0,16.0,100.0,22.0,22.0,100.0,4.0,4.0,100.0,0.0,7.0,1.0,0.0,41.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,5.0,3.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,5.9,2.0,10.0,5.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,15.0,33.0,12.0,1.0,53.0,25.0,1.0,0.0,299.0,177.0,1.0,0.0,0.0,1.0,37.0,37.0,100.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
7,João Moutinho,8.0,pt POR,DM,31-219,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,49.0,16.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,36.0,44.0,81.8,4.0,35.0,8.0,1.0,1.0,719.0,211.0,11.0,14.0,78.6,21.0,24.0,87.5,3.0,5.0,60.0,1.0,5.0,0.0,0.0,41.0,3.0,2.0,0.0,9.0,1.0,2.0,1.0,0.0,0.0,0.0,35.0,0.0,9.0,3.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,100.0,0.0,6.0,37.5,4.0,8.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,6.0,31.0,20.0,0.0,46.0,100.0,1.0,0.0,277.0,190.0,5.0,0.0,0.0,0.0,29.0,29.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
8,Djibril Sidibé,19.0,fr FRA,LB,25-260,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,18.0,83.3,1.0,13.0,0.0,0.0,1.0,205.0,95.0,9.0,11.0,81.8,2.0,3.0,66.7,2.0,2.0,100.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,2.0,3.0,3.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,3.0,11.0,2.0,20.0,0.0,0.0,0.0,35.0,23.0,0.0,0.0,0.0,0.0,12.0,12.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
9,Rachid Ghezzal,7.0,dz ALG,RW,25-341,57.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,29.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,18.0,22.0,81.8,2.0,22.0,1.0,1.0,4.0,340.0,47.0,8.0,9.0,88.9,6.0,7.0,85.7,3.0,4.0,75.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,19.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,7.0,4.0,26.7,2.0,8.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,12.0,19.0,1.0,29.0,25.0,1.0,0.0,96.0,32.0,1.0,0.0,0.0,0.0,24.0,21.0,87.5,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
