,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Willian José,12.0,br BRA,FW,26-147,87.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,35.0,6.0,0.0,0.0,1.0,0.3,0.3,0.6,2.0,1.0,19.0,23.0,82.6,3.0,27.0,2.0,0.0,0.0,352.0,75.0,10.0,12.0,83.3,4.0,6.0,66.7,4.0,4.0,100.0,2.0,3.0,0.0,0.0,22.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,3.0,3.0,19.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,16.0,17.0,5.0,34.0,0.0,0.0,0.0,77.0,29.0,0.0,0.0,2.0,2.0,37.0,25.0,67.6,8.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
1,Jon Bautista,21.0,es ESP,FW,22-290,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Mikel Oyarzabal,18.0,es ESP,LW,20-363,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,17.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,83.3,2.0,21.0,2.0,1.0,2.0,209.0,78.0,10.0,10.0,100.0,5.0,8.0,62.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,15.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,35.3,5.0,7.0,5.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,8.0,7.0,23.0,5.0,35.0,50.0,1.0,0.0,62.0,35.0,0.0,1.0,2.0,5.0,31.0,22.0,71.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
3,Juanmi,7.0,es ESP,LW,24-334,19.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,16.0,2.0,1.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,10.0,10.0,100.0,0.0,16.0,2.0,1.0,1.0,156.0,9.0,4.0,4.0,100.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,6.0,2.0,16.0,100.0,1.0,0.0,48.0,25.0,0.0,1.0,1.0,0.0,14.0,13.0,92.9,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
4,Adnan Januzaj,8.0,be BEL,RW,23-073,90.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,60.0,17.0,2.0,1.0,2.0,0.1,0.1,0.3,6.0,1.0,33.0,38.0,86.8,2.0,57.0,8.0,4.0,8.0,674.0,128.0,14.0,15.0,93.3,14.0,16.0,87.5,5.0,6.0,83.3,3.0,4.0,2.0,2.0,38.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,29.0,2.0,7.0,31.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,11.8,3.0,8.0,6.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,26.0,30.0,3.0,60.0,50.0,4.0,1.0,301.0,173.0,1.0,2.0,3.0,8.0,57.0,50.0,87.7,14.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
5,Rubén Pardo,14.0,es ESP,CM,25-179,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,35.0,77.1,4.0,28.0,3.0,0.0,0.0,546.0,155.0,6.0,7.0,85.7,18.0,21.0,85.7,3.0,7.0,42.9,0.0,3.0,0.0,0.0,33.0,2.0,2.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,26.0,1.0,8.0,5.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,24.0,10.0,0.0,35.0,0.0,0.0,0.0,129.0,43.0,0.0,0.0,0.0,0.0,26.0,25.0,96.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
6,David Zurutuza,17.0,es ESP,CM,31-274,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,26.0,27.0,96.3,2.0,23.0,2.0,0.0,0.0,506.0,131.0,8.0,8.0,100.0,15.0,15.0,100.0,3.0,4.0,75.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,3.0,6.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,50.0,1.0,1.0,33.3,0.0,1.0,2.0,0.0,0.0,2.0,3.0,3.0,0.0,5.0,17.0,14.0,6.0,1.0,34.0,0.0,0.0,0.0,164.0,86.0,2.0,0.0,0.0,1.0,22.0,22.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
7,Sergio Canales,16.0,es ESP,CM,27-062,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,74.0,26.0,2.0,2.0,0.0,0.1,0.1,0.1,6.0,0.0,61.0,68.0,89.7,7.0,58.0,3.0,0.0,0.0,1208.0,290.0,21.0,22.0,95.5,32.0,33.0,97.0,8.0,13.0,61.5,2.0,8.0,3.0,1.0,62.0,6.0,3.0,0.0,11.0,3.0,2.0,3.0,0.0,0.0,0.0,54.0,3.0,11.0,61.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,38.5,10.0,11.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0,34.0,32.0,1.0,68.0,0.0,0.0,0.0,258.0,128.0,3.0,0.0,0.0,1.0,54.0,50.0,92.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
8,Asier Illarramendi,4.0,es ESP,DM,28-042,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,14.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,57.0,66.0,86.4,7.0,57.0,8.0,0.0,0.0,1168.0,370.0,18.0,21.0,85.7,32.0,35.0,91.4,7.0,10.0,70.0,0.0,11.0,0.0,0.0,65.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,3.0,8.0,7.0,55.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,5.0,35.7,9.0,3.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,25.0,44.0,6.0,0.0,70.0,0.0,0.0,0.0,363.0,177.0,1.0,0.0,0.0,0.0,53.0,53.0,100.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0
9,Alberto de la Bella,24.0,es ESP,LB,32-138,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,9.0,0.0,0.0,2.0,0.0,0.0,0.1,1.0,1.0,48.0,56.0,85.7,3.0,39.0,5.0,0.0,0.0,851.0,299.0,17.0,20.0,85.0,30.0,33.0,90.9,1.0,3.0,33.3,1.0,2.0,0.0,0.0,49.0,7.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,40.0,6.0,10.0,43.0,3.0,2.0,7.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.1,5.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,5.0,19.0,26.0,21.0,4.0,55.0,0.0,0.0,0.0,136.0,89.0,3.0,2.0,1.0,0.0,42.0,41.0,97.6,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
