,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Juanmi,7.0,es ESP,FW,24-258,68.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,15.0,1.0,0.0,0.0,0.1,0.1,0.5,2.0,1.0,16.0,21.0,76.2,0.0,19.0,1.0,0.0,1.0,214.0,25.0,9.0,14.0,64.3,5.0,5.0,100.0,1.0,1.0,100.0,2.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,4.0,5.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,13.3,4.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,10.0,13.0,7.0,24.0,0.0,0.0,0.0,92.0,20.0,0.0,0.0,1.0,0.0,22.0,18.0,81.8,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0
1,Sergio Canales,16.0,es ESP,FW,26-351,22.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.5,0.5,0.3,2.0,1.0,9.0,9.0,100.0,2.0,11.0,4.0,0.0,0.0,193.0,61.0,3.0,3.0,100.0,5.0,5.0,100.0,1.0,1.0,100.0,2.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,1.0,11.0,0.0,0.0,0.0,90.0,73.0,2.0,0.0,0.0,1.0,11.0,10.0,90.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,Willian José,12.0,br BRA,FW,26-071,84.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,37.0,12.0,0.0,0.0,0.0,0.5,0.5,0.5,3.0,1.0,27.0,30.0,90.0,3.0,24.0,2.0,0.0,0.0,461.0,119.0,11.0,12.0,91.7,14.0,15.0,93.3,2.0,3.0,66.7,1.0,5.0,3.0,0.0,29.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,3.0,4.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,50.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,18.0,19.0,1.0,36.0,0.0,0.0,0.0,155.0,106.0,3.0,0.0,1.0,2.0,39.0,30.0,76.9,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3,Imanol Agirretxe,9.0,es ESP,FW,30-343,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,Mikel Oyarzabal,18.0,es ESP,FW,20-287,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,70.0,12.0,0.0,0.0,2.0,0.1,0.1,0.2,5.0,0.0,36.0,55.0,65.5,5.0,47.0,9.0,3.0,3.0,678.0,196.0,15.0,21.0,71.4,12.0,19.0,63.2,8.0,13.0,61.5,2.0,3.0,1.0,0.0,45.0,10.0,2.0,0.0,9.0,4.0,5.0,7.0,0.0,0.0,0.0,36.0,1.0,18.0,40.0,9.0,3.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,41.7,2.0,7.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,29.0,42.0,6.0,61.0,100.0,3.0,0.0,275.0,180.0,3.0,0.0,3.0,5.0,52.0,45.0,86.5,11.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,11.0,2.0,1.0,66.7
5,Asier Illarramendi,4.0,es ESP,LM,27-331,90.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,61.0,19.0,1.0,1.0,0.0,0.9,0.9,0.0,6.0,2.0,48.0,52.0,92.3,6.0,44.0,3.0,0.0,0.0,924.0,312.0,15.0,17.0,88.2,22.0,23.0,95.7,9.0,10.0,90.0,1.0,4.0,1.0,0.0,47.0,5.0,4.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,43.0,0.0,9.0,10.0,39.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,20.0,4.0,6.0,31.6,3.0,11.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,41.0,20.0,2.0,56.0,0.0,0.0,0.0,232.0,121.0,5.0,0.0,2.0,0.0,41.0,38.0,92.7,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0
6,Xabi Prieto,10.0,es ESP,RM,34-157,82.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,83.0,8.0,1.0,0.0,1.0,0.3,0.3,0.1,4.0,1.0,56.0,72.0,77.8,5.0,57.0,10.0,0.0,0.0,853.0,217.0,31.0,35.0,88.6,20.0,26.0,76.9,3.0,5.0,60.0,2.0,4.0,2.0,0.0,69.0,3.0,0.0,0.0,19.0,2.0,4.0,1.0,0.0,0.0,0.0,56.0,4.0,12.0,12.0,53.0,4.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,7.0,87.5,0.0,5.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,5.0,43.0,41.0,2.0,80.0,0.0,0.0,0.0,303.0,202.0,3.0,0.0,2.0,2.0,68.0,65.0,95.6,9.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,33.3
7,Jon Guridi,23.0,es ESP,RM,22-339,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,1.0,0.0,0.0,9.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,22.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Igor Zubeldia,5.0,es ESP,DM,20-309,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,49.0,14.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,36.0,44.0,81.8,2.0,27.0,4.0,1.0,1.0,779.0,157.0,12.0,14.0,85.7,17.0,21.0,81.0,7.0,9.0,77.8,0.0,4.0,2.0,0.0,44.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,14.0,2.0,36.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,2.0,50.0,1.0,7.0,50.0,4.0,6.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,9.0,33.0,9.0,1.0,49.0,100.0,1.0,0.0,140.0,43.0,1.0,1.0,0.0,0.0,32.0,31.0,96.9,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,50.0
9,Alberto de la Bella,24.0,es ESP,LB,32-062,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,8.0,1.0,1.0,2.0,0.0,0.0,0.3,2.0,0.0,30.0,41.0,73.2,1.0,23.0,3.0,0.0,0.0,553.0,126.0,13.0,16.0,81.3,10.0,13.0,76.9,6.0,11.0,54.5,2.0,2.0,3.0,2.0,35.0,6.0,3.0,0.0,13.0,2.0,3.0,0.0,0.0,0.0,0.0,25.0,4.0,12.0,25.0,8.0,3.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,25.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,5.0,15.0,28.0,10.0,1.0,43.0,0.0,0.0,0.0,168.0,100.0,3.0,0.0,1.0,0.0,23.0,20.0,87.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,14.0,2.0,0.0,100.0
