,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Willian José,12.0,br BRA,FW,25-275,73.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,35.0,13.0,0.0,0.0,0.0,0.7,0.7,0.3,3.0,1.0,22.0,28.0,78.6,1.0,22.0,2.0,1.0,1.0,393.0,97.0,14.0,16.0,87.5,6.0,6.0,100.0,2.0,5.0,40.0,2.0,4.0,1.0,0.0,27.0,1.0,0.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,3.0,5.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,30.8,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,16.0,7.0,34.0,100.0,1.0,0.0,66.0,22.0,0.0,1.0,1.0,3.0,39.0,27.0,69.2,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,66.7
1,Sergio Canales,16.0,es ESP,"DM,FW",26-190,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,16.0,21.0,76.2,1.0,14.0,3.0,0.0,0.0,268.0,59.0,10.0,10.0,100.0,2.0,3.0,66.7,3.0,7.0,42.9,1.0,1.0,1.0,1.0,15.0,6.0,2.0,0.0,2.0,2.0,2.0,3.0,0.0,2.0,0.0,13.0,4.0,4.0,19.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,16.0,1.0,16.0,0.0,0.0,0.0,58.0,46.0,2.0,1.0,0.0,0.0,16.0,16.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Juanmi,7.0,es ESP,LW,24-097,65.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,20.0,11.0,1.0,1.0,0.0,0.8,0.8,0.0,1.0,0.0,9.0,9.0,100.0,0.0,17.0,4.0,1.0,2.0,168.0,7.0,7.0,7.0,100.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,27.3,1.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,8.0,11.0,8.0,20.0,50.0,1.0,0.0,66.0,27.0,0.0,2.0,1.0,0.0,22.0,14.0,63.6,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
3,Carlos Vela,11.0,mx MEX,"RW,LW",28-177,25.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,0.4,0.4,0.1,1.0,0.0,18.0,18.0,100.0,3.0,19.0,2.0,1.0,1.0,241.0,99.0,13.0,13.0,100.0,5.0,5.0,100.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,15.0,3.0,24.0,100.0,1.0,0.0,148.0,87.0,2.0,0.0,1.0,1.0,26.0,21.0,80.8,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
4,Mikel Oyarzabal,18.0,es ESP,"RW,LW",20-126,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,47.0,11.0,2.0,0.0,0.0,0.3,0.3,0.0,2.0,0.0,27.0,36.0,75.0,2.0,31.0,5.0,0.0,2.0,524.0,116.0,16.0,18.0,88.9,7.0,9.0,77.8,4.0,9.0,44.4,1.0,1.0,1.0,1.0,29.0,7.0,1.0,0.0,6.0,5.0,3.0,6.0,2.0,3.0,0.0,25.0,2.0,9.0,32.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,18.2,1.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,12.0,34.0,8.0,40.0,0.0,0.0,0.0,175.0,120.0,1.0,4.0,4.0,0.0,42.0,33.0,78.6,9.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
5,David Zurutuza,17.0,es ESP,CM,31-037,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,21.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,41.0,48.0,85.4,3.0,42.0,5.0,0.0,1.0,712.0,128.0,22.0,26.0,84.6,15.0,17.0,88.2,4.0,5.0,80.0,0.0,5.0,1.0,0.0,48.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,37.0,5.0,6.0,2.0,43.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,23.8,6.0,11.0,4.0,0.0,0.0,1.0,3.0,2.0,0.0,5.0,13.0,42.0,10.0,0.0,59.0,0.0,0.0,0.0,162.0,56.0,1.0,0.0,1.0,1.0,47.0,46.0,97.9,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,4.0,2.0,66.7
6,Xabi Prieto,10.0,es ESP,CM,33-361,90.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,72.0,12.0,2.0,0.0,2.0,0.5,0.5,0.7,5.0,0.0,52.0,61.0,85.2,7.0,47.0,4.0,1.0,1.0,798.0,278.0,30.0,34.0,88.2,17.0,19.0,89.5,4.0,4.0,100.0,3.0,7.0,3.0,0.0,58.0,3.0,3.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,43.0,9.0,9.0,5.0,49.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,58.3,3.0,6.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,5.0,36.0,34.0,7.0,70.0,100.0,1.0,0.0,166.0,64.0,0.0,0.0,2.0,2.0,64.0,58.0,90.6,7.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,8.0,3.0,4.0,42.9
7,Asier Illarramendi,4.0,es ESP,"DM,CB",27-170,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.0,14.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,61.0,67.0,91.0,6.0,51.0,9.0,1.0,1.0,1174.0,334.0,20.0,21.0,95.2,31.0,34.0,91.2,8.0,9.0,88.9,0.0,5.0,1.0,0.0,61.0,6.0,6.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,51.0,9.0,7.0,9.0,54.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,35.7,6.0,8.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,16.0,51.0,9.0,0.0,67.0,100.0,1.0,0.0,318.0,171.0,2.0,0.0,0.0,0.0,48.0,47.0,97.9,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,100.0
8,Kévin Rodrigues,20.0,pt POR,LB,23-173,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,21.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,42.0,53.0,79.2,3.0,46.0,5.0,3.0,4.0,760.0,204.0,24.0,28.0,85.7,13.0,14.0,92.9,5.0,10.0,50.0,0.0,0.0,0.0,0.0,42.0,11.0,2.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,35.0,8.0,10.0,41.0,1.0,0.0,9.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,0.0,3.0,4.0,75.0,1.0,6.0,28.6,5.0,13.0,3.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,15.0,32.0,23.0,1.0,54.0,75.0,3.0,0.0,196.0,132.0,1.0,0.0,3.0,1.0,40.0,39.0,97.5,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,100.0
9,Raúl Navas,22.0,es ESP,CB,29-106,81.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,2.0,0.0,3.0,1.0,0.0,0.0,0.1,2.0,2.0,43.0,45.0,95.6,4.0,31.0,5.0,0.0,0.0,940.0,298.0,10.0,10.0,100.0,24.0,24.0,100.0,8.0,9.0,88.9,1.0,4.0,0.0,0.0,42.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,5.0,2.0,10.0,31.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,6.0,0.0,6.0,30.0,25.0,4.0,2.0,53.0,0.0,0.0,0.0,214.0,114.0,1.0,0.0,0.0,0.0,36.0,36.0,100.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,75.0
