,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Roberto Inglese,45.0,it ITA,FW,26-167,90.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,33.0,14.0,0.0,0.0,0.0,1.0,0.2,0.1,6.0,0.0,15.0,21.0,71.4,0.0,27.0,2.0,0.0,1.0,230.0,22.0,8.0,11.0,72.7,5.0,7.0,71.4,2.0,2.0,100.0,3.0,2.0,0.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,6.0,2.0,15.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.3,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,20.0,9.0,33.0,0.0,0.0,0.0,65.0,24.0,0.0,2.0,5.0,1.0,49.0,27.0,55.1,12.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,1.0,2.0,33.3
1,Manuel Pucciarelli,10.0,it ITA,FW,26-315,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,28.0,64.3,1.0,26.0,4.0,0.0,1.0,329.0,22.0,7.0,12.0,58.3,8.0,10.0,80.0,2.0,4.0,50.0,0.0,0.0,1.0,0.0,23.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,1.0,4.0,4.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,25.0,1.0,5.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,14.0,19.0,7.0,29.0,0.0,0.0,0.0,114.0,39.0,0.0,2.0,3.0,0.0,46.0,23.0,50.0,9.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2,Përparim Hetemaj,56.0,fi FIN,"CM,RM",31-137,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,61.0,23.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,46.0,53.0,86.8,4.0,55.0,4.0,0.0,1.0,777.0,155.0,23.0,24.0,95.8,19.0,21.0,90.5,4.0,7.0,57.1,1.0,4.0,1.0,0.0,53.0,0.0,0.0,0.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,46.0,0.0,7.0,9.0,44.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,13.0,10.0,9.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,8.0,37.0,23.0,1.0,61.0,0.0,0.0,0.0,303.0,182.0,4.0,0.0,0.0,0.0,60.0,49.0,81.7,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
3,Nicola Rigoni,4.0,it ITA,"CM,LM",27-167,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,68.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,55.0,66.0,83.3,14.0,53.0,7.0,0.0,0.0,1022.0,401.0,23.0,26.0,88.5,26.0,27.0,96.3,6.0,12.0,50.0,0.0,10.0,0.0,0.0,66.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,14.0,10.0,52.0,4.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,23.1,2.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,50.0,16.0,2.0,68.0,0.0,0.0,0.0,249.0,157.0,4.0,0.0,0.0,0.0,56.0,55.0,98.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
4,Lucas Castro,19.0,ar ARG,CM,29-019,78.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,17.0,2.0,1.0,1.0,0.1,0.1,0.1,2.0,0.0,29.0,33.0,87.9,1.0,39.0,6.0,0.0,3.0,500.0,42.0,11.0,12.0,91.7,15.0,16.0,93.8,2.0,3.0,66.7,1.0,1.0,0.0,0.0,33.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,1.0,2.0,6.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,5.0,29.4,2.0,9.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,28.0,21.0,4.0,46.0,0.0,0.0,0.0,222.0,119.0,3.0,0.0,2.0,0.0,35.0,31.0,88.6,6.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
5,Valter Birsa,23.0,si SVN,CM,31-264,12.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,17.0,3.0,0.0,0.0,0.0,0.1,0.1,0.1,2.0,1.0,12.0,14.0,85.7,1.0,11.0,2.0,0.0,0.0,216.0,85.0,5.0,5.0,100.0,5.0,6.0,83.3,2.0,3.0,66.7,2.0,0.0,1.0,0.0,11.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,1.0,3.0,10.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,12.0,1.0,14.0,0.0,0.0,0.0,78.0,66.0,2.0,0.0,0.0,1.0,14.0,12.0,85.7,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Fabrizio Cacciatore,29.0,it ITA,"WB,RB",31-202,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,19.0,0.0,0.0,2.0,0.0,0.0,0.1,3.0,0.0,37.0,46.0,80.4,7.0,36.0,6.0,0.0,1.0,546.0,272.0,22.0,24.0,91.7,12.0,14.0,85.7,3.0,7.0,42.9,1.0,5.0,2.0,0.0,44.0,2.0,0.0,0.0,7.0,1.0,3.0,1.0,0.0,0.0,0.0,26.0,5.0,15.0,7.0,35.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.5,7.0,7.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,11.0,26.0,19.0,3.0,51.0,0.0,0.0,0.0,148.0,89.0,2.0,2.0,0.0,0.0,38.0,33.0,86.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0
7,Fabio Depaoli,27.0,it ITA,WB,21-004,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,1.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,9.0,13.0,69.2,1.0,10.0,1.0,0.0,0.0,203.0,106.0,2.0,3.0,66.7,5.0,6.0,83.3,2.0,3.0,66.7,1.0,0.0,0.0,0.0,10.0,3.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,4.0,1.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,1.0,20.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,7.0,8.0,2.0,14.0,0.0,0.0,0.0,52.0,28.0,0.0,0.0,0.0,1.0,9.0,8.0,88.9,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
8,Paweł Jaroszyński,44.0,pl POL,"WB,LB",23-208,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,35.0,51.4,1.0,29.0,5.0,0.0,0.0,411.0,90.0,2.0,6.0,33.3,11.0,15.0,73.3,4.0,12.0,33.3,0.0,0.0,0.0,0.0,31.0,4.0,0.0,0.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,15.0,4.0,16.0,21.0,7.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,18.2,5.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,13.0,10.0,22.0,0.0,38.0,0.0,0.0,0.0,145.0,89.0,1.0,0.0,2.0,1.0,27.0,26.0,96.3,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
9,Nenad Tomović,40.0,rs SRB,CB,30-241,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,11.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,42.0,85.7,1.0,26.0,0.0,0.0,0.0,614.0,251.0,19.0,20.0,95.0,13.0,15.0,86.7,3.0,6.0,50.0,0.0,2.0,0.0,0.0,39.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,5.0,8.0,10.0,26.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,63.6,7.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,25.0,17.0,6.0,0.0,44.0,0.0,0.0,0.0,108.0,39.0,0.0,0.0,0.0,1.0,23.0,21.0,91.3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0
