,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Michy Batshuayi,44.0,be BEL,FW,24-195,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,64.7,0.0,16.0,1.0,2.0,3.0,179.0,16.0,5.0,7.0,71.4,6.0,8.0,75.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,7.0,2.0,12.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.3,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,13.0,11.0,2.0,21.0,66.7,2.0,0.0,31.0,18.0,0.0,1.0,0.0,3.0,38.0,16.0,42.1,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
1,Maximilian Philipp,20.0,de GER,LW,24-045,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,83.3,0.0,10.0,1.0,0.0,2.0,78.0,15.0,3.0,3.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,22.2,4.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,11.0,0.0,1.0,0.0,28.0,8.0,0.0,0.0,0.0,1.0,10.0,7.0,70.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2,André Schürrle,21.0,de GER,"LW,DM",27-160,45.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,47.0,7.0,1.0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,25.0,40.0,62.5,5.0,36.0,9.0,0.0,0.0,471.0,133.0,11.0,18.0,61.1,10.0,13.0,76.9,4.0,8.0,50.0,1.0,2.0,0.0,0.0,37.0,3.0,0.0,0.0,3.0,5.0,1.0,3.0,2.0,1.0,0.0,25.0,6.0,9.0,9.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,42.9,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,19.0,30.0,3.0,44.0,0.0,0.0,0.0,223.0,117.0,3.0,0.0,1.0,1.0,40.0,36.0,90.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
3,Christian Pulisic,22.0,us USA,RW,19-209,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.0,23.0,3.0,0.0,1.0,0.2,0.2,0.0,4.0,0.0,29.0,36.0,80.6,4.0,52.0,11.0,4.0,7.0,499.0,103.0,16.0,19.0,84.2,9.0,10.0,90.0,4.0,4.0,100.0,1.0,0.0,4.0,1.0,33.0,3.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,26.0,4.0,6.0,9.0,23.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,3.0,4.0,17.4,4.0,9.0,10.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,6.0,24.0,31.0,7.0,55.0,57.1,4.0,0.0,223.0,135.0,1.0,4.0,5.0,8.0,62.0,43.0,69.4,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
4,Marco Reus,11.0,de GER,"AM,LW",28-319,90.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,40.0,15.0,1.0,0.0,2.0,0.3,0.3,0.3,4.0,0.0,20.0,28.0,71.4,1.0,25.0,2.0,1.0,1.0,333.0,120.0,11.0,13.0,84.6,7.0,10.0,70.0,2.0,4.0,50.0,3.0,3.0,1.0,1.0,25.0,3.0,0.0,0.0,11.0,2.0,1.0,3.0,1.0,2.0,0.0,13.0,7.0,8.0,4.0,22.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,33.3,3.0,8.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,17.0,24.0,5.0,36.0,100.0,1.0,0.0,132.0,79.0,1.0,0.0,1.0,2.0,46.0,27.0,58.7,10.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
5,Mahmoud Dahoud,19.0,de GER,DM,22-104,78.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,15.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,31.0,77.4,3.0,24.0,5.0,0.0,0.0,537.0,117.0,4.0,8.0,50.0,16.0,17.0,94.1,4.0,5.0,80.0,0.0,2.0,0.0,0.0,31.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,3.0,3.0,27.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,3.0,1.0,2.0,3.0,66.7,1.0,7.0,46.7,7.0,5.0,3.0,1.0,0.0,1.0,6.0,2.0,0.0,5.0,11.0,24.0,7.0,1.0,40.0,0.0,0.0,0.0,172.0,87.0,2.0,1.0,0.0,0.0,27.0,22.0,81.5,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
6,Jadon Sancho,7.0,eng ENG,"LB,DM",18-021,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,13.0,84.6,0.0,14.0,4.0,1.0,1.0,173.0,16.0,5.0,6.0,83.3,4.0,4.0,100.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,5.0,1.0,14.0,100.0,1.0,0.0,101.0,72.0,0.0,0.0,0.0,0.0,13.0,12.0,92.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,Nuri Şahin,8.0,tr TUR,DM,29-222,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,80.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,60.0,74.0,81.1,9.0,58.0,4.0,1.0,2.0,1187.0,416.0,18.0,24.0,75.0,34.0,37.0,91.9,7.0,12.0,58.3,1.0,10.0,2.0,0.0,72.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,51.0,5.0,18.0,59.0,8.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,13.3,5.0,9.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,13.0,60.0,10.0,1.0,78.0,50.0,2.0,1.0,262.0,129.0,0.0,0.0,0.0,0.0,60.0,59.0,98.3,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,1.0,80.0
8,Marcel Schmelzer,29.0,de GER,LB,30-083,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,17.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,42.0,54.0,77.8,5.0,46.0,3.0,0.0,0.0,604.0,224.0,25.0,27.0,92.6,17.0,21.0,81.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,44.0,10.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,16.0,8.0,37.0,6.0,1.0,9.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,0.0,2.0,3.0,66.7,1.0,5.0,29.4,8.0,8.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,14.0,38.0,16.0,2.0,58.0,0.0,0.0,0.0,135.0,62.0,0.0,0.0,6.0,1.0,53.0,47.0,88.7,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
9,Mario Götze,10.0,de GER,AM,25-316,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,4.0,1.0,0.0,0.0,41.0,4.0,2.0,2.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,5.0,0.0,0.0,0.0,23.0,20.0,0.0,0.0,0.0,0.0,5.0,3.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
