,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Ndombe Mubele,9.0,cd COD,FW,23-215,86.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,8.0,1.0,1.0,0.0,0.0,0.0,0.1,2.0,0.0,13.0,16.0,81.3,1.0,24.0,3.0,0.0,2.0,199.0,28.0,7.0,8.0,87.5,6.0,7.0,85.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,2.0,2.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,50.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,23.0,3.0,32.0,0.0,0.0,0.0,71.0,43.0,0.0,0.0,8.0,2.0,48.0,24.0,50.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1,Yoann Gourcuff,28.0,fr FRA,FW,31-130,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,31.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Brandon,11.0,es ESP,LW,22-287,69.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,20.0,75.0,2.0,15.0,1.0,0.0,0.0,234.0,55.0,10.0,11.0,90.9,4.0,4.0,100.0,1.0,3.0,33.3,0.0,1.0,2.0,1.0,20.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,13.0,3.0,4.0,6.0,12.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,50.0,1.0,10.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,7.0,13.0,2.0,28.0,0.0,0.0,0.0,55.0,20.0,0.0,0.0,0.0,2.0,25.0,16.0,64.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
3,Jordan Tell,19.0,fr FRA,LW,20-161,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,2.0,4.0,2.0,0.0,0.0,115.0,27.0,1.0,1.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,8.0,0.0,0.0,0.0,24.0,16.0,0.0,1.0,1.0,1.0,13.0,7.0,53.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Adrien Hunou,23.0,fr FRA,RW,23-303,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,7.0,3.0,0.0,1.0,0.2,0.2,0.0,3.0,0.0,25.0,35.0,71.4,3.0,28.0,10.0,0.0,2.0,331.0,80.0,16.0,21.0,76.2,8.0,9.0,88.9,0.0,2.0,0.0,1.0,2.0,2.0,1.0,34.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,25.0,7.0,3.0,2.0,31.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,3.0,3.0,42.9,0.0,5.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,19.0,24.0,1.0,42.0,0.0,0.0,0.0,215.0,147.0,2.0,0.0,1.0,1.0,55.0,33.0,60.0,14.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0
5,Morgan Amalfitano,18.0,fr FRA,AM,32-243,62.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,35.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,29.0,69.0,3.0,24.0,2.0,2.0,2.0,310.0,77.0,8.0,11.0,72.7,12.0,13.0,92.3,0.0,4.0,0.0,0.0,1.0,1.0,0.0,27.0,2.0,2.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,17.0,4.0,8.0,1.0,27.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,11.0,20.0,4.0,33.0,100.0,2.0,0.0,153.0,55.0,0.0,0.0,2.0,1.0,34.0,26.0,76.5,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
6,James Lea Siliki,12.0,cm CMR,DM,21-159,90.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,55.0,10.0,0.0,2.0,2.0,0.1,0.1,0.5,5.0,1.0,25.0,39.0,64.1,3.0,34.0,7.0,1.0,3.0,593.0,263.0,8.0,11.0,72.7,9.0,14.0,64.3,8.0,14.0,57.1,3.0,4.0,1.0,0.0,31.0,8.0,3.0,0.0,3.0,1.0,5.0,5.0,0.0,0.0,0.0,22.0,4.0,13.0,33.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,20.0,3.0,4.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,15.0,29.0,21.0,3.0,47.0,33.3,1.0,0.0,239.0,159.0,4.0,1.0,3.0,1.0,41.0,34.0,82.9,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
7,Benjamin André,21.0,fr FRA,DM,27-107,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,74.0,8.0,2.0,1.0,2.0,0.4,0.4,0.0,3.0,1.0,47.0,58.0,81.0,6.0,42.0,6.0,0.0,0.0,845.0,254.0,21.0,26.0,80.8,21.0,23.0,91.3,5.0,7.0,71.4,1.0,5.0,0.0,0.0,57.0,1.0,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,34.0,5.0,19.0,10.0,40.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,50.0,1.0,1.0,12.5,2.0,5.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,4.0,17.0,37.0,27.0,3.0,73.0,0.0,0.0,0.0,299.0,152.0,4.0,0.0,1.0,3.0,52.0,42.0,80.8,8.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,17.0,3.0,6.0,33.3
8,Afonso Figueiredo,25.0,pt POR,LB,24-316,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,41.0,58.0,70.7,6.0,38.0,6.0,0.0,0.0,672.0,343.0,22.0,26.0,84.6,13.0,16.0,81.3,4.0,14.0,28.6,0.0,2.0,2.0,0.0,49.0,9.0,1.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,26.0,3.0,29.0,43.0,2.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,50.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,25.0,23.0,23.0,0.0,57.0,0.0,0.0,0.0,185.0,91.0,2.0,0.0,0.0,1.0,39.0,36.0,92.3,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,100.0
9,Mehdi Zeffane,2.0,dz ALG,LB,25-183,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,66.7,1.0,8.0,1.0,1.0,1.0,74.0,44.0,4.0,4.0,100.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,8.0,100.0,1.0,0.0,54.0,38.0,0.0,0.0,0.0,0.0,6.0,5.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
