,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Gonzalo Higuaín,9.0,ar ARG,FW,30-070,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,4.0,1.0,0.0,0.0,8.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,31.0,18.0,1.0,0.0,1.0,1.0,5.0,4.0,80.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,Federico Bernardeschi,33.0,it ITA,FW,24-002,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,17.0,2.0,2.0,0.0,0.0,0.0,0.9,3.0,2.0,19.0,23.0,82.6,4.0,30.0,3.0,3.0,3.0,374.0,132.0,6.0,6.0,100.0,10.0,12.0,83.3,2.0,3.0,66.7,2.0,0.0,3.0,1.0,23.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,14.0,4.0,5.0,18.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,50.0,2.0,4.0,23.5,6.0,7.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,5.0,16.0,18.0,1.0,35.0,100.0,3.0,0.0,133.0,70.0,1.0,0.0,3.0,3.0,27.0,22.0,81.5,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
2,Stephan Lichtsteiner,26.0,ch SUI,FW,34-033,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,Alex Sandro,12.0,br BRA,LW,27-023,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,57.0,21.0,4.0,1.0,0.0,0.9,0.9,0.1,3.0,0.0,37.0,41.0,90.2,3.0,46.0,8.0,2.0,4.0,681.0,97.0,15.0,15.0,100.0,18.0,20.0,90.0,4.0,5.0,80.0,1.0,3.0,1.0,0.0,40.0,1.0,0.0,0.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,23.0,9.0,9.0,33.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,3.0,4.0,75.0,1.0,7.0,33.3,7.0,10.0,4.0,0.0,0.0,0.0,5.0,2.0,0.0,3.0,14.0,29.0,21.0,5.0,56.0,50.0,2.0,0.0,305.0,194.0,4.0,1.0,2.0,2.0,51.0,46.0,90.2,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,75.0
4,Douglas Costa,11.0,br BRA,RW,27-157,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,23.0,65.2,0.0,28.0,4.0,2.0,3.0,258.0,13.0,8.0,11.0,72.7,4.0,7.0,57.1,2.0,2.0,100.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,6.0,17.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,13.3,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,16.0,11.0,5.0,30.0,66.7,2.0,0.0,219.0,89.0,0.0,2.0,3.0,1.0,32.0,25.0,78.1,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,66.7
5,Paulo Dybala,10.0,ar ARG,RW,24-095,25.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,26.0,3.0,1.0,0.0,0.0,0.4,0.4,0.0,1.0,0.0,12.0,13.0,92.3,0.0,21.0,4.0,0.0,0.0,180.0,12.0,5.0,5.0,100.0,5.0,5.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,1.0,10.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,17.0,2.0,26.0,0.0,0.0,0.0,135.0,63.0,2.0,0.0,2.0,4.0,25.0,23.0,92.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
6,Sami Khedira,6.0,de GER,CM,30-320,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,33.0,87.9,2.0,32.0,6.0,0.0,0.0,427.0,77.0,15.0,18.0,83.3,12.0,13.0,92.3,2.0,2.0,100.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,6.0,5.0,5.0,27.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,4.0,12.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,6.0,22.0,13.0,1.0,37.0,0.0,0.0,0.0,156.0,84.0,3.0,0.0,1.0,1.0,34.0,31.0,91.2,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
7,Stefano Sturaro,27.0,it ITA,CM,24-346,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,33.0,5.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,16.0,21.0,76.2,0.0,19.0,1.0,0.0,0.0,222.0,31.0,8.0,10.0,80.0,5.0,7.0,71.4,1.0,2.0,50.0,0.0,0.0,0.0,0.0,18.0,3.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,5.0,2.0,17.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,3.0,5.0,60.0,2.0,5.0,15.2,8.0,16.0,9.0,0.0,0.0,4.0,6.0,0.0,0.0,1.0,4.0,17.0,15.0,1.0,33.0,0.0,0.0,0.0,37.0,12.0,0.0,0.0,0.0,4.0,24.0,15.0,62.5,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,6.0,14.3
8,Miralem Pjanić,5.0,ba BIH,DM,27-322,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,87.0,4.0,0.0,2.0,0.0,0.0,0.0,0.2,2.0,0.0,67.0,77.0,87.0,7.0,66.0,6.0,4.0,4.0,1322.0,400.0,23.0,26.0,88.5,32.0,34.0,94.1,11.0,16.0,68.8,1.0,6.0,0.0,0.0,65.0,12.0,9.0,0.0,6.0,1.0,1.0,2.0,2.0,0.0,0.0,49.0,16.0,12.0,8.0,67.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,25.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,17.0,64.0,13.0,0.0,74.0,100.0,4.0,0.0,303.0,141.0,2.0,0.0,1.0,3.0,56.0,51.0,91.1,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,0.0
9,Kwadwo Asamoah,22.0,gh GHA,LB,29-071,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,62.0,4.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,47.0,57.0,82.5,1.0,46.0,6.0,1.0,1.0,914.0,150.0,17.0,20.0,85.0,26.0,32.0,81.3,4.0,4.0,100.0,0.0,2.0,1.0,1.0,50.0,7.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,31.0,13.0,13.0,42.0,3.0,3.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,1.0,25.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,14.0,39.0,13.0,2.0,55.0,100.0,1.0,0.0,236.0,159.0,2.0,1.0,0.0,1.0,46.0,44.0,95.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,100.0
