,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Yaya Sanogo,9.0,fr FRA,FW,25-014,76.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,34.0,17.0,1.0,1.0,3.0,0.1,0.1,0.0,0.0,0.0,11.0,16.0,68.8,1.0,21.0,1.0,0.0,0.0,167.0,31.0,6.0,8.0,75.0,4.0,5.0,80.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,7.0,2.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.8,2.0,10.0,5.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,5.0,23.0,9.0,3.0,33.0,0.0,0.0,0.0,63.0,28.0,0.0,0.0,3.0,4.0,32.0,17.0,53.1,6.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,28.6
1,Andy Delort,10.0,dz ALG,FW,26-124,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,4.0,0.0,0.0,0.0,22.0,5.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,6.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,11.0,4.0,36.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,Max Gradel,7.0,ci CIV,"RM,LM,LW",30-072,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,33.0,2.0,3.0,2.0,0.0,0.0,0.1,3.0,0.0,15.0,31.0,48.4,1.0,37.0,6.0,3.0,4.0,323.0,171.0,4.0,10.0,40.0,9.0,14.0,64.3,2.0,6.0,33.3,2.0,2.0,1.0,1.0,28.0,3.0,3.0,1.0,15.0,0.0,6.0,0.0,0.0,0.0,0.0,18.0,1.0,12.0,6.0,25.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,4.0,12.1,12.0,13.0,8.0,2.0,0.0,0.0,5.0,1.0,0.0,3.0,13.0,18.0,21.0,1.0,42.0,75.0,3.0,1.0,243.0,142.0,3.0,1.0,2.0,4.0,37.0,26.0,70.3,6.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
3,Giannelli Imbula,25.0,cd COD,CM,25-151,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,41.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,21.0,81.0,2.0,21.0,1.0,1.0,1.0,363.0,199.0,7.0,9.0,77.8,7.0,7.0,100.0,3.0,5.0,60.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,6.0,11.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,14.6,15.0,21.0,5.0,1.0,0.0,0.0,4.0,1.0,0.0,3.0,12.0,14.0,5.0,0.0,30.0,100.0,1.0,0.0,126.0,48.0,0.0,0.0,1.0,3.0,19.0,13.0,68.4,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
4,Alexis Blin,27.0,fr FRA,"CM,RM",21-147,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,35.0,40.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,24.0,75.0,2.0,18.0,4.0,0.0,0.0,387.0,192.0,6.0,8.0,75.0,9.0,10.0,90.0,3.0,4.0,75.0,0.0,4.0,0.0,0.0,24.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,10.0,2.0,19.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,5.0,40.0,3.0,7.0,17.5,24.0,14.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,14.0,14.0,9.0,2.0,35.0,0.0,0.0,0.0,145.0,81.0,0.0,1.0,1.0,0.0,20.0,16.0,80.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
5,Corentin Jean,8.0,fr FRA,"LM,RM",22-210,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,22.2,2.0,6.0,3.0,0.0,0.0,70.0,24.0,1.0,4.0,25.0,0.0,2.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.6,12.0,5.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,5.0,4.0,5.0,1.0,12.0,0.0,0.0,0.0,83.0,56.0,0.0,1.0,0.0,1.0,11.0,6.0,54.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
6,Ndombe Mubele,24.0,cd COD,"RW,FW",23-299,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,5.0,1.0,0.0,0.0,43.0,0.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,1.0,1.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,8.0,0.0,0.0,0.0,13.0,6.0,0.0,0.0,1.0,2.0,3.0,3.0,100.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
7,Yannick Cahuzac,4.0,fr FRA,"DM,CB,CM",33-023,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,23.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,81.8,1.0,10.0,0.0,0.0,0.0,159.0,48.0,3.0,4.0,75.0,5.0,6.0,83.3,1.0,1.0,100.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,2.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,50.0,1.0,6.0,26.1,17.0,6.0,0.0,1.0,0.0,5.0,4.0,3.0,0.0,7.0,19.0,6.0,1.0,0.0,25.0,0.0,0.0,0.0,44.0,10.0,0.0,0.0,0.0,1.0,7.0,6.0,85.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
8,Issiaga Sylla,12.0,gn GUI,"LB,WB",24-040,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,17.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,22.0,63.6,1.0,20.0,1.0,0.0,3.0,321.0,256.0,5.0,7.0,71.4,5.0,8.0,62.5,4.0,5.0,80.0,0.0,3.0,0.0,0.0,15.0,7.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,12.0,12.0,2.0,1.0,6.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,6.0,33.3,4.0,3.0,17.6,10.0,4.0,3.0,0.0,0.0,6.0,5.0,3.0,0.0,6.0,18.0,17.0,9.0,0.0,35.0,0.0,0.0,0.0,127.0,62.0,0.0,0.0,1.0,2.0,17.0,15.0,88.2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
9,Kelvin Amian,2.0,fr FRA,CB,20-002,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,72.7,0.0,6.0,0.0,0.0,0.0,151.0,63.0,3.0,3.0,100.0,3.0,3.0,100.0,2.0,5.0,40.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,1.0,9.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.5,6.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,13.0,4.0,1.0,0.0,17.0,0.0,0.0,0.0,50.0,11.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
