player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Duván Zapata,FW,27-336,72.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,31.0,17.0,0.0,0.0,2.0,0.2,0.2,0.0,3.0,0.0,10.0,13.0,76.9,0.0,23.0,3.0,1.0,4.0,142.0,3.0,7.0,9.0,77.8,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,47.1,1.0,7.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,12.0,19.0,4.0,29.0,25.0,1.0,0.0,114.0,73.0,2.0,0.0,5.0,3.0,44.0,23.0,52.3,12.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,25.0
Mario Pašalić,FW,24-022,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,91.7,0.0,15.0,2.0,0.0,1.0,118.0,10.0,8.0,8.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,25.0,5.0,6.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,9.0,0.0,17.0,0.0,0.0,0.0,55.0,17.0,1.0,0.0,3.0,0.0,14.0,13.0,92.9,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
Papu Gómez,LW,31-016,90.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,76.0,13.0,0.0,3.0,1.0,0.6,0.6,0.5,11.0,1.0,51.0,62.0,82.3,6.0,63.0,25.0,2.0,5.0,915.0,346.0,25.0,27.0,92.6,18.0,20.0,90.0,7.0,13.0,53.8,6.0,6.0,2.0,0.0,50.0,12.0,2.0,0.0,6.0,3.0,3.0,8.0,3.0,0.0,5.0,37.0,10.0,15.0,12.0,47.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,15.4,3.0,9.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,7.0,42.0,40.0,3.0,65.0,40.0,2.0,0.0,637.0,472.0,11.0,3.0,0.0,1.0,63.0,54.0,85.7,5.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
Josip Iličić,RW,31-033,90.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,66.0,13.0,1.0,1.0,1.0,0.3,0.3,1.1,10.0,2.0,34.0,43.0,79.1,9.0,56.0,9.0,3.0,6.0,549.0,227.0,16.0,20.0,80.0,14.0,17.0,82.4,3.0,4.0,75.0,6.0,2.0,2.0,0.0,41.0,2.0,1.0,2.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,30.0,10.0,3.0,33.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,46.2,2.0,6.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,29.0,36.0,6.0,64.0,50.0,3.0,0.0,286.0,147.0,3.0,2.0,5.0,4.0,78.0,56.0,71.8,13.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0
Remo Freuler,DM,26-322,87.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,68.0,38.0,4.0,1.0,3.0,0.5,0.5,0.1,2.0,2.0,43.0,52.0,82.7,2.0,49.0,6.0,0.0,1.0,589.0,112.0,30.0,36.0,83.3,12.0,14.0,85.7,1.0,1.0,100.0,2.0,1.0,1.0,0.0,49.0,3.0,2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,43.0,6.0,3.0,8.0,38.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,0.0,4.0,0.0,3.0,3.0,100.0,0.0,16.0,42.1,11.0,24.0,3.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,10.0,46.0,19.0,2.0,66.0,0.0,0.0,0.0,259.0,148.0,2.0,0.0,2.0,0.0,52.0,45.0,86.5,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,50.0
Hans Hateboer,DM,25-053,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,23.0,13.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marten de Roon,DM,27-339,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,65.0,45.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,43.0,53.0,81.1,1.0,42.0,2.0,1.0,2.0,786.0,198.0,20.0,26.0,76.9,16.0,17.0,94.1,7.0,9.0,77.8,1.0,3.0,0.0,0.0,51.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,7.0,6.0,6.0,44.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,6.0,33.3,4.0,19.0,42.2,12.0,31.0,2.0,0.0,0.0,2.0,4.0,3.0,0.0,3.0,20.0,35.0,13.0,0.0,63.0,50.0,1.0,0.0,203.0,82.0,1.0,0.0,0.0,0.0,39.0,33.0,84.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,1.0,66.7
Robin Gosens,WB,24-241,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,58.0,14.0,4.0,2.0,0.0,0.3,0.3,0.0,1.0,0.0,34.0,47.0,72.3,3.0,35.0,4.0,2.0,3.0,472.0,194.0,20.0,24.0,83.3,11.0,14.0,78.6,2.0,7.0,28.6,0.0,1.0,1.0,0.0,40.0,7.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,22.0,15.0,10.0,33.0,2.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,2.0,50.0,1.0,8.0,57.1,4.0,7.0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,13.0,25.0,23.0,5.0,51.0,66.7,2.0,0.0,170.0,107.0,2.0,0.0,2.0,0.0,35.0,29.0,82.9,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,100.0
Timothy Castagne,WB,23-088,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,17.0,3.0,1.0,2.0,0.0,0.0,0.3,3.0,1.0,45.0,55.0,81.8,3.0,37.0,3.0,2.0,2.0,735.0,341.0,17.0,20.0,85.0,23.0,28.0,82.1,4.0,6.0,66.7,1.0,2.0,0.0,0.0,45.0,10.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,32.0,12.0,11.0,2.0,39.0,3.0,10.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,5.0,40.0,3.0,8.0,47.1,9.0,4.0,4.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,25.0,22.0,20.0,1.0,54.0,100.0,2.0,0.0,156.0,52.0,0.0,0.0,0.0,0.0,44.0,38.0,86.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,66.7
Andrea Masiello,CB,33-026,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,26.0,76.9,0.0,19.0,0.0,0.0,0.0,503.0,193.0,7.0,8.0,87.5,9.0,11.0,81.8,4.0,7.0,57.1,0.0,0.0,0.0,0.0,23.0,3.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,11.0,9.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,13.0,18.0,0.0,0.0,28.0,0.0,0.0,0.0,50.0,23.0,0.0,0.0,0.0,1.0,17.0,15.0,88.2,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,66.7
