player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Alfreð Finnbogason,FW,30-002,75.0,3.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,34.0,25.0,1.0,0.0,1.0,2.4,0.9,0.2,3.0,1.0,16.0,23.0,69.6,3.0,16.0,4.0,0.0,0.0,279.0,69.0,7.0,12.0,58.3,5.0,6.0,83.3,3.0,3.0,100.0,2.0,2.0,2.0,0.0,22.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,3.0,4.0,16.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,36.0,1.0,13.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,20.0,14.0,7.0,31.0,0.0,0.0,0.0,136.0,98.0,1.0,1.0,2.0,0.0,45.0,24.0,53.3,8.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
Sergio Córdova,FW,21-178,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,0.4,0.4,0.0,0.0,0.0,1.0,2.0,50.0,1.0,3.0,1.0,0.0,0.0,20.0,15.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,5.0,0.0,0.0,0.0,30.0,7.0,1.0,1.0,0.0,0.0,6.0,3.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Michael Gregoritsch,AM,24-291,90.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,35.0,19.0,0.0,0.0,0.0,0.3,0.3,0.0,2.0,1.0,15.0,24.0,62.5,0.0,18.0,5.0,0.0,0.0,264.0,49.0,6.0,11.0,54.5,6.0,8.0,75.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,4.0,16.0,4.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,42.1,0.0,7.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,19.0,16.0,5.0,35.0,0.0,0.0,0.0,96.0,65.0,1.0,1.0,2.0,1.0,45.0,29.0,64.4,13.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
Ji Dong-won,LM,27-251,67.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,56.0,17.0,2.0,0.0,2.0,0.1,0.1,0.0,6.0,0.0,29.0,41.0,70.7,9.0,38.0,5.0,1.0,3.0,460.0,205.0,17.0,22.0,77.3,9.0,12.0,75.0,3.0,6.0,50.0,0.0,6.0,1.0,0.0,41.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,7.0,8.0,8.0,28.0,4.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,100.0,0.0,5.0,29.4,5.0,9.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,6.0,34.0,22.0,4.0,56.0,33.3,1.0,0.0,197.0,125.0,2.0,2.0,3.0,2.0,52.0,39.0,75.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,100.0
Koo Ja-cheol,"LM,RM",29-341,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,60.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
André Hahn,"RM,LM",28-174,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.0,35.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,21.0,33.0,63.6,5.0,31.0,8.0,0.0,0.0,361.0,118.0,9.0,13.0,69.2,7.0,9.0,77.8,3.0,8.0,37.5,1.0,3.0,1.0,1.0,32.0,1.0,0.0,0.0,11.0,4.0,6.0,0.0,0.0,0.0,0.0,15.0,11.0,7.0,3.0,28.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,1.0,2.0,50.0,1.0,12.0,34.3,8.0,24.0,3.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,6.0,24.0,15.0,1.0,41.0,0.0,0.0,0.0,242.0,141.0,2.0,1.0,0.0,2.0,37.0,28.0,75.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
Daniel Baier,DM,34-261,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,21.0,3.0,2.0,2.0,0.0,0.0,0.1,3.0,1.0,43.0,50.0,86.0,1.0,28.0,0.0,0.0,0.0,791.0,257.0,19.0,22.0,86.4,20.0,22.0,90.9,4.0,5.0,80.0,2.0,2.0,0.0,0.0,48.0,2.0,2.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,16.0,6.0,4.0,40.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,50.0,1.0,6.0,28.6,10.0,10.0,1.0,0.0,0.0,2.0,5.0,2.0,0.0,1.0,18.0,38.0,6.0,1.0,60.0,0.0,0.0,0.0,93.0,24.0,0.0,0.0,0.0,0.0,39.0,29.0,74.4,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
Jan Morávek,DM,29-094,87.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,48.0,2.0,1.0,2.0,0.0,0.0,0.4,5.0,2.0,37.0,47.0,78.7,4.0,33.0,4.0,0.0,0.0,757.0,214.0,15.0,18.0,83.3,16.0,20.0,80.0,6.0,8.0,75.0,1.0,4.0,1.0,0.0,47.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,3.0,8.0,6.0,37.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,4.0,25.0,3.0,7.0,14.6,13.0,33.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,10.0,41.0,11.0,0.0,57.0,0.0,0.0,0.0,141.0,85.0,2.0,0.0,1.0,1.0,42.0,35.0,83.3,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,100.0
Reece Oxford,DM,20-049,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Kostas Stafylidis,LB,25-063,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,86.0,17.0,2.0,2.0,2.0,0.0,0.0,0.7,4.0,0.0,51.0,70.0,72.9,4.0,49.0,1.0,2.0,3.0,1009.0,440.0,25.0,28.0,89.3,16.0,20.0,80.0,10.0,20.0,50.0,3.0,3.0,2.0,1.0,49.0,21.0,2.0,0.0,16.0,4.0,6.0,3.0,0.0,0.0,0.0,29.0,23.0,18.0,51.0,2.0,1.0,16.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,35.3,9.0,7.0,1.0,1.0,0.0,1.0,4.0,2.0,0.0,3.0,21.0,47.0,21.0,1.0,66.0,66.7,3.0,0.0,128.0,73.0,0.0,0.0,2.0,1.0,54.0,49.0,90.7,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
